ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring
1,2011,2011-09-11,1,22.021,DET,@,TAM,W 27-20,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
2,2011,2011-09-18,2,22.028,DET,,KAN,W 48-3,*,7,5,89,17.80,0,71.4%,12.71,0,0,,0,,0,0
3,2011,2011-09-25,3,22.035,DET,@,MIN,W 26-23,*,8,4,51,12.75,0,50.0%,6.38,0,0,,0,,0,0
4,2011,2011-10-02,4,22.042,DET,@,DAL,W 34-30,,5,3,41,13.67,0,60.0%,8.20,0,0,,0,,0,0
5,2011,2011-10-10,5,22.050,DET,,CHI,W 24-13,*,4,2,14,7.00,0,50.0%,3.50,0,0,,0,,0,0
6,2011,2011-10-16,6,22.056,DET,,SFO,L 19-25,*,6,1,14,14.00,0,16.7%,2.33,0,0,,0,,0,0
7,2011,2011-10-23,7,22.063,DET,,ATL,L 16-23,,3,0,0,,0,0.0%,0.00,0,0,,0,,0,0
8,2011,2011-10-30,8,22.070,DET,@,DEN,W 45-10,,5,4,66,16.50,1,80.0%,13.20,0,0,,0,,1,6
9,2011,2011-11-13,9,22.084,DET,@,CHI,L 13-37,,9,7,74,10.57,0,77.8%,8.22,0,0,,0,,0,0
10,2011,2011-11-20,10,22.091,DET,,CAR,W 49-35,*,3,2,14,7.00,1,66.7%,4.67,0,0,,0,,1,6
11,2011,2011-11-24,11,22.095,DET,,GNB,L 15-27,*,3,1,13,13.00,0,33.3%,4.33,0,0,,0,1,0,2
12,2011,2011-12-04,12,22.105,DET,@,NOR,L 17-31,*,2,2,60,30.00,0,100.0%,30.00,1,11,11.00,0,,0,0
13,2011,2011-12-11,13,22.112,DET,,MIN,W 34-28,*,7,4,87,21.75,1,57.1%,12.43,0,0,,0,,1,6
14,2011,2011-12-18,14,22.119,DET,@,OAK,W 28-27,,10,5,21,4.20,1,50.0%,2.10,1,4,4.00,0,,1,6
15,2011,2011-12-24,15,22.125,DET,,SDG,W 38-10,*,5,4,39,9.75,0,80.0%,7.80,0,0,,0,,0,0
16,2011,2012-01-01,16,22.133,DET,@,GNB,L 41-45,,8,4,24,6.00,2,50.0%,3.00,0,0,,0,,2,12
17,2012,2012-09-09,1,23.019,DET,,STL,W 27-23,*,3,1,14,14.00,0,33.3%,4.67,1,11,11.00,0,,0,0
18,2012,2012-09-16,2,23.026,DET,@,SFO,L 19-27,*,3,1,11,11.00,0,33.3%,3.67,0,0,,0,,0,0
19,2012,2012-09-23,3,23.033,DET,@,TEN,L 41-44,,7,6,75,12.50,1,85.7%,10.71,0,0,,0,,1,6
20,2012,2012-09-30,4,23.040,DET,,MIN,L 13-20,,3,1,17,17.00,0,33.3%,5.67,1,5,5.00,0,,0,0
21,2012,2012-10-14,5,23.054,DET,@,PHI,W 26-23,*,5,2,6,3.00,0,40.0%,1.20,0,0,,0,,0,0
22,2012,2012-10-22,6,23.062,DET,@,CHI,L 7-13,*,8,6,81,13.50,0,75.0%,10.13,0,0,,0,,0,0
23,2012,2012-10-28,7,23.068,DET,,SEA,W 28-24,*,9,9,100,11.11,2,100.0%,11.11,0,0,,0,,2,12
24,2012,2012-11-04,8,23.075,DET,@,JAX,W 31-14,*,5,2,20,10.00,0,40.0%,4.00,0,0,,0,,0,0
25,2012,2012-11-11,9,23.082,DET,@,MIN,L 24-34,*,7,4,35,8.75,1,57.1%,5.00,0,0,,0,,1,6
26,2012,2012-11-18,10,23.089,DET,,GNB,L 20-24,*,6,1,24,24.00,0,16.7%,4.00,0,0,,0,,0,0
