ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1992,1992-09-07,1,22.153,DAL,,WAS,W 23-10,,0,0,,0,0,0,,0,,,,,
2,1992,1992-09-13,2,22.159,DAL,@,NYG,W 34-28,,0,0,,0,0,0,,0,,,,,
3,1992,1992-09-20,3,22.166,DAL,,PHO,W 31-20,,0,0,,0,0,0,,0,,,,,
4,1992,1992-10-05,4,22.181,DAL,@,PHI,L 7-31,,0,0,,0,0,0,,0,,,,,
5,1992,1992-10-11,5,22.187,DAL,,SEA,W 27-0,,0,0,,0,0,0,,0,,,,,
6,1992,1992-10-18,6,22.194,DAL,,KAN,W 17-10,,0,0,,0,0,0,,0,,,,,
7,1992,1992-10-25,7,22.201,DAL,@,RAI,W 28-13,,0,0,,0,0,0,,0,,,,,
8,1992,1992-11-01,8,22.208,DAL,,PHI,W 20-10,,0,0,,0,0,0,,0,,,,,
9,1992,1992-11-08,9,22.215,DAL,@,DET,W 37-3,,0,0,,0,0,0,,0,,,,,
10,1992,1992-11-15,10,22.222,DAL,,RAM,L 23-27,,0,0,,0,0,0,,0,,,,,
11,1992,1992-11-22,11,22.229,DAL,@,PHO,W 16-10,,1,9,9.00,0,0,0,,0,0,0,0,0,0
12,1992,1992-11-26,12,22.233,DAL,,NYG,W 30-3,,0,0,,0,1,17,17.00,0,0,0,0,0,0
13,1992,1992-12-06,13,22.243,DAL,@,DEN,W 31-27,,0,0,,0,0,0,,0,0,0,1,3,0
14,1992,1992-12-13,14,22.250,DAL,@,WAS,L 17-20,,0,0,,0,0,0,,0,,,,,
15,1992,1992-12-21,15,22.258,DAL,@,ATL,W 41-17,,0,0,,0,0,0,,0,,,,,
16,1992,1992-12-27,16,22.264,DAL,,CHI,W 27-14,,0,0,,0,0,0,,0,0,0,1,7,0
17,1993,1993-09-06,1,23.152,DAL,@,WAS,L 16-35,,0,0,,0,,,,,,,,,
18,1993,1993-09-12,2,23.158,DAL,,BUF,L 10-13,,0,0,,0,0,0,,0,0,0,1,0,0
19,1993,1993-09-19,3,23.165,DAL,@,PHO,W 17-10,,0,0,,0,0,0,,0,0,0,1,4,0
20,1993,1993-10-03,4,23.179,DAL,,GNB,W 36-14,,0,0,,0,,,,,,,,,
21,1993,1993-10-10,5,23.186,DAL,@,IND,W 27-3,,0,0,,0,0,0,,0,0,0,1,0,0
22,1993,1993-10-17,6,23.193,DAL,,SFO,W 26-17,,0,0,,0,,,,,,,,,
23,1993,1993-10-31,7,23.207,DAL,@,PHI,W 23-10,,0,0,,0,,,,,,,,,
24,1993,1993-11-07,8,23.214,DAL,,NYG,W 31-9,,0,0,,0,,,,,,,,,
25,1993,1993-11-14,9,23.221,DAL,,PHO,W 20-15,,1,33,33.00,0,0,0,,0,0,0,0,0,0
26,1993,1993-11-21,10,23.228,DAL,@,ATL,L 14-27,,0,0,,0,,,,,,,,,
27,1993,1993-11-25,11,23.232,DAL,,MIA,L 14-16,,0,0,,0,,,,,,,,,
28,1993,1993-12-06,12,23.243,DAL,,PHI,W 23-17,,0,0,,0,,,,,,,,,
29,1993,1993-12-12,13,23.249,DAL,@,MIN,W 37-20,,0,0,,0,0,0,,0,0,0,1,17,0
30,1993,1993-12-18,14,23.255,DAL,@,NYJ,W 28-7,,0,0,,0,0,0,,0,1,6,1,32,1
31,1993,1993-12-26,15,23.263,DAL,,WAS,W 38-3,,0,0,,0,0,0,,0,0,0,1,3,0
32,1993,1994-01-02,16,23.270,DAL,@,NYG,W 16-13,,0,0,,0,,,,,,,,,
33,1994,1994-09-04,1,24.150,DAL,@,PIT,W 26-9,,,,,,,,,,,,,,
34,1994,1994-09-11,2,24.157,DAL,,HOU,W 20-17,,,,,,,,,,,,,,
35,1994,1994-09-19,3,24.165,DAL,,DET,L 17-20,,,,,,,,,,,,,,
36,1994,1994-10-02,4,24.178,DAL,@,WAS,W 34-7,,,,,,,,,,,,,,
37,1994,1994-10-09,5,24.185,DAL,,ARI,W 38-3,,,,,,,,,,,,,,
38,1994,1994-10-16,6,24.192,DAL,,PHI,W 24-13,,,,,,,,,,,,,,
39,1994,1994-10-23,7,24.199,DAL,@,ARI,W 28-21,,,,,,,,,,,,,,
40,1994,1994-10-30,8,24.206,DAL,@,CIN,W 23-20,,,,,,,,,,,,,,
41,1994,1994-11-07,9,24.214,DAL,,NYG,W 38-10,,,,,,,,,,,,,,
42,1994,1994-11-13,10,24.220,DAL,@,SFO,L 14-21,,,,,,,,,,,,,,
43,1994,1994-11-20,11,24.227,DAL,,WAS,W 31-7,,0,0,,0,0,0,,0,0,0,2,11,0
44,1994,1994-11-24,12,24.231,DAL,,GNB,W 42-31,,,,,,,,,,,,,,
45,1994,1994-12-04,13,24.241,DAL,@,PHI,W 31-19,,,,,,,,,,,,,,
46,1994,1994-12-10,14,24.247,DAL,,CLE,L 14-19,,,,,,,,,,,,,,
47,1994,1994-12-19,15,24.256,DAL,@,NOR,W 24-16,,,,,,,,,,,,,,
48,1994,1994-12-24,16,24.261,DAL,@,NYG,L 10-15,,,,,,,,,,,,,,
49,1995,1995-09-04,1,25.150,DAL,@,NYG,W 35-0,,,,,,,,,,,,,,
50,1996,1996-09-02,1,26.148,DAL,@,CHI,L 6-22,,0,0,,0,0,0,,0,0,0,1,-1,0
51,1996,1996-09-08,2,26.154,DAL,,NYG,W 27-0,,0,0,,0,0,0,,0,0,0,1,22,0
52,1996,1996-09-15,3,26.161,DAL,,IND,L 24-25,,,,,,,,,,,,,,
53,1996,1996-09-22,4,26.168,DAL,@,BUF,L 7-10,,,,,,,,,,,,,,
54,1996,1996-09-30,5,26.176,DAL,@,PHI,W 23-19,,,,,,,,,,,,,,
55,1996,1996-10-13,6,26.189,DAL,,ARI,W 17-3,,0,0,,0,0,0,,0,0,0,1,0,0
56,1996,1996-10-20,7,26.196,DAL,,ATL,W 32-28,,,,,,,,,,,,,,
57,1996,1996-10-27,8,26.203,DAL,@,MIA,W 29-10,,0,0,,0,0,0,,0,0,0,1,0,0
58,1996,1996-11-03,9,26.210,DAL,,PHI,L 21-31,,,,,,,,,,,,,,
59,1996,1996-11-10,10,26.217,DAL,@,SFO,W 20-17,,,,,,,,,,,,,,
60,1996,1996-11-18,11,26.225,DAL,,GNB,W 21-6,,,,,,,,,,,,,,
61,1996,1996-11-24,12,26.231,DAL,@,NYG,L 6-20,,0,0,,0,0,0,,0,0,0,1,24,0
62,1996,1996-11-28,13,26.235,DAL,,WAS,W 21-10,,,,,,,,,,,,,,
