ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1994,1994-09-25,4,23.108,HOU,,CIN,W 20-13,,0,0,,0,0.0%,,,,,
2,1994,1994-12-18,15,23.192,HOU,@,KAN,L 9-31,1,1,6,6.00,0,100.0%,6.00,0,0,,0
3,1994,1994-12-24,16,23.198,HOU,,NYJ,W 24-10,5,3,42,14.00,0,60.0%,8.40,0,0,,0
4,1995,1995-09-03,1,24.086,HOU,@,JAX,W 10-3,2,2,18,9.00,0,100.0%,9.00,0,0,,0
5,1995,1995-09-10,2,24.093,HOU,,PIT,L 17-34,1,0,0,,0,0.0%,0.00,1,5,5.00,0
6,1995,1995-09-17,3,24.100,HOU,,CLE,L 7-14,2,1,6,6.00,0,50.0%,3.00,0,0,,0
7,1995,1995-09-24,4,24.107,HOU,@,CIN,W 38-28,2,2,13,6.50,0,100.0%,6.50,0,0,,0
8,1995,1995-10-01,5,24.114,HOU,,JAX,L 16-17,,0,0,,0,0.0%,,0,0,,0
9,1995,1995-10-08,6,24.121,HOU,@,MIN,L 17-23,1,1,4,4.00,0,100.0%,4.00,0,0,,0
10,1995,1995-10-22,7,24.135,HOU,@,CHI,L 32-35,4,2,16,8.00,0,50.0%,4.00,0,0,,0
11,1995,1995-10-29,8,24.142,HOU,,TAM,W 19-7,1,1,6,6.00,0,100.0%,6.00,0,0,,0
12,1995,1995-11-05,9,24.149,HOU,@,CLE,W 37-10,1,1,6,6.00,0,100.0%,6.00,0,0,,0
13,1995,1995-11-12,10,24.156,HOU,,CIN,L 25-32,,0,0,,0,0.0%,,0,0,,0
14,1995,1995-11-19,11,24.163,HOU,@,KAN,L 13-20,,0,0,,0,0.0%,,0,0,,0
15,1995,1995-11-26,12,24.170,HOU,,DEN,W 42-33,1,1,14,14.00,0,100.0%,14.00,0,0,,0
16,1995,1995-12-03,13,24.177,HOU,@,PIT,L 7-21,1,1,4,4.00,0,100.0%,4.00,0,0,,0
17,1995,1995-12-10,14,24.184,HOU,,DET,L 17-24,1,1,6,6.00,0,100.0%,6.00,0,0,,0
18,1995,1995-12-17,15,24.191,HOU,,NYJ,W 23-6,2,2,18,9.00,0,100.0%,9.00,0,0,,0
19,1995,1995-12-24,16,24.198,HOU,@,BUF,W 28-17,2,1,5,5.00,0,50.0%,2.50,0,0,,0
20,1996,1996-09-01,1,25.084,HOU,,KAN,L 19-20,0,0,0,,0,0.0%,,,,,
21,1996,1996-09-08,2,25.091,HOU,@,JAX,W 34-27,1,0,0,,0,0.0%,0.00,,,,
22,1996,1996-09-15,3,25.098,HOU,,BAL,W 29-13,1,1,4,4.00,0,100.0%,4.00,0,0,,0
23,1996,1996-09-29,4,25.112,HOU,@,PIT,L 16-30,,0,0,,0,0.0%,,,,,
24,1996,1996-10-06,5,25.119,HOU,@,CIN,W 30-27,,0,0,,0,0.0%,,,,,
25,1996,1996-10-13,6,25.126,HOU,@,ATL,W 23-13,,0,0,,0,0.0%,,,,,
26,1996,1996-10-20,7,25.133,HOU,,PIT,W 23-13,,0,0,,0,0.0%,,,,,
27,1996,1996-10-27,8,25.140,HOU,,SFO,L 9-10,,0,0,,0,0.0%,,,,,
28,1996,1996-11-03,9,25.147,HOU,@,SEA,L 16-23,1,1,1,1.00,0,100.0%,1.00,0,0,,0
29,1996,1996-11-10,10,25.154,HOU,@,NOR,W 31-14,,0,0,,0,0.0%,,,,,
30,1996,1996-11-17,11,25.161,HOU,,MIA,L 20-23,,0,0,,0,0.0%,,,,,
31,1996,1996-11-24,12,25.168,HOU,,CAR,L 6-31,2,2,27,13.50,0,100.0%,13.50,0,0,,0
32,1996,1996-12-01,13,25.175,HOU,@,NYJ,W 35-10,1,0,0,,0,0.0%,0.00,,,,
33,1996,1996-12-08,14,25.182,HOU,,JAX,L 17-23,2,2,19,9.50,0,100.0%,9.50,0,0,,0
34,1996,1996-12-15,15,25.189,HOU,,CIN,L 13-21,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0
35,1996,1996-12-22,16,25.196,HOU,@,BAL,W 24-21,1,0,0,,0,0.0%,0.00,,,,
36,1997,1997-08-31,1,26.083,TEN,,OAK,W 24-21,,0,0,,0,0.0%,,,,,
37,1997,1997-09-07,2,26.090,TEN,@,MIA,L 13-16,,0,0,,0,0.0%,,,,,
38,1997,1997-09-21,3,26.104,TEN,,BAL,L 10-36,1,0,0,,0,0.0%,0.00,,,,
39,1997,1997-09-28,4,26.111,TEN,@,PIT,L 24-37,,0,0,,0,0.0%,,,,,
40,1997,1997-11-09,10,26.153,TEN,,NYG,W 10-6,,0,0,,0,0.0%,,,,,
41,1997,1997-11-16,11,26.160,TEN,@,JAX,L 9-17,1,0,0,,0,0.0%,0.00,,,,
42,1997,1997-11-23,12,26.167,TEN,,BUF,W 31-14,0,0,0,,0,0.0%,,,,,
43,1997,1997-11-27,13,26.171,TEN,@,DAL,W 27-14,1,1,7,7.00,0,100.0%,7.00,0,0,,0
44,1997,1997-12-04,14,26.178,TEN,@,CIN,L 14-41,,0,0,,0,0.0%,,,,,
45,1997,1997-12-14,15,26.188,TEN,@,BAL,L 19-21,,0,0,,0,0.0%,,,,,
