ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1986,1986-10-13,6,25.209,PIT,@,CIN,L 22-24,0,0,,0,0,0,,0,0,0,,0
2,1986,1986-10-19,7,25.215,PIT,,NWE,L 0-34,4,15,3.75,0,0,0,,0,1,8,8.00,0
3,1986,1986-10-26,8,25.222,PIT,,CIN,W 30-9,0,0,,0,0,0,,0,0,0,,0
4,1986,1986-11-02,9,25.229,PIT,,GNB,W 27-3,1,2,2.00,0,0,0,,0,0,0,,0
5,1986,1986-11-09,10,25.236,PIT,@,BUF,L 12-16,0,0,,0,0,0,,0,0,0,,0
6,1986,1986-11-16,11,25.243,PIT,,HOU,W 21-10,0,0,,0,0,0,,0,0,0,,0
7,1986,1986-11-23,12,25.250,PIT,@,CLE,L 31-37,0,0,,0,0,0,,0,1,17,17.00,0
8,1986,1986-11-30,13,25.257,PIT,@,CHI,L 10-13,0,0,,0,0,0,,0,0,0,,0
9,1986,1986-12-07,14,25.264,PIT,,DET,W 27-17,1,3,3.00,0,2,4,2.00,0,1,17,17.00,0
10,1986,1986-12-13,15,25.270,PIT,@,NYJ,W 45-24,0,0,,0,0,0,,0,1,10,10.00,0
11,1986,1986-12-21,16,25.278,PIT,,KAN,L 19-24,0,0,,0,0,0,,0,0,0,,0
12,1987,1987-10-04,3,26.200,PIT,@,ATL,W 28-12,2,8,4.00,0,0,0,,0,0,0,,0
13,1987,1987-10-11,4,26.207,PIT,@,RAM,L 21-31,0,0,,0,,,,,,,,
