ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2017,2017-09-10,1,24.143,JAX,@,HOU,W 29-7,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0
2,2017,2017-09-17,2,24.150,JAX,,TEN,L 16-37,,3,2,13,6.50,0,66.7%,4.33,1,14,14.00,0,0,0
3,2017,2017-09-24,3,24.157,JAX,,BAL,W 44-7,*,4,1,13,13.00,0,25.0%,3.25,1,12,12.00,0,0,0
4,2017,2017-10-01,4,24.164,JAX,@,NYJ,L 20-23,,6,1,10,10.00,0,16.7%,1.67,0,0,,0,0,0
5,2017,2017-10-08,5,24.171,JAX,@,PIT,W 30-9,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0
6,2017,2017-10-15,6,24.178,JAX,,LAR,L 17-27,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0
7,2017,2017-10-22,7,24.185,JAX,@,IND,W 27-0,*,3,2,64,32.00,0,66.7%,21.33,0,0,,0,0,0
8,2017,2017-11-05,8,24.199,JAX,,CIN,W 23-7,,5,3,47,15.67,0,60.0%,9.40,0,0,,0,0,0
9,2017,2017-11-12,9,24.206,JAX,,LAC,W 20-17,,8,3,61,20.33,0,37.5%,7.63,0,0,,0,0,0
10,2017,2017-11-19,10,24.213,JAX,@,CLE,W 19-7,,6,3,24,8.00,0,50.0%,4.00,0,0,,0,0,0
11,2017,2017-11-26,11,24.220,JAX,@,ARI,L 24-27,*,7,2,30,15.00,0,28.6%,4.29,0,0,,0,0,0
12,2017,2017-12-03,12,24.227,JAX,,IND,W 30-10,*,3,3,49,16.33,1,100.0%,16.33,0,0,,0,1,6
13,2017,2017-12-10,13,24.234,JAX,,SEA,W 30-24,,3,3,99,33.00,1,100.0%,33.00,0,0,,0,1,6
14,2017,2017-12-17,14,24.241,JAX,,HOU,W 45-7,,9,7,186,26.57,1,77.8%,20.67,0,0,,0,1,6
15,2017,2017-12-24,15,24.248,JAX,@,SFO,L 33-44,*,13,6,108,18.00,0,46.2%,8.31,0,0,,0,0,0
16,2017,2017-12-31,16,24.255,JAX,@,TEN,L 10-15,*,8,4,33,8.25,0,50.0%,4.13,0,0,,0,0,0
17,2018,2018-09-09,1,25.142,JAX,@,NYG,W 20-15,*,4,3,54,18.00,0,75.0%,13.50,0,0,,0,0,0
18,2018,2018-09-16,2,25.149,JAX,,NWE,W 31-20,*,8,7,116,16.57,1,87.5%,14.50,0,0,,0,1,6
19,2018,2018-09-23,3,25.156,JAX,,TEN,L 6-9,*,9,5,40,8.00,0,55.6%,4.44,0,0,,0,0,0
