ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1995,1995-09-17,3,24.180,NWE,@,SFO,L 3-28,,0,0,,0,0.0%,,,
2,1995,1995-10-01,4,24.194,NWE,@,ATL,L 17-30,2,0,0,,0,0.0%,0.00,,
3,1995,1995-10-23,7,24.216,NWE,,BUF,W 27-14,,0,0,,0,0.0%,,,
4,1995,1995-11-12,10,24.236,NWE,@,MIA,W 34-17,1,0,0,,0,0.0%,0.00,,
5,1995,1995-11-19,11,24.243,NWE,,IND,L 10-24,5,1,16,16.00,0,20.0%,3.20,0,0
6,1995,1995-11-26,12,24.250,NWE,@,BUF,W 35-25,,0,0,,0,0.0%,,,
7,1995,1995-12-03,13,24.257,NWE,,NOR,L 17-31,2,1,5,5.00,0,50.0%,2.50,0,0
8,1995,1995-12-10,14,24.264,NWE,,NYJ,W 31-28,6,3,66,22.00,1,50.0%,11.00,1,6
9,1995,1995-12-16,15,24.270,NWE,@,PIT,L 27-41,8,3,24,8.00,0,37.5%,3.00,0,0
10,1995,1995-12-23,16,24.277,NWE,@,IND,L 7-10,3,2,45,22.50,1,66.7%,15.00,1,6
11,1996,1996-09-01,1,25.164,NWE,@,MIA,L 10-24,5,2,32,16.00,0,40.0%,6.40,0,0
12,1996,1996-09-08,2,25.171,NWE,@,BUF,L 10-17,1,1,11,11.00,0,100.0%,11.00,0,0
13,1996,1996-09-15,3,25.178,NWE,,ARI,W 31-0,2,1,10,10.00,0,50.0%,5.00,0,0
14,1996,1996-09-22,4,25.185,NWE,,JAX,W 28-25,1,0,0,,0,0.0%,0.00,,
15,1996,1996-10-27,8,25.220,NWE,,BUF,W 28-25,,0,0,,0,0.0%,,,
16,1996,1996-11-03,9,25.227,NWE,,MIA,W 42-23,1,1,11,11.00,0,100.0%,11.00,0,0
17,1996,1996-11-10,10,25.234,NWE,@,NYJ,W 31-27,1,0,0,,0,0.0%,0.00,,
18,1996,1996-11-24,12,25.248,NWE,,IND,W 27-13,,0,0,,0,0.0%,,,
19,1996,1996-12-01,13,25.255,NWE,@,SDG,W 45-7,,0,0,,0,0.0%,,,
