ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1990,1990-09-23,3,23.238,NWE,@,CIN,L 7-41,,4,6,66.67,40,0,0,85.4,0,0,6.67,6.67,2,13,6.50,0,,0,0,,0,,
2,1990,1990-11-25,11,23.301,NWE,@,PHO,L 14-34,*,17,29,58.62,182,2,0,100.1,5,40,6.28,7.66,3,25,8.33,0,,0,0,,0,,
3,1990,1990-12-02,12,23.308,NWE,,KAN,L 7-37,*,20,39,51.28,211,1,2,54.5,6,44,5.41,3.62,0,0,,0,,0,0,,0,,
4,1990,1990-12-09,13,23.315,NWE,@,PIT,L 3-24,*,14,27,51.85,147,0,1,52.5,3,21,5.44,3.78,3,18,6.00,0,,0,0,,0,,
5,1990,1990-12-15,14,23.321,NWE,,WAS,L 10-25,*,13,24,54.17,217,0,1,67.5,5,34,9.04,7.17,2,0,0.00,0,,0,0,,0,,
6,1990,1990-12-23,15,23.329,NWE,@,NYJ,L 7-42,*,5,8,62.50,53,0,0,81.8,1,8,6.63,6.63,1,23,23.00,0,,0,0,,0,,
7,1990,1990-12-30,16,23.336,NWE,,NYG,L 10-13,*,12,23,52.17,118,1,1,63.3,0,0,5.13,4.04,1,0,0.00,0,,0,0,,0,,
8,1991,1991-09-01,1,24.216,NWE,@,IND,W 16-7,*,13,18,72.22,136,1,0,112.3,2,11,7.56,8.67,2,-2,-1.00,0,,0,0,,0,,
9,1991,1991-09-08,2,24.223,NWE,,CLE,L 0-20,*,12,26,46.15,95,0,2,23.7,4,24,3.65,0.19,1,1,1.00,0,,0,0,,0,,
10,1991,1991-09-15,3,24.230,NWE,@,PIT,L 6-20,*,11,24,45.83,114,0,2,25.3,3,22,4.75,1.00,1,1,1.00,0,,0,0,,0,,
11,1991,1991-09-22,4,24.237,NWE,,HOU,W 24-20,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,
12,1991,1991-09-29,5,24.244,NWE,@,PHO,L 10-24,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,
13,1991,1991-10-06,6,24.251,NWE,,MIA,L 10-20,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,
14,1991,1991-10-20,7,24.265,NWE,,MIN,W 26-23,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,
15,1991,1991-10-27,8,24.272,NWE,,DEN,L 6-9,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,
16,1991,1991-11-03,9,24.279,NWE,@,BUF,L 17-22,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,
17,1991,1991-11-10,10,24.286,NWE,@,MIA,L 20-30,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,
18,1991,1991-11-17,11,24.293,NWE,,NYJ,L 21-28,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,
19,1991,1991-11-24,12,24.300,NWE,,BUF,W 16-13,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,
20,1991,1991-12-01,13,24.307,NWE,@,DEN,L 3-20,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,
21,1991,1991-12-08,14,24.314,NWE,,IND,W 23-17,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,
22,1991,1991-12-15,15,24.321,NWE,@,NYJ,W 6-3,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,
23,1991,1991-12-22,16,24.328,NWE,@,CIN,L 7-29,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,
24,1992,1992-09-13,1,25.229,NWE,@,RAM,L 0-14,,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,,0,0.0%,
25,1992,1992-09-20,2,25.236,NWE,,SEA,L 6-10,,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,,0,0.0%,
26,1992,1992-09-27,3,25.243,NWE,,BUF,L 7-41,,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,,0,0.0%,
27,1992,1992-10-04,4,25.250,NWE,@,NYJ,L 21-30,,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,,0,0.0%,
28,1992,1992-10-11,5,25.257,NWE,,SFO,L 12-24,,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,,0,0.0%,
29,1992,1992-10-18,6,25.264,NWE,@,MIA,L 17-38,*,25,43,58.14,267,2,0,91.9,2,12,6.21,7.14,3,5,1.67,0,1,1,-6,-6.00,0,100.0%,-6.00
30,1992,1992-10-25,7,25.271,NWE,,CLE,L 17-19,,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,,0,0.0%,
31,1992,1992-11-01,8,25.278,NWE,@,BUF,L 7-16,*,17,26,65.38,171,0,1,67.9,5,44,6.58,4.85,2,6,3.00,0,,0,0,,0,0.0%,
32,1992,1992-11-08,9,25.285,NWE,,NOR,L 14-31,*,8,22,36.36,58,0,1,25.9,5,40,2.64,0.59,0,0,,0,,0,0,,0,0.0%,
33,1995,1995-09-17,3,28.232,NOR,,ATL,L 24-27,,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,0,0,,0,0,0,0,,0,0.0%,
34,1995,1995-10-01,5,28.246,NOR,,PHI,L 10-15,,2,4,50.00,5,0,0,56.2,0,0,1.25,1.25,0,0,,0,0,0,0,,0,0.0%,
35,1995,1995-10-22,7,28.267,NOR,@,CAR,L 3-20,,0,0,,0,0,0,,0,,,,,,,,,,,,,0.0%,
36,1995,1995-10-29,8,28.274,NOR,@,SFO,W 11-7,,0,0,,0,0,0,,0,,,,,,,,,,,,,0.0%,
