ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2008,2008-09-14,2,26.297,NOR,@,WAS,L 24-29,,,,,,,0.0%,,,,,,,,
2,2008,2008-09-21,3,26.304,NOR,@,DEN,L 32-34,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
3,2008,2008-09-28,4,26.311,NOR,,SFO,W 31-17,,,,,,,0.0%,,,,,,,,
4,2008,2008-10-06,5,26.319,NOR,,MIN,L 27-30,,,,,,,0.0%,,,,,,,,
5,2008,2008-11-16,10,26.360,NOR,@,KAN,W 30-20,,0,0,0,,0,0.0%,,1,8,8.00,0,0.0,0,1
6,2008,2008-11-24,11,27.002,NOR,,GNB,W 51-29,*,,,,,,0.0%,,,,,,,,
7,2008,2008-11-30,12,27.008,NOR,@,TAM,L 20-23,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
8,2008,2008-12-07,13,27.015,NOR,,ATL,W 29-25,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
9,2008,2008-12-11,14,27.019,NOR,@,CHI,L 24-27,,1,,,,,0.0%,,,,,,,,
10,2008,2008-12-21,15,27.029,NOR,@,DET,W 42-7,,,,,,,0.0%,,,,,,,,
11,2008,2008-12-28,16,27.036,NOR,,CAR,L 31-33,,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0.0,0,0
12,2009,2009-09-13,1,27.295,NOR,,DET,W 45-27,,,0,0,,0,0.0%,,0,0,,0,0.0,0,0
