ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1996,1996-09-01,1,23.195,ARI,@,IND,L 13-20,,,,,,,,,,
2,1996,1996-09-08,2,23.202,ARI,,MIA,L 10-38,,,,,,,,,,
3,1996,1996-09-15,3,23.209,ARI,@,NWE,L 0-31,,,,,,,,,,
4,1996,1996-09-22,4,23.216,ARI,@,NOR,W 28-14,,,,,,,,,,
5,1996,1996-09-29,5,23.223,ARI,,STL,W 31-28,,,,,,,,,,
6,1996,1996-10-13,6,23.237,ARI,@,DAL,L 3-17,,,,,,,,,,
7,1996,1996-10-20,7,23.244,ARI,,TAM,W 13-9,,,,,,,,,,
8,1996,1996-10-27,8,23.251,ARI,,NYJ,L 21-31,,,,,,,,,,
9,1996,1996-11-03,9,23.258,ARI,@,NYG,L 8-16,,,,,,,,,,
10,1996,1996-11-10,10,23.265,ARI,@,WAS,W 37-34,,,,,,,,,,
11,1996,1996-11-17,11,23.272,ARI,,NYG,W 31-23,,,,,,,,,,
12,1996,1996-11-24,12,23.279,ARI,,PHI,W 36-30,,,,,,,,,,
13,1996,1996-12-01,13,23.286,ARI,@,MIN,L 17-41,,,,,,,,,,
14,1996,1996-12-08,14,23.293,ARI,,DAL,L 6-10,,,,,,,,,,
15,1996,1996-12-15,15,23.300,ARI,,WAS,W 27-26,,,,,,,,,,
16,1996,1996-12-22,16,23.307,ARI,@,PHI,L 19-29,,,,,,,,,,
17,1997,1997-08-31,1,24.193,ARI,@,CIN,L 21-24,,,,,,,,,,
18,1997,1997-09-07,2,24.200,ARI,,DAL,W 25-22,,,,,,,,,,
19,1997,1997-09-14,3,24.207,ARI,@,WAS,L 13-19,,,,,,,,,,
20,1997,1997-09-28,4,24.221,ARI,@,TAM,L 18-19,,,,,,,,,,
21,1997,1997-10-05,5,24.228,ARI,,MIN,L 19-20,,,,,,,,,,
22,1997,1997-10-26,8,24.249,ARI,,TEN,L 14-41,,,,,,,,,,
23,1997,1997-11-02,9,24.256,ARI,,PHI,W 31-21,,,,,,,,,,
24,1997,1997-11-09,10,24.263,ARI,@,DAL,L 6-24,,,,,,,,,,
25,1997,1997-11-16,11,24.270,ARI,@,NYG,L 10-19,,,,,,,,,,
26,1997,1997-11-30,13,24.284,ARI,,PIT,L 20-26,,,,,,,,,,
27,1997,1997-12-07,14,24.291,ARI,,WAS,L 28-38,,,,,,,,,,
28,1997,1997-12-14,15,24.298,ARI,@,NOR,L 10-27,,,,,,,,,,
29,1997,1997-12-21,16,24.305,ARI,,ATL,W 29-26,,0,0,,0,0,0,1,0,0
30,1998,1998-09-06,1,25.199,ARI,@,DAL,L 10-38,,0,0,,0,0,0,1,30,0
31,1998,1998-09-13,2,25.206,ARI,@,SEA,L 14-33,,,,,,,,,,
32,1998,1998-09-20,3,25.213,ARI,,PHI,W 17-3,,,,,,,,,,
33,1998,1998-09-27,4,25.220,ARI,@,STL,W 20-17,,,,,,,,,,
34,1998,1998-10-04,5,25.227,ARI,,OAK,L 20-23,,,,,,,,,,
35,1998,1998-10-11,6,25.234,ARI,,CHI,W 20-7,,,,,,,,,,
36,1998,1998-10-18,7,25.241,ARI,@,NYG,L 7-34,,,,,,,,,,
37,1998,1998-11-01,8,25.255,ARI,@,DET,W 17-15,,,,,,,,,,
38,1998,1998-11-08,9,25.262,ARI,,WAS,W 29-27,,,,,,,,,,
39,1998,1998-11-15,10,25.269,ARI,,DAL,L 28-35,,,,,,,,,,
40,1998,1998-11-22,11,25.276,ARI,@,WAS,W 45-42,,,,,,,,,,
41,1998,1998-11-29,12,25.283,ARI,@,KAN,L 24-34,,,,,,,,,,
42,1998,1998-12-06,13,25.290,ARI,,NYG,L 19-23,,,,,,,,,,
43,1998,1998-12-13,14,25.297,ARI,@,PHI,W 20-17,,0,0,,0,1,6,1,70,1
44,1998,1998-12-20,15,25.304,ARI,,NOR,W 19-17,,,,,,,,,,
45,1998,1998-12-27,16,25.311,ARI,,SDG,W 16-13,,,,,,,,,,
46,1999,1999-09-12,1,26.205,ARI,@,PHI,W 25-24,*,,,,,,,,,
