ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2003,2003-09-28,3,24.349,CAR,,ATL,W 23-3,,,,,,,,,,,,,
2,2003,2003-10-05,4,24.356,CAR,,NOR,W 19-13,,,,,,,,,,,,,
3,2003,2003-10-12,5,24.363,CAR,@,IND,W 23-20,,,,,,,,,,,,,
4,2003,2003-10-19,6,25.005,CAR,,TEN,L 17-37,,,,,,,,,,,,,
5,2003,2003-10-26,7,25.012,CAR,@,NOR,W 23-20,,,,,,,,,,,,,
6,2003,2003-11-02,8,25.019,CAR,@,HOU,L 10-14,,,,,,,,,,,,,
7,2003,2003-11-09,9,25.026,CAR,,TAM,W 27-24,,,,,,,,,,,,,
8,2003,2003-11-16,10,25.033,CAR,,WAS,W 20-17,,,,,,,,,,,,,
9,2003,2003-11-23,11,25.040,CAR,@,DAL,L 20-24,,,,,,,,,,,,,
10,2003,2003-11-30,12,25.047,CAR,,PHI,L 16-25,,,,,,,,,,,,,
11,2003,2003-12-07,13,25.054,CAR,@,ATL,L 14-20,,,,,,,,,,,,,
12,2003,2003-12-14,14,25.061,CAR,@,ARI,W 20-17,,,,,,,,,,,,,
13,2003,2003-12-21,15,25.068,CAR,,DET,W 20-14,,,,,,,,,,,,,
14,2003,2003-12-28,16,25.075,CAR,@,NYG,W 37-24,,,,,,,,,,,,,
15,2004,2004-09-19,2,25.341,CAR,@,KAN,W 28-17,,,,,,,,,,,,,
16,2004,2004-10-03,3,25.355,CAR,,ATL,L 10-27,,,,,,,,,,,,,
17,2004,2004-10-10,4,25.362,CAR,@,DEN,L 17-20,*,,,,,,,,,,,,
18,2004,2004-10-17,5,26.003,CAR,@,PHI,L 8-30,*,,,,,,,,,,,,
19,2004,2004-10-24,6,26.010,CAR,,SDG,L 6-17,*,,,,,,,,,,,,
20,2004,2004-10-31,7,26.017,CAR,@,SEA,L 17-23,*,,,,,,,,,,,,
21,2004,2004-11-14,9,26.031,CAR,@,SFO,W 37-27,*,,,,,,,,,,,,
22,2004,2004-11-21,10,26.038,CAR,,ARI,W 35-10,*,,,,,,,,,,,,
23,2004,2004-11-28,11,26.045,CAR,,TAM,W 21-14,*,,,,,,,,,,,,
24,2004,2004-12-05,12,26.052,CAR,@,NOR,W 32-21,*,,,,,,,,,,,,
25,2004,2004-12-12,13,26.059,CAR,,STL,W 20-7,*,0,0,,0,0,0,2.0,,,0,0,0
26,2004,2004-12-18,14,26.065,CAR,@,ATL,L 31-34,*,,,,,,,,,,,,
