ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1986,1986-09-07,1,24.073,NOR,,ATL,L 10-31,4,21,5.25,0,,1,9,9.00,0,,,0,0,,0,0,0,,0,0,0
2,1986,1986-09-14,2,24.080,NOR,,GNB,W 24-10,8,16,2.00,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
3,1986,1986-09-21,3,24.087,NOR,@,SFO,L 17-26,2,5,2.50,0,,2,24,12.00,0,,,0,0,,0,0,0,,0,0,0
4,1986,1986-09-28,4,24.094,NOR,@,NYG,L 17-20,3,7,2.33,0,,2,10,5.00,0,,,0,0,,0,0,0,,0,0,0
5,1986,1986-10-05,5,24.101,NOR,,WAS,L 6-14,6,19,3.17,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
6,1986,1986-10-12,6,24.108,NOR,@,IND,W 17-14,3,13,4.33,1,,0,0,,0,,,0,0,,0,0,0,,0,1,6
7,1986,1986-10-19,7,24.115,NOR,,TAM,W 38-7,6,17,2.83,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
8,1986,1986-10-26,8,24.122,NOR,@,NYJ,L 23-28,3,3,1.00,0,,1,3,3.00,0,,,0,0,,0,0,0,,0,0,0
9,1986,1986-11-02,9,24.129,NOR,,SFO,W 23-10,5,16,3.20,0,,2,63,31.50,0,,,0,0,,0,0,0,,0,0,0
10,1986,1986-11-09,10,24.136,NOR,,RAM,W 6-0,8,27,3.38,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
11,1986,1986-11-16,11,24.143,NOR,@,STL,W 16-7,3,13,4.33,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
12,1986,1986-11-23,12,24.150,NOR,@,RAM,L 13-26,2,6,3.00,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
13,1986,1986-11-30,13,24.157,NOR,,NWE,L 20-21,5,16,3.20,0,,1,9,9.00,0,,,0,0,,0,0,0,,0,0,0
14,1986,1986-12-07,14,24.164,NOR,,MIA,L 27-31,3,19,6.33,0,,1,5,5.00,0,,,0,0,,0,0,0,,0,0,0
15,1986,1986-12-14,15,24.171,NOR,@,ATL,W 14-9,4,8,2.00,0,,1,4,4.00,0,,,0,0,,0,0,0,,0,0,0
16,1986,1986-12-21,16,24.178,NOR,@,MIN,L 17-33,3,1,0.33,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
17,1987,1987-09-13,1,25.079,NOR,,CLE,W 28-21,5,12,2.40,0,,1,2,2.00,0,,,0,0,,0,0,0,,0,0,0
18,1987,1987-09-20,2,25.086,NOR,@,PHI,L 17-27,1,2,2.00,0,,1,11,11.00,0,,,0,0,,0,0,0,,0,0,0
19,1987,1987-10-25,6,25.121,NOR,,SFO,L 22-24,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,0,
20,1987,1987-11-01,7,25.128,NOR,@,ATL,W 38-0,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,0,
21,1987,1987-11-08,8,25.135,NOR,@,RAM,W 31-14,1,3,3.00,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
22,1987,1987-11-15,9,25.142,NOR,@,SFO,W 26-24,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,0,
23,1987,1987-11-22,10,25.149,NOR,,NYG,W 23-14,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,0,
24,1987,1987-11-29,11,25.156,NOR,@,PIT,W 20-16,0,0,,0,,0,0,,0,,,0,0,,0,1,13,13.00,0,0,0
25,1987,1987-12-06,12,25.163,NOR,,TAM,W 44-34,0,0,,0,,0,0,,0,,,1,12,12.00,0,0,0,,0,0,0
26,1987,1987-12-13,13,25.170,NOR,,HOU,W 24-10,2,5,2.50,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
27,1987,1987-12-20,14,25.177,NOR,@,CIN,W 41-24,2,9,4.50,2,,0,0,,0,,,0,0,,0,0,0,,0,2,12
28,1987,1987-12-27,15,25.184,NOR,,GNB,W 33-24,1,5,5.00,0,,0,0,,0,,,1,16,16.00,0,0,0,,0,0,0
29,1988,1988-09-18,3,26.084,NOR,@,DET,W 22-14,0,0,,0,,0,0,,0,,,,,,,,,,,0,
30,1988,1988-09-25,4,26.091,NOR,,TAM,W 13-9,0,0,,0,,0,0,,0,,,,,,,,,,,0,
31,1988,1988-10-03,5,26.099,NOR,,DAL,W 20-17,0,0,,0,,0,0,,0,,,,,,,,,,,0,
32,1988,1988-10-09,6,26.105,NOR,@,SDG,W 23-17,0,0,,0,,0,0,,0,,,,,,,,,,,0,
33,1988,1988-10-16,7,26.112,NOR,@,SEA,W 20-19,0,0,,0,,0,0,,0,,,,,,,,,,,0,
34,1988,1988-10-23,8,26.119,NOR,,RAI,W 20-6,0,0,,0,,0,0,,0,,,,,,,,,,,0,
35,1988,1988-10-30,9,26.126,NOR,,RAM,L 10-12,0,0,,0,,1,2,2.00,0,,,0,0,,0,0,0,,0,0,0
36,1988,1988-11-06,10,26.133,NOR,@,WAS,L 24-27,0,0,,0,,2,38,19.00,0,,,0,0,,0,0,0,,0,0,0
37,1988,1988-11-13,11,26.140,NOR,@,RAM,W 14-10,2,9,4.50,0,,1,11,11.00,0,,,0,0,,0,0,0,,0,0,0
38,1988,1988-11-20,12,26.147,NOR,,DEN,W 42-0,3,8,2.67,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
39,1988,1988-11-27,13,26.154,NOR,,NYG,L 12-13,7,26,3.71,0,,1,19,19.00,0,,,0,0,,0,0,0,,0,0,0
40,1988,1988-12-04,14,26.161,NOR,@,MIN,L 3-45,1,4,4.00,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
41,1988,1988-12-11,15,26.168,NOR,@,SFO,L 17-30,0,0,,0,,0,0,,0,,,,,,,,,,,0,
42,1988,1988-12-18,16,26.175,NOR,,ATL,W 10-9,6,68,11.33,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
43,1989,1989-09-10,1,27.076,NOR,,DAL,W 28-0,1,3,3.00,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
44,1989,1989-09-24,3,27.090,NOR,@,TAM,L 10-20,1,0,0.00,0,,1,14,14.00,0,,,0,0,,0,0,0,,0,0,0
45,1989,1989-10-01,4,27.097,NOR,,WAS,L 14-16,1,32,32.00,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
46,1989,1989-11-06,9,27.133,NOR,@,SFO,L 13-31,1,2,2.00,0,,2,24,12.00,0,,,0,0,,0,0,0,,0,0,0
47,1989,1989-11-12,10,27.139,NOR,@,NWE,W 28-24,7,22,3.14,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
48,1989,1989-11-19,11,27.146,NOR,@,ATL,W 26-17,8,33,4.13,2,,0,0,,0,,,0,0,,0,0,0,,0,2,12
49,1989,1989-11-26,12,27.153,NOR,,RAM,L 17-20,4,21,5.25,0,,1,15,15.00,0,,,0,0,,0,0,0,,0,0,0
50,1989,1989-12-03,13,27.160,NOR,@,DET,L 14-21,3,4,1.33,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
51,1989,1989-12-10,14,27.167,NOR,@,BUF,W 22-19,4,34,8.50,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
52,1989,1989-12-18,15,27.175,NOR,,PHI,W 30-20,3,4,1.33,1,,0,0,,0,,,0,0,,0,0,0,,0,1,6
53,1989,1989-12-24,16,27.181,NOR,,IND,W 41-6,5,24,4.80,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
54,1990,1990-11-25,11,28.152,NOR,,ATL,W 10-7,,,,,,,,,,,,,,,,,,,,,
55,1990,1990-12-02,12,28.159,NOR,@,DAL,L 13-17,,,,,,,,,,,,,,,,,,,,,
56,1990,1990-12-09,13,28.166,NOR,@,RAM,W 24-20,,,,,,,,,,,,,,,,,,,,,
57,1990,1990-12-16,14,28.173,NOR,,PIT,L 6-9,,,,,,,,,,,,,,,,,,,,,
58,1990,1990-12-23,15,28.180,NOR,@,SFO,W 13-10,,,,,,,,,,,,,,,,,,,,,
59,1990,1990-12-31,16,28.188,NOR,,RAM,W 20-17,,,,,,,,,,,,,,,,,,,,,
60,1991,1991-09-15,3,29.081,NOR,,RAM,W 24-7,0,0,,0,,0,0,,0,,,0,0,,0,,,,,0,
61,1991,1991-09-22,4,29.088,NOR,,MIN,W 26-0,2,8,4.00,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
62,1991,1991-09-29,5,29.095,NOR,@,ATL,W 27-6,2,4,2.00,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
63,1991,1991-10-13,6,29.109,NOR,@,PHI,W 13-6,1,0,0.00,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
64,1991,1991-10-20,7,29.116,NOR,,TAM,W 23-7,6,11,1.83,0,,2,-3,-1.50,0,,,0,0,,0,0,0,,0,0,0
65,1991,1991-10-27,8,29.123,NOR,,CHI,L 17-20,2,6,3.00,0,,1,2,2.00,0,,,0,0,,0,0,0,,0,0,0
66,1991,1991-11-03,9,29.130,NOR,@,RAM,W 24-17,14,46,3.29,1,,0,0,,0,,,0,0,,0,0,0,,0,1,6
67,1991,1991-11-10,10,29.137,NOR,,SFO,W 10-3,5,12,2.40,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
68,1991,1991-11-17,11,29.144,NOR,@,SDG,L 21-24,2,0,0.00,0,,3,21,7.00,1,,,1,0,0.00,0,0,0,,0,1,6
69,1991,1991-11-24,12,29.151,NOR,,ATL,L 20-23,4,13,3.25,0,,1,14,14.00,0,,,0,0,,0,0,0,,0,0,0
70,1991,1991-12-01,13,29.158,NOR,@,SFO,L 24-38,1,2,2.00,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
71,1991,1991-12-08,14,29.165,NOR,@,DAL,L 14-23,1,4,4.00,0,,4,38,9.50,0,,,0,0,,0,0,0,,0,0,0
72,1991,1991-12-16,15,29.173,NOR,,RAI,W 27-0,3,6,2.00,0,,3,19,6.33,0,,,0,0,,0,0,0,,0,0,0
73,1991,1991-12-22,16,29.179,NOR,@,PHO,W 27-3,4,38,9.50,1,,1,1,1.00,0,,,1,18,18.00,0,0,0,,0,1,6
74,1992,1992-12-20,15,30.177,NOR,,BUF,L 16-20,0,0,,0,,0,0,,0,0.0%,,1,18,18.00,0,0,0,,0,0,0
75,1992,1992-12-26,16,30.183,NOR,@,NYJ,W 20-0,,,,,,,,,,0.0%,,0,0,,0,,,,,,
