ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-09-12,1,22.088,CIN,@,NWE,L 24-38,,10,6,25,4.17,1,60.0%,2.50,,1,6,0.0,0,0
2,2010,2010-09-19,2,22.095,CIN,,BAL,W 15-10,,5,3,15,5.00,0,60.0%,3.00,,0,0,0.0,0,0
3,2010,2010-09-26,3,22.102,CIN,@,CAR,W 20-7,*,6,4,59,14.75,0,66.7%,9.83,,0,0,0.0,1,0
4,2010,2010-10-03,4,22.109,CIN,@,CLE,L 20-23,*,6,5,35,7.00,0,83.3%,5.83,,0,0,0.0,0,0
5,2010,2010-10-10,5,22.116,CIN,,TAM,L 21-24,*,6,4,24,6.00,1,66.7%,4.00,,1,6,0.0,0,0
6,2010,2010-10-24,6,22.130,CIN,@,ATL,L 32-39,*,6,4,26,6.50,0,66.7%,4.33,,0,0,0.0,0,0
7,2010,2010-10-31,7,22.137,CIN,,MIA,L 14-22,*,8,3,17,5.67,0,37.5%,2.13,,0,0,0.0,0,0
8,2010,2010-11-08,8,22.145,CIN,,PIT,L 21-27,,3,2,11,5.50,0,66.7%,3.67,,0,0,0.0,0,0
9,2010,2010-11-14,9,22.151,CIN,@,IND,L 17-23,,10,9,85,9.44,1,90.0%,8.50,,1,6,0.0,1,0
10,2010,2010-11-21,10,22.158,CIN,,BUF,L 31-49,*,3,2,33,16.50,0,66.7%,11.00,,0,0,0.0,0,0
11,2010,2010-11-25,11,22.162,CIN,@,NYJ,L 10-26,*,7,2,36,18.00,0,28.6%,5.14,,0,0,0.0,0,0
12,2010,2010-12-05,12,22.172,CIN,,NOR,L 30-34,*,4,3,43,14.33,0,75.0%,10.75,1,0,2,0.0,0,0
13,2010,2010-12-12,13,22.179,CIN,@,PIT,L 7-23,,1,,,,,0.0%,,,,,,,
14,2010,2010-12-19,14,22.186,CIN,,CLE,W 19-17,*,3,1,6,6.00,0,33.3%,2.00,,0,0,0.0,0,0
15,2010,2010-12-26,15,22.193,CIN,,SDG,W 34-20,*,5,4,56,14.00,1,80.0%,11.20,,1,6,0.0,0,0
16,2011,2011-09-11,1,23.087,CIN,@,CLE,W 27-17,*,8,6,58,9.67,1,75.0%,7.25,,1,6,0.0,0,0
17,2011,2011-09-18,2,23.094,CIN,@,DEN,L 22-24,*,5,2,8,4.00,0,40.0%,1.60,,0,0,0.0,0,0
18,2011,2011-09-25,3,23.101,CIN,,SFO,L 8-13,*,8,4,51,12.75,0,50.0%,6.38,,0,0,0.0,0,0
19,2011,2011-10-02,4,23.108,CIN,,BUF,W 23-20,*,7,4,70,17.50,1,57.1%,10.00,,1,6,0.0,0,0
20,2011,2011-10-09,5,23.115,CIN,@,JAX,W 30-20,*,7,5,21,4.20,1,71.4%,3.00,,1,6,0.0,0,0
21,2011,2011-10-16,6,23.122,CIN,,IND,W 27-17,*,6,4,23,5.75,0,66.7%,3.83,,0,0,0.0,0,0
22,2011,2011-11-13,9,23.150,CIN,,PIT,L 17-24,,5,4,23,5.75,1,80.0%,4.60,,1,6,0.0,0,0
23,2011,2011-11-20,10,23.157,CIN,@,BAL,L 24-31,*,6,3,48,16.00,0,50.0%,8.00,,0,0,0.0,0,0
24,2011,2011-11-27,11,23.164,CIN,,CLE,W 23-20,*,9,5,68,13.60,1,55.6%,7.56,,1,6,0.0,0,0
25,2011,2011-12-04,12,23.171,CIN,@,PIT,L 7-35,*,7,3,37,12.33,0,42.9%,5.29,,0,0,0.0,0,0
26,2011,2011-12-11,13,23.178,CIN,,HOU,L 19-20,*,7,3,45,15.00,0,42.9%,6.43,,0,0,0.0,0,0
27,2011,2011-12-18,14,23.185,CIN,@,STL,W 20-13,*,5,3,16,5.33,0,60.0%,3.20,,0,0,0.0,0,0
28,2011,2011-12-24,15,23.191,CIN,,ARI,W 23-16,*,7,5,56,11.20,1,71.4%,8.00,,1,6,0.0,1,0
29,2011,2012-01-01,16,23.199,CIN,,BAL,L 16-24,*,5,5,72,14.40,0,100.0%,14.40,,0,0,0.0,0,0
30,2012,2012-09-10,1,24.086,CIN,@,BAL,L 13-44,*,8,3,30,10.00,0,37.5%,3.75,,0,0,0.0,0,0
31,2012,2012-09-16,2,24.092,CIN,,CLE,W 34-27,*,5,4,37,9.25,0,80.0%,7.40,,0,0,0.0,0,0
32,2012,2012-09-23,3,24.099,CIN,@,WAS,W 38-31,*,7,5,64,12.80,1,71.4%,9.14,,1,6,0.0,0,0
33,2012,2012-09-30,4,24.106,CIN,@,JAX,W 27-10,*,5,5,47,9.40,0,100.0%,9.40,,0,0,0.0,0,0
34,2012,2012-10-07,5,24.113,CIN,,MIA,L 13-17,*,6,5,60,12.00,0,83.3%,10.00,,0,0,0.0,0,0
35,2012,2012-10-14,6,24.120,CIN,@,CLE,L 24-34,*,7,3,68,22.67,1,42.9%,9.71,,1,6,0.0,0,0
36,2012,2012-10-21,7,24.127,CIN,,PIT,L 17-24,,5,3,19,6.33,0,60.0%,3.80,,0,0,0.0,0,0
37,2012,2012-11-04,8,24.141,CIN,,DEN,L 23-31,*,8,6,108,18.00,0,75.0%,13.50,,0,0,0.0,0,0
38,2012,2012-11-11,9,24.148,CIN,,NYG,W 31-13,*,4,3,15,5.00,1,75.0%,3.75,,1,6,0.0,0,0
39,2012,2012-11-18,10,24.155,CIN,@,KAN,W 28-6,*,8,6,69,11.50,0,75.0%,8.63,,0,0,0.0,0,0
40,2012,2012-11-25,11,24.162,CIN,,OAK,W 34-10,*,4,4,41,10.25,1,100.0%,10.25,,1,6,0.0,0,0
41,2012,2012-12-02,12,24.169,CIN,@,SDG,W 20-13,*,6,4,35,8.75,1,66.7%,5.83,,1,6,0.0,0,0
42,2012,2012-12-09,13,24.176,CIN,,DAL,L 19-20,*,7,4,43,10.75,0,57.1%,6.14,,0,0,0.0,0,0
43,2012,2012-12-13,14,24.180,CIN,@,PHI,W 34-13,*,9,6,63,10.50,0,66.7%,7.00,,0,0,0.0,0,0
44,2012,2012-12-23,15,24.190,CIN,@,PIT,W 13-10,*,4,3,38,12.67,0,75.0%,9.50,,0,0,0.0,0,0
45,2012,2012-12-30,16,24.197,CIN,,BAL,W 23-17,*,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
46,2013,2013-09-08,1,25.084,CIN,@,CHI,L 21-24,*,5,5,35,7.00,0,100.0%,7.00,,0,0,0.0,0,0
47,2013,2013-09-16,2,25.092,CIN,,PIT,W 20-10,*,9,6,66,11.00,0,66.7%,7.33,,0,0,0.0,0,0
48,2013,2013-09-22,3,25.098,CIN,,GNB,W 34-30,*,5,4,27,6.75,0,80.0%,5.40,,0,0,0.0,1,0
49,2013,2013-09-29,4,25.105,CIN,@,CLE,L 6-17,*,5,3,53,17.67,0,60.0%,10.60,,0,0,0.0,0,0
50,2013,2013-10-06,5,25.112,CIN,,NWE,W 13-6,*,4,4,24,6.00,0,100.0%,6.00,,0,0,0.0,0,0
51,2013,2013-10-13,6,25.119,CIN,@,BUF,W 27-24,*,4,2,5,2.50,0,50.0%,1.25,,0,0,0.0,0,0
52,2013,2013-10-20,7,25.126,CIN,@,DET,W 27-24,*,5,4,64,16.00,0,80.0%,12.80,,0,0,0.0,0,0
53,2013,2013-10-27,8,25.133,CIN,,NYJ,W 49-9,*,3,2,14,7.00,1,66.7%,4.67,,1,6,0.0,0,0
54,2013,2013-10-31,9,25.137,CIN,@,MIA,L 20-22,*,7,3,33,11.00,0,42.9%,4.71,,0,0,0.0,0,0
55,2013,2013-11-17,11,25.154,CIN,,CLE,W 41-20,*,6,2,27,13.50,1,33.3%,4.50,,1,6,0.0,0,0
56,2013,2013-12-01,12,25.168,CIN,@,SDG,W 17-10,*,2,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
57,2013,2013-12-08,13,25.175,CIN,,IND,W 42-28,*,5,5,41,8.20,1,100.0%,8.20,,1,6,0.0,0,0
58,2013,2013-12-15,14,25.182,CIN,@,PIT,L 20-30,*,5,3,23,7.67,0,60.0%,4.60,,0,0,0.0,0,0
59,2013,2013-12-22,15,25.189,CIN,,MIN,W 42-14,*,3,3,46,15.33,1,100.0%,15.33,,1,6,0.0,0,0
60,2014,2014-09-07,1,26.083,CIN,@,BAL,W 23-16,*,5,2,16,8.00,0,40.0%,3.20,,0,0,0.0,0,0
61,2014,2014-09-14,2,26.090,CIN,,ATL,W 24-10,*,3,3,25,8.33,0,100.0%,8.33,,0,0,0.0,0,0
62,2014,2014-09-21,3,26.097,CIN,,TEN,W 33-7,*,1,1,5,5.00,0,100.0%,5.00,,0,0,0.0,0,0
63,2014,2014-10-05,4,26.111,CIN,@,NWE,L 17-43,*,4,2,15,7.50,0,50.0%,3.75,,0,0,0.0,0,0
64,2014,2014-10-12,5,26.118,CIN,,CAR,T 37-37,*,7,6,68,11.33,0,85.7%,9.71,,0,0,0.0,0,0
65,2014,2014-10-19,6,26.125,CIN,@,IND,L 0-27,*,12,10,48,4.80,0,83.3%,4.00,,0,0,0.0,0,0
66,2014,2014-10-26,7,26.132,CIN,,BAL,W 27-24,*,4,4,34,8.50,0,100.0%,8.50,,0,0,0.0,0,0
67,2014,2014-11-02,8,26.139,CIN,,JAX,W 33-23,*,6,5,36,7.20,0,83.3%,6.00,,0,0,0.0,0,0
68,2014,2014-11-06,9,26.143,CIN,,CLE,L 3-24,*,6,3,29,9.67,0,50.0%,4.83,,0,0,0.0,0,0
69,2014,2014-11-16,10,26.153,CIN,@,NOR,W 27-10,*,3,2,13,6.50,2,66.7%,4.33,,2,12,0.0,0,0
70,2014,2014-11-23,11,26.160,CIN,@,HOU,W 22-13,*,6,4,33,8.25,0,66.7%,5.50,,0,0,0.0,0,0
71,2014,2014-11-30,12,26.167,CIN,@,TAM,W 14-13,*,5,5,33,6.60,0,100.0%,6.60,,0,0,0.0,0,0
72,2014,2014-12-07,13,26.174,CIN,,PIT,L 21-42,*,4,3,23,7.67,1,75.0%,5.75,,1,6,0.0,0,0
73,2014,2014-12-22,15,26.189,CIN,,DEN,W 37-28,*,10,9,62,6.89,1,90.0%,6.20,,1,6,0.0,0,0
74,2014,2014-12-28,16,26.195,CIN,@,PIT,L 17-27,*,3,3,20,6.67,1,100.0%,6.67,,1,6,0.0,0,0
75,2015,2015-09-13,1,27.089,ARI,,NOR,W 31-19,*,1,1,4,4.00,0,100.0%,4.00,,0,0,0.0,0,0
76,2015,2015-09-20,2,27.096,ARI,@,CHI,W 48-23,*,1,1,5,5.00,0,100.0%,5.00,,0,0,0.0,0,0
77,2015,2015-09-27,3,27.103,ARI,,SFO,W 47-7,*,3,2,34,17.00,0,66.7%,11.33,,0,0,0.0,0,0
78,2015,2015-10-04,4,27.110,ARI,,STL,L 22-24,*,3,1,8,8.00,0,33.3%,2.67,,0,0,0.0,0,0
79,2015,2015-10-11,5,27.117,ARI,@,DET,W 42-17,,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
