ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1974,1974-09-15,1,22.357,BAL,@,PIT,L 0-30,,,,,,,,
2,1974,1974-09-22,2,22.364,BAL,,GNB,L 13-20,,,,,,,,
3,1974,1974-09-29,3,23.006,BAL,@,PHI,L 10-30,,,,,,,,
4,1974,1974-10-06,4,23.013,BAL,@,NWE,L 3-42,1,26,26.00,0,0,0,,0
5,1974,1974-10-13,5,23.020,BAL,,BUF,L 14-27,2,42,21.00,0,4,10,2.50,0
6,1974,1974-10-20,6,23.027,BAL,@,NYJ,W 35-20,1,54,54.00,0,1,14,14.00,0
7,1974,1974-10-27,7,23.034,BAL,@,MIA,L 7-17,0,0,,0,2,12,6.00,0
8,1974,1974-11-03,8,23.041,BAL,,CIN,L 14-24,5,56,11.20,0,2,26,13.00,0
9,1974,1974-11-10,9,23.048,BAL,,DEN,L 6-17,0,0,,0,3,26,8.67,0
10,1974,1974-11-17,10,23.055,BAL,@,ATL,W 17-7,0,0,,0,3,21,7.00,0
11,1974,1974-11-24,11,23.062,BAL,,NWE,L 17-27,2,39,19.50,0,0,0,,0
12,1974,1974-12-01,12,23.069,BAL,@,BUF,L 0-6,,,,,,,,
13,1974,1974-12-08,13,23.076,BAL,,MIA,L 16-17,0,0,,0,1,5,5.00,0
14,1974,1974-12-15,14,23.083,BAL,,NYJ,L 38-45,2,42,21.00,0,0,0,,0
