ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1968,1968-09-29,4,23.115,CIN,,SDG,L 10-31,1,10,10.00,0,0,0,,0,0,0,0
2,1968,1968-12-08,14,23.185,CIN,@,NYJ,L 14-27,0,0,,0,3,80,26.67,0,0,0,0
3,1969,1969-10-26,7,24.142,CIN,@,KAN,L 22-42,0,0,,0,0,0,,0,1,17,0
4,1969,1969-11-02,8,24.149,CIN,,OAK,W 31-17,0,0,,0,0,0,,0,1,0,0
5,1969,1969-11-30,12,24.177,CIN,@,BUF,L 13-16,0,0,,0,0,0,,0,1,0,0
6,1969,1969-12-14,14,24.191,CIN,@,DEN,L 16-27,0,0,,0,0,0,,0,1,6,0
7,1970,1970-09-20,1,25.106,CIN,,OAK,W 31-21,,,,,,,,,,,
8,1970,1970-09-27,2,25.113,CIN,@,DET,L 3-38,,,,,,,,,,,
9,1970,1970-10-04,3,25.120,CIN,,HOU,L 13-20,,,,,,,,,,,
10,1970,1970-10-11,4,25.127,CIN,@,CLE,L 27-30,,,,,,,,,,,
11,1970,1970-10-18,5,25.134,CIN,,KAN,L 19-27,,,,,,,,,,,
12,1970,1970-10-25,6,25.141,CIN,@,WAS,L 0-20,,,,,,,,,,,
13,1970,1970-11-02,7,25.149,CIN,@,PIT,L 10-21,,,,,,,,,,,
14,1970,1970-11-08,8,25.155,CIN,@,BUF,W 43-14,,,,,,,,,,,
15,1970,1970-11-15,9,25.162,CIN,,CLE,W 14-10,,,,,,,,,,,
16,1970,1970-11-22,10,25.169,CIN,,PIT,W 34-7,,,,,,,,,,,
17,1970,1970-11-29,11,25.176,CIN,,NOR,W 26-6,,,,,,,,,,,
18,1970,1970-12-06,12,25.183,CIN,@,SDG,W 17-14,,,,,,,,,,,
19,1970,1970-12-13,13,25.190,CIN,@,HOU,W 30-20,,,,,,,,,,,
20,1970,1970-12-20,14,25.197,CIN,,BOS,W 45-7,,,,,,,,,,,
21,1971,1971-09-19,1,26.105,CIN,,PHI,W 37-14,,,,,,,,,,,
22,1971,1971-09-26,2,26.112,CIN,@,PIT,L 10-21,,,,,,,,,,,
23,1971,1971-10-03,3,26.119,CIN,@,GNB,L 17-20,,,,,,,,,,,
24,1971,1971-10-10,4,26.126,CIN,,MIA,L 13-23,,,,,,,,,,,
25,1971,1971-10-17,5,26.133,CIN,,CLE,L 24-27,,,,,,,,,,,
26,1971,1971-10-24,6,26.140,CIN,@,OAK,L 27-31,0,0,,0,0,0,,0,1,16,0
27,1971,1971-10-31,7,26.147,CIN,@,HOU,L 6-10,,,,,,,,,,,
28,1971,1971-11-07,8,26.154,CIN,,ATL,L 6-9,,,,,,,,,,,
29,1971,1971-11-14,9,26.161,CIN,@,DEN,W 24-10,,,,,,,,,,,
30,1971,1971-11-21,10,26.168,CIN,,HOU,W 28-13,,,,,,,,,,,
31,1971,1971-11-28,11,26.175,CIN,,SDG,W 31-0,,,,,,,,,,,
32,1971,1971-12-05,12,26.182,CIN,@,CLE,L 27-31,,,,,,,,,,,
33,1971,1971-12-12,13,26.189,CIN,,PIT,L 13-21,,,,,,,,,,,
34,1971,1971-12-19,14,26.196,CIN,@,NYJ,L 21-35,,,,,,,,,,,
35,1972,1972-09-17,1,27.103,CIN,@,NWE,W 31-7,,,,,,,,,,,
36,1972,1972-09-24,2,27.110,CIN,,PIT,W 15-10,,,,,,,,,,,
37,1972,1972-10-01,3,27.117,CIN,@,CLE,L 6-27,,,,,,,,,,,
38,1972,1972-10-08,4,27.124,CIN,,DEN,W 21-10,,,,,,,,,,,
39,1972,1972-10-15,5,27.131,CIN,@,KAN,W 23-16,,,,,,,,,,,
40,1972,1972-10-22,6,27.138,CIN,@,RAM,L 12-15,,,,,,,,,,,
41,1972,1972-10-29,7,27.145,CIN,,HOU,W 30-7,,,,,,,,,,,
42,1972,1972-11-05,8,27.152,CIN,@,PIT,L 17-40,,,,,,,,,,,
43,1972,1972-11-12,9,27.159,CIN,,OAK,L 14-20,,,,,,,,,,,
44,1972,1972-11-19,10,27.166,CIN,,BAL,L 19-20,,,,,,,,,,,
45,1972,1972-11-26,11,27.173,CIN,@,CHI,W 13-3,,,,,,,,,,,
46,1972,1972-12-03,12,27.180,CIN,,NYG,W 13-10,,,,,,,,,,,
47,1972,1972-12-09,13,27.186,CIN,,CLE,L 24-27,,,,,,,,,,,
48,1972,1972-12-17,14,27.194,CIN,@,HOU,W 61-17,,,,,,,,,,,
49,1975,1975-09-21,1,30.107,KAN,@,DEN,L 33-37,,,,,,,,,,,
50,1975,1975-09-28,2,30.114,KAN,,NYJ,L 24-30,,,,,,,,,,,
51,1975,1975-10-05,3,30.121,KAN,,SFO,L 3-20,,,,,,,,,,,
52,1975,1975-10-12,4,30.128,KAN,,OAK,W 42-10,,,,,,,,,,,
53,1975,1975-10-19,5,30.135,KAN,@,SDG,W 12-10,,,,,,,,,,,
54,1975,1975-10-26,6,30.142,KAN,,DEN,W 26-13,,,,,,,,,,,
55,1975,1975-11-02,7,30.149,KAN,,HOU,L 13-17,,,,,,,,,,,
56,1975,1975-11-10,8,30.157,KAN,@,DAL,W 34-31,,,,,,,,,,,
57,1975,1975-11-16,9,30.163,KAN,@,PIT,L 3-28,,,,,,,,,,,
58,1975,1975-11-23,10,30.170,KAN,,DET,W 24-21,0,0,,0,1,8,8.00,0,0,0,0
59,1975,1975-11-30,11,30.177,KAN,@,BAL,L 14-28,,,,,,,,,,,
60,1975,1975-12-07,12,30.184,KAN,,SDG,L 20-28,,,,,,,,,,,
61,1975,1975-12-14,13,30.191,KAN,@,CLE,L 14-40,,,,,,,,,,,
62,1975,1975-12-21,14,30.198,KAN,@,OAK,L 20-28,,,,,,,,,,,
