ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,22.360,MIA,,NYJ,L 14-20,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,1,21,21.00,0,1,25,25.00,0,,0,0,0.0,0,0
2,2008,2008-09-14,2,23.001,MIA,@,ARI,L 10-31,,3,2,13,6.50,0,66.7%,4.33,1,13,13.00,0,3,81,27.00,0,0,0,,0,,0,0,0.0,0,0
3,2008,2008-09-21,3,23.008,MIA,@,NWE,W 38-13,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,3,47,15.67,0,1,10,10.00,0,,0,0,0.0,0,0
4,2008,2008-10-05,4,23.022,MIA,,SDG,W 17-10,,4,3,25,8.33,0,75.0%,6.25,0,0,,0,3,49,16.33,0,3,21,7.00,0,,0,0,0.0,0,0
5,2008,2008-10-12,5,23.029,MIA,@,HOU,L 28-29,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,4,113,28.25,0,1,25,25.00,0,,0,0,0.0,0,0
6,2008,2008-10-19,6,23.036,MIA,,BAL,L 13-27,,2,2,12,6.00,1,100.0%,6.00,0,0,,0,0,0,,0,2,10,5.00,0,,1,6,0.0,0,0
7,2008,2008-10-26,7,23.043,MIA,,BUF,W 25-16,,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
8,2008,2008-11-02,8,23.050,MIA,@,DEN,W 26-17,,3,2,28,14.00,0,66.7%,9.33,0,0,,0,0,0,,0,1,5,5.00,0,,0,0,0.0,0,0
9,2008,2008-11-09,9,23.057,MIA,,SEA,W 21-19,,3,2,25,12.50,0,66.7%,8.33,0,0,,0,0,0,,0,3,18,6.00,0,,0,0,0.0,0,0
10,2008,2008-11-16,10,23.064,MIA,,OAK,W 17-15,,5,3,50,16.67,0,60.0%,10.00,0,0,,0,0,0,,0,2,13,6.50,0,,0,0,0.0,0,0
11,2008,2008-11-23,11,23.071,MIA,,NWE,L 28-48,*,9,5,87,17.40,0,55.6%,9.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
12,2008,2008-11-30,12,23.078,MIA,@,STL,W 16-12,*,10,6,84,14.00,0,60.0%,8.40,0,0,,0,0,0,,0,1,17,17.00,0,,0,0,0.0,0,0
13,2008,2008-12-07,13,23.085,MIA,@,BUF,W 16-3,*,11,9,74,8.22,0,81.8%,6.73,0,0,,0,0,0,,0,1,10,10.00,0,,0,0,0.0,0,0
