ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1996,1996-12-15,15,23.114,BAL,@,CAR,L 16-27,,,,,,0.0%,,,,,,,,,,,
2,1997,1997-09-07,2,24.015,BAL,,CIN,W 23-10,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
3,1997,1997-09-21,4,24.029,BAL,@,TEN,W 36-10,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
4,1997,1997-10-05,6,24.043,BAL,,PIT,L 34-42,0,0,0,,0,0.0%,,2,49,24.50,0,0,0,,0,0,0
5,1997,1997-10-19,7,24.057,BAL,,MIA,L 13-24,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
6,1997,1997-10-26,8,24.064,BAL,@,WAS,W 20-17,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
7,1997,1997-11-02,9,24.071,BAL,@,NYJ,L 16-19,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
8,1997,1997-11-09,10,24.078,BAL,@,PIT,L 0-37,7,2,15,7.50,0,28.6%,2.14,2,43,21.50,0,1,8,8.00,0,0,0
9,1997,1997-11-16,11,24.085,BAL,,PHI,T 10-10,0,0,0,,0,0.0%,,2,37,18.50,0,7,64,9.14,0,0,0
10,1997,1997-11-23,12,24.092,BAL,,ARI,L 13-16,0,0,0,,0,0.0%,,1,21,21.00,0,0,0,,0,0,0
11,1997,1997-11-30,13,24.099,BAL,@,JAX,L 27-29,5,4,80,20.00,0,80.0%,16.00,0,0,,0,0,0,,0,0,0
12,1997,1997-12-07,14,24.106,BAL,,SEA,W 31-24,2,1,29,29.00,0,50.0%,14.50,0,0,,0,0,0,,0,0,0
13,1997,1997-12-21,16,24.120,BAL,@,CIN,L 14-16,0,0,0,,0,0.0%,,2,39,19.50,0,0,0,,0,0,0
14,1998,1998-09-06,1,25.014,BAL,,PIT,L 13-20,1,,,,,0.0%,,,,,,,,,,,
15,1998,1998-10-25,7,25.063,BAL,@,GNB,L 10-28,0,0,0,,0,0.0%,,1,13,13.00,0,0,0,,0,0,0
16,1998,1998-11-01,8,25.070,BAL,,JAX,L 19-45,,,,,,0.0%,,,,,,,,,,,
17,1998,1998-11-08,9,25.077,BAL,,OAK,W 13-10,0,0,0,,0,0.0%,,0,0,,0,1,7,7.00,0,0,0
18,1998,1998-11-22,11,25.091,BAL,@,CIN,W 20-13,1,,,,,0.0%,,,,,,,,,,,
19,1998,1998-11-29,12,25.098,BAL,,IND,W 38-31,5,4,53,13.25,1,80.0%,10.60,0,0,,0,1,15,15.00,0,1,6
20,1998,1998-12-06,13,25.105,BAL,@,TEN,L 14-16,3,2,33,16.50,0,66.7%,11.00,0,0,,0,3,34,11.33,0,0,0
21,1998,1998-12-13,14,25.112,BAL,,MIN,L 28-38,5,2,29,14.50,0,40.0%,5.80,1,27,27.00,0,0,0,,0,0,0
22,1998,1998-12-20,15,25.119,BAL,@,CHI,L 3-24,0,0,0,,0,0.0%,,0,0,,0,2,20,10.00,0,0,0
23,1998,1998-12-27,16,25.126,BAL,,DET,W 19-10,0,0,0,,0,0.0%,,0,0,,0,2,11,5.50,0,0,0
