ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-11-11,9,23.296,PHI,,DAL,L 23-38,,22,32,68.75,219,1,1,85.3,2,11,6.84,6.06,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
2,2012,2012-11-18,10,23.303,PHI,@,WAS,L 6-31,*,21,46,45.65,204,0,2,40.5,4,27,4.43,2.48,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
3,2012,2012-11-26,11,23.311,PHI,,CAR,L 22-30,*,16,21,76.19,119,0,0,89.2,1,12,5.67,5.67,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
4,2012,2012-12-02,12,23.317,PHI,@,DAL,L 33-38,*,22,34,64.71,251,1,0,96.6,1,11,7.38,7.97,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
5,2012,2012-12-09,13,23.324,PHI,@,TAM,W 23-21,*,32,51,62.75,381,2,0,98.6,6,43,7.47,8.25,3,27,9.00,1,0,0,0,,0,0.0%,,1,6,0.0,0,0
6,2012,2012-12-13,14,23.328,PHI,,CIN,L 13-34,*,16,33,48.48,180,1,1,62.7,1,3,5.45,4.70,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
7,2012,2012-12-23,15,23.338,PHI,,WAS,L 20-27,*,32,48,66.67,345,1,1,85.9,5,24,7.19,6.67,4,10,2.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
8,2013,2013-09-15,2,24.238,PHI,,SDG,L 30-33,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
9,2013,2013-09-29,4,24.252,PHI,@,DEN,L 20-52,,3,4,75.00,49,1,0,155.2,0,0,12.25,17.25,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
10,2013,2013-10-06,5,24.259,PHI,@,NYG,W 36-21,,16,25,64.00,197,2,0,114.9,1,3,7.88,9.48,3,1,0.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
11,2013,2013-10-13,6,24.266,PHI,@,TAM,W 31-20,*,22,31,70.97,296,3,0,133.3,1,9,9.55,11.48,3,2,0.67,1,0,0,0,,0,0.0%,,1,6,0.0,0,0
12,2013,2013-10-20,7,24.273,PHI,,DAL,L 3-17,*,11,29,37.93,80,0,0,46.2,3,15,2.76,2.76,3,25,8.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
13,2013,2013-11-03,9,24.287,PHI,@,OAK,W 49-20,*,22,28,78.57,406,7,0,158.3,1,1,14.50,19.50,4,10,2.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
14,2013,2013-11-10,10,24.294,PHI,@,GNB,W 27-13,*,12,18,66.67,228,3,0,149.3,3,17,12.67,16.00,8,38,4.75,0,0,0,0,,0,0.0%,,0,0,0.0,1,0
15,2013,2013-11-17,11,24.301,PHI,,WAS,W 24-16,*,17,26,65.38,298,0,0,104.3,3,22,11.46,11.46,9,47,5.22,1,0,0,0,,0,0.0%,,1,6,0.0,0,0
16,2013,2013-12-01,12,24.315,PHI,,ARI,W 24-21,*,21,34,61.76,237,3,0,112.0,5,35,6.97,8.74,9,22,2.44,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
17,2013,2013-12-08,13,24.322,PHI,,DET,W 34-20,*,11,22,50.00,179,1,1,73.9,0,0,8.14,7.00,6,23,3.83,1,0,0,0,,0,0.0%,,1,6,0.0,0,0
18,2013,2013-12-15,14,24.329,PHI,@,MIN,L 30-48,*,30,48,62.50,428,3,1,103.5,4,32,8.92,9.23,5,41,8.20,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
