ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1994,1994-09-04,1,24.307,HOU,@,IND,L 21-45,,,,,,,,,
2,1994,1994-09-11,2,24.314,HOU,@,DAL,L 17-20,,,,,,,,,
3,1994,1994-09-18,3,24.321,HOU,,BUF,L 7-15,,,,,,,,,
4,1994,1994-09-25,4,24.328,HOU,,CIN,W 20-13,,,,,,,,,
5,1994,1994-10-03,5,24.336,HOU,@,PIT,L 14-30,,,,,,,,,
6,1994,1994-10-13,6,24.346,HOU,,CLE,L 8-11,,,,,,,,,
7,1994,1994-10-24,7,24.357,HOU,@,PHI,L 6-21,,,,,,,,,
8,1994,1994-10-30,8,24.363,HOU,@,RAI,L 14-17,,,,,,,,,
9,1994,1994-11-06,9,25.005,HOU,,PIT,L 9-12,,,,,,,,,
10,1994,1994-11-13,10,25.012,HOU,@,CIN,L 31-34,,,,,,,,,
11,1994,1994-11-21,11,25.020,HOU,,NYG,L 10-13,,,,,,,,,
12,1994,1994-11-27,12,25.026,HOU,@,CLE,L 10-34,,,,,,,,,
13,1994,1994-12-04,13,25.033,HOU,,ARI,L 12-30,,,,,,,,,
14,1994,1994-12-11,14,25.040,HOU,,SEA,L 14-16,,,,,,,,,
15,1994,1994-12-18,15,25.047,HOU,@,KAN,L 9-31,,,,,,,,,
16,1994,1994-12-24,16,25.053,HOU,,NYJ,W 24-10,,,,,,,,,
17,1995,1995-09-03,1,25.306,HOU,@,JAX,W 10-3,,0,0,,0,,,,
18,1995,1995-09-10,2,25.313,HOU,,PIT,L 17-34,,0,0,,0,,,,
19,1995,1995-09-17,3,25.320,HOU,,CLE,L 7-14,,0,0,,0,,,,
20,1995,1995-09-24,4,25.327,HOU,@,CIN,W 38-28,,0,0,,0,,,,
21,1995,1995-10-01,5,25.334,HOU,,JAX,L 16-17,,0,0,,0,,,,
22,1995,1995-10-08,6,25.341,HOU,@,MIN,L 17-23,,0,0,,0,1.0,0,0,0
23,1995,1995-10-22,7,25.355,HOU,@,CHI,L 32-35,,0,0,,0,,,,
24,1995,1995-10-29,8,25.362,HOU,,TAM,W 19-7,,0,0,,0,,,,
25,1995,1995-11-05,9,26.004,HOU,@,CLE,W 37-10,,0,0,,0,,,,
26,1995,1995-11-12,10,26.011,HOU,,CIN,L 25-32,,0,0,,0,,,,
27,1995,1995-11-19,11,26.018,HOU,@,KAN,L 13-20,,1,-3,-3.00,0,0.0,0,0,0
28,1995,1995-11-26,12,26.025,HOU,,DEN,W 42-33,,0,0,,0,,,,
29,1995,1995-12-03,13,26.032,HOU,@,PIT,L 7-21,,0,0,,0,,,,
30,1995,1995-12-10,14,26.039,HOU,,DET,L 17-24,,0,0,,0,,,,
31,1995,1995-12-17,15,26.046,HOU,,NYJ,W 23-6,,0,0,,0,,,,
32,1995,1995-12-24,16,26.053,HOU,@,BUF,W 28-17,,0,0,,0,,,,
33,1996,1996-09-01,1,26.305,HOU,,KAN,L 19-20,,,,,,,,,
34,1996,1996-09-08,2,26.312,HOU,@,JAX,W 34-27,,,,,,,,,
35,1996,1996-09-15,3,26.319,DAL,,IND,L 24-25,,,,,,,,,
36,1996,1996-09-29,4,26.333,HOU,@,PIT,L 16-30,,,,,,,,,
37,1996,1996-10-06,5,26.340,HOU,@,CIN,W 30-27,,,,,,,,,
38,1996,1996-10-20,7,26.354,HOU,,PIT,W 23-13,,,,,,,,,
39,1996,1996-10-27,8,26.361,HOU,,SFO,L 9-10,,,,,,,,,
40,1996,1996-11-03,9,27.002,HOU,@,SEA,L 16-23,,,,,,,,,
41,1996,1996-11-10,10,27.009,HOU,@,NOR,W 31-14,,,,,,,,,
42,1996,1996-11-17,11,27.016,HOU,,MIA,L 20-23,,0,0,,0,1.0,0,0,0
43,1996,1996-11-24,12,27.023,HOU,,CAR,L 6-31,,,,,,,,,
