ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2005,2005-09-11,1,24.092,KAN,,NYJ,W 27-7,,0,0,,0,1,1,15,15.00,0,100.0%,15.00,0,0,,0
2,2005,2005-09-18,2,24.099,KAN,@,OAK,W 23-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
3,2005,2005-09-26,3,24.107,KAN,@,DEN,L 10-30,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
4,2005,2005-10-02,4,24.113,KAN,,PHI,L 31-37,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
5,2005,2005-10-16,5,24.127,KAN,,WAS,W 28-21,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
6,2005,2005-10-21,6,24.132,KAN,@,MIA,W 30-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
7,2005,2005-10-30,7,24.141,KAN,@,SDG,L 20-28,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
8,2005,2005-11-06,8,24.148,KAN,,OAK,W 27-23,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
9,2005,2005-11-13,9,24.155,KAN,@,BUF,L 3-14,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
10,2005,2005-11-20,10,24.162,KAN,@,HOU,W 45-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
11,2005,2005-12-11,13,24.183,KAN,@,DAL,L 28-31,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
12,2005,2005-12-17,14,24.189,KAN,@,NYG,L 17-27,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
13,2005,2005-12-24,15,24.196,KAN,,SDG,W 20-7,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
14,2005,2006-01-01,16,24.204,KAN,,CIN,W 37-3,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
15,2006,2006-09-10,1,25.091,KAN,,CIN,L 10-23,*,0,0,,0,,0,0,,0,0.0%,,0,0,,0
16,2006,2006-09-17,2,25.098,KAN,@,DEN,L 6-9,*,0,0,,0,,0,0,,0,0.0%,,0,0,,0
17,2006,2006-10-01,3,25.112,KAN,,SFO,W 41-0,,4,15,3.75,0,0,0,0,,0,0.0%,,0,0,,0
18,2006,2006-10-08,4,25.119,KAN,@,ARI,W 23-20,,0,0,,0,3,2,20,10.00,0,66.7%,6.67,0,0,,0
19,2006,2006-10-15,5,25.126,KAN,@,PIT,L 7-45,*,1,4,4.00,0,2,0,0,,0,0.0%,0.00,1,7,7.00,0
