ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2003,2003-09-07,1,23.311,MIN,@,GNB,W 30-25,,,,,,,0.0%,,,,,
2,2003,2003-09-14,2,23.318,MIN,,CHI,W 24-13,,,,,,,0.0%,,,,,
3,2003,2003-09-21,3,23.325,MIN,@,DET,W 23-13,,0,,,,,0.0%,,,,,
4,2003,2003-09-28,4,23.332,MIN,,SFO,W 35-7,,,,,,,0.0%,,,,,
5,2003,2003-10-05,5,23.339,MIN,@,ATL,W 39-26,,,,,,,0.0%,,,,,
6,2003,2003-10-19,6,23.353,MIN,,DEN,W 28-20,,,,,,,0.0%,,,,,
7,2003,2003-10-26,7,23.360,MIN,,NYG,L 17-29,,,,,,,0.0%,,,,,
8,2003,2003-11-02,8,24.002,MIN,,GNB,L 27-30,,,,,,,0.0%,,,,,
9,2003,2003-11-09,9,24.009,MIN,@,SDG,L 28-42,,0,0,0,,0,0.0%,,1,7,7.00,0
10,2003,2003-11-16,10,24.016,MIN,@,OAK,L 18-28,,,,,,,0.0%,,,,,
11,2003,2003-11-23,11,24.023,MIN,,DET,W 24-14,,,,,,,0.0%,,,,,
12,2003,2003-11-30,12,24.030,MIN,@,STL,L 17-48,,,,,,,0.0%,,,,,
13,2003,2003-12-07,13,24.037,MIN,,SEA,W 34-7,,0,,,,,0.0%,,,,,
14,2003,2003-12-14,14,24.044,MIN,@,CHI,L 10-13,,,,,,,0.0%,,,,,
15,2003,2003-12-20,15,24.050,MIN,,KAN,W 45-20,,,,,,,0.0%,,,,,
16,2003,2003-12-28,16,24.058,MIN,@,ARI,L 17-18,,,,,,,0.0%,,,,,
17,2004,2004-09-26,3,24.331,MIN,,CHI,W 27-22,,1,,,,,0.0%,,,,,
18,2004,2004-10-10,4,24.345,MIN,@,HOU,W 34-28,,,,,,,0.0%,,,,,
19,2004,2004-10-17,5,24.352,MIN,@,NOR,W 38-31,*,,,,,,0.0%,,,,,
20,2004,2004-10-24,6,24.359,MIN,,TEN,W 20-3,,1,1,14,14.00,0,100.0%,14.00,0,0,,0
21,2004,2004-10-31,7,25.000,MIN,,NYG,L 13-34,,1,1,8,8.00,0,100.0%,8.00,1,3,3.00,0
22,2004,2004-11-08,8,25.008,MIN,@,IND,L 28-31,,,,,,,0.0%,,,,,
23,2004,2004-11-14,9,25.014,MIN,@,GNB,L 31-34,*,1,1,9,9.00,0,100.0%,9.00,0,0,,0
24,2004,2004-11-21,10,25.021,MIN,,DET,W 22-19,*,,,,,,0.0%,,,,,
25,2004,2004-11-28,11,25.028,MIN,,JAX,W 27-16,*,0,,,,,0.0%,,,,,
26,2004,2004-12-05,12,25.035,MIN,@,CHI,L 14-24,*,,,,,,0.0%,,,,,
27,2004,2004-12-12,13,25.042,MIN,,SEA,L 23-27,*,1,,,,,0.0%,,,,,
28,2004,2004-12-19,14,25.049,MIN,@,DET,W 28-27,,3,3,23,7.67,0,100.0%,7.67,0,0,,0
29,2004,2004-12-24,15,25.054,MIN,,GNB,L 31-34,*,3,3,24,8.00,0,100.0%,8.00,0,0,,0
30,2004,2005-01-02,16,25.063,MIN,@,WAS,L 18-21,,,,,,,0.0%,,,,,
31,2005,2005-09-11,1,25.315,NYG,,ARI,W 42-19,,,0,0,,0,0.0%,,0,0,,0
32,2005,2005-09-19,2,25.323,NYG,@,NOR,W 27-10,,,0,0,,0,0.0%,,0,0,,0
33,2005,2005-09-25,3,25.329,NYG,@,SDG,L 23-45,,,0,0,,0,0.0%,,0,0,,0
34,2005,2005-10-02,4,25.336,NYG,,STL,W 44-24,,,0,0,,0,0.0%,,0,0,,0
35,2005,2005-10-16,5,25.350,NYG,@,DAL,L 13-16,,,0,0,,0,0.0%,,0,0,,0
36,2005,2005-10-23,6,25.357,NYG,,DEN,W 24-23,,,0,0,,0,0.0%,,0,0,,0
37,2005,2005-10-30,7,25.364,NYG,,WAS,W 36-0,,0,0,0,,0,0.0%,,0,0,,0
38,2005,2005-11-06,8,26.006,NYG,@,SFO,W 24-6,,1,1,3,3.00,0,100.0%,3.00,0,0,,0
39,2005,2005-11-13,9,26.013,NYG,,MIN,L 21-24,,,0,0,,0,0.0%,,0,0,,0
40,2005,2005-11-20,10,26.020,NYG,,PHI,W 27-17,,,0,0,,0,0.0%,,0,0,,0
41,2005,2005-11-27,11,26.027,NYG,@,SEA,L 21-24,,,0,0,,0,0.0%,,0,0,,0
42,2005,2005-12-04,12,26.034,NYG,,DAL,W 17-10,,,0,0,,0,0.0%,,0,0,,0
43,2005,2005-12-11,13,26.041,NYG,@,PHI,W 26-23,,0,0,0,,0,0.0%,,0,0,,0
44,2005,2005-12-17,14,26.047,NYG,,KAN,W 27-17,,,0,0,,0,0.0%,,0,0,,0
