ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1985,1985-09-08,1,22.179,DEN,@,RAM,L 16-20,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,,,,1,36,36.00,0,3,-1,-0.33,0,0,0
2,1985,1985-09-15,2,22.186,DEN,,NOR,W 34-23,,3,71,23.67,0,,,2,3,1.50,0,0,0,,0,0,0,,0,,,,0,0,,0,1,17,17.00,0,0,0
3,1985,1985-09-22,3,22.193,DEN,@,ATL,W 44-28,,4,96,24.00,1,,,1,5,5.00,0,0,0,,0,0,0,,0,,,,1,27,27.00,0,0,0,,0,1,6
4,1985,1985-09-29,4,22.200,DEN,,MIA,L 26-30,,2,17,8.50,0,,,1,4,4.00,0,0,0,,0,0,0,,0,,,,6,142,23.67,0,0,0,,0,0,0
5,1985,1985-10-06,5,22.207,DEN,,HOU,W 31-20,,1,29,29.00,1,,,1,14,14.00,0,0,0,,0,0,0,,0,,,,0,0,,0,5,40,8.00,0,1,6
6,1985,1985-10-13,6,22.214,DEN,@,IND,W 15-10,,4,41,10.25,0,,,2,3,1.50,0,0,0,,0,0,0,,0,,,,1,27,27.00,0,2,50,25.00,0,0,0
7,1985,1985-10-20,7,22.221,DEN,,SEA,W 13-10,,3,10,3.33,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,6,46,7.67,0,0,0
8,1985,1985-10-27,8,22.228,DEN,@,KAN,W 30-10,,3,23,7.67,0,,,0,0,,0,0,0,,0,0,0,,0,,,,3,61,20.33,0,3,35,11.67,0,0,0
9,1985,1985-11-03,9,22.235,DEN,@,SDG,L 10-30,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,,,,1,34,34.00,0,0,0,,0,0,0
10,1985,1985-11-11,10,22.243,DEN,,SFO,W 17-16,,6,92,15.33,0,,,1,-2,-2.00,0,0,0,,0,0,0,,0,,,,2,59,29.50,0,3,20,6.67,0,0,0
11,1985,1985-11-17,11,22.249,DEN,,SDG,W 30-24,,4,48,12.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,3,75,25.00,0,1,9,9.00,0,0,0
