ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1967,1967-09-10,1,22.259,OAK,,DEN,W 51-0,0,0,,0,1,13,13.00,1,1,22,22.00,0,0,0,,0,,,,,,,1,6
2,1967,1967-09-17,2,22.266,OAK,,BOS,W 35-7,1,22,22.00,0,0,0,,0,1,18,18.00,0,0,0,,0,,,,,,,0,0
3,1967,1967-10-01,3,22.280,OAK,,KAN,W 23-21,3,30,10.00,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
4,1967,1967-10-07,4,22.286,OAK,@,NYJ,L 14-27,1,9,9.00,0,0,0,,0,4,78,19.50,0,0,0,,0,,,,,,,0,0
5,1967,1967-10-15,5,22.294,OAK,@,BUF,W 24-20,0,0,,0,0,0,,0,1,14,14.00,0,0,0,,0,,,,,,,0,0
6,1967,1967-10-29,7,22.308,OAK,,SDG,W 51-10,0,0,,0,0,0,,0,1,29,29.00,0,0,0,,0,,,,,,,0,0
7,1967,1967-11-05,8,22.315,OAK,@,DEN,W 21-17,0,0,,0,0,0,,0,2,54,27.00,0,0,0,,0,,,,,,,0,0
8,1967,1967-11-19,9,22.329,OAK,,MIA,W 31-17,0,0,,0,0,0,,0,2,64,32.00,0,0,0,,0,,,,,,,0,0
9,1968,1968-09-06,1,23.256,CIN,@,SDG,L 13-29,,,,,,,,,,,,,,,,,,,,,,,,
10,1968,1968-09-15,2,23.265,CIN,,DEN,W 24-10,,,,,,,,,,,,,,,,,,,,,,,,
11,1968,1968-09-22,3,23.272,CIN,,BUF,W 34-23,3,65,21.67,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
12,1968,1968-09-29,4,23.279,CIN,,SDG,L 10-31,8,86,10.75,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
13,1968,1968-10-06,5,23.286,CIN,@,DEN,L 7-10,4,40,10.00,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
14,1968,1968-10-13,6,23.293,CIN,@,KAN,L 3-13,2,23,11.50,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
