ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1990,1990-09-23,3,23.215,NWE,@,CIN,L 7-41,0,0,2.0,0,0,0
2,1990,1990-09-30,4,23.222,NWE,,NYJ,L 13-37,,,,,,
3,1990,1990-10-07,5,23.229,NWE,,SEA,L 20-33,0,0,1.0,0,0,0
4,1990,1990-10-18,6,23.240,NWE,@,MIA,L 10-17,,,,,,
5,1990,1990-10-28,7,23.250,NWE,,BUF,L 10-27,,,,,,
6,1990,1990-11-04,8,23.257,NWE,@,PHI,L 20-48,,,,,,
7,1990,1990-11-11,9,23.264,NWE,,IND,L 10-13,,,,,,
8,1990,1990-11-18,10,23.271,NWE,@,BUF,L 0-14,,,,,,
9,1990,1990-11-25,11,23.278,NWE,@,PHO,L 14-34,,,,,,
10,1990,1990-12-02,12,23.285,NWE,,KAN,L 7-37,,,,,,
11,1990,1990-12-09,13,23.292,NWE,@,PIT,L 3-24,,,,,,
12,1990,1990-12-15,14,23.298,NWE,,WAS,L 10-25,,,,,,
13,1990,1990-12-23,15,23.306,NWE,@,NYJ,L 7-42,,,,,,
14,1991,1991-09-01,1,24.193,NWE,@,IND,W 16-7,0,0,1.0,0,0,0
15,1991,1991-09-08,2,24.200,NWE,,CLE,L 0-20,,,,,,
16,1991,1991-09-15,3,24.207,NWE,@,PIT,L 6-20,,,,,,
17,1991,1991-09-22,4,24.214,NWE,,HOU,W 24-20,,,,,,
18,1991,1991-09-29,5,24.221,NWE,@,PHO,L 10-24,,,,,,
19,1991,1991-10-06,6,24.228,NWE,,MIA,L 10-20,,,,,,
20,1991,1991-10-20,7,24.242,NWE,,MIN,W 26-23,,,,,,
21,1991,1991-11-17,11,24.270,NWE,,NYJ,L 21-28,,,,,,
22,1991,1991-11-24,12,24.277,NWE,,BUF,W 16-13,,,,,,
23,1991,1991-12-01,13,24.284,NWE,@,DEN,L 3-20,,,,,,
24,1991,1991-12-08,14,24.291,NWE,,IND,W 23-17,,,,,,
25,1991,1991-12-15,15,24.298,NWE,@,NYJ,W 6-3,,,,,,
26,1992,1992-09-27,3,25.220,NWE,,BUF,L 7-41,,,,,,
27,1992,1992-10-04,4,25.227,NWE,@,NYJ,L 21-30,,,,,,
28,1992,1992-10-11,5,25.234,NWE,,SFO,L 12-24,,,,,,
29,1992,1992-10-18,6,25.241,NWE,@,MIA,L 17-38,,,,,,
30,1992,1992-10-25,7,25.248,NWE,,CLE,L 17-19,,,,,,
31,1992,1992-11-15,10,25.269,NWE,@,IND,W 37-34,1,6,0.0,1,82,1
32,1992,1992-11-22,11,25.276,NWE,,NYJ,W 24-3,,,,,,
33,1992,1992-11-29,12,25.283,NWE,@,ATL,L 0-34,,,,,,
34,1993,1993-09-05,1,26.197,NWE,@,BUF,L 14-38,,,,,,
35,1993,1993-09-12,2,26.204,NWE,,DET,L 16-19,,,,,,
36,1993,1993-09-19,3,26.211,NWE,,SEA,L 14-17,,,,,,
37,1993,1993-09-26,4,26.218,NWE,@,NYJ,L 7-45,,,,,,
38,1993,1993-10-10,5,26.232,NWE,@,PHO,W 23-21,,,,,,
39,1993,1993-10-17,6,26.239,NWE,,HOU,L 14-28,,,,,,
40,1993,1993-10-24,7,26.246,NWE,@,SEA,L 9-10,,,,,,
41,1993,1993-10-31,8,26.253,NWE,@,IND,L 6-9,,,,,,
42,1993,1993-11-07,8,26.260,MIA,@,NYJ,L 10-27,,,,,,
43,1993,1993-11-14,9,26.267,MIA,@,PHI,W 19-14,,,,,,
44,1993,1993-11-21,10,26.274,MIA,,NWE,W 17-13,,,,,,
45,1993,1993-11-25,11,26.278,MIA,@,DAL,W 16-14,,,,,,
46,1993,1993-12-05,12,26.288,MIA,,NYG,L 14-19,,,,,,
47,1993,1993-12-13,13,26.296,MIA,,PIT,L 20-21,,,,,,
