ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-09-12,1,22.327,BUF,,JAX,L 10-13,,9,31,3.44,0,1,1,12,12.00,0,100.0%,12.00,,0,0,0.0,,
2,2004,2004-09-19,2,22.334,BUF,@,OAK,L 10-13,,2,-3,-1.50,0,0,0,0,,0,0.0%,,,0,0,0.0,,
3,2004,2004-10-03,3,22.348,BUF,,NWE,L 17-31,,,,,,,,,,,0.0%,,,,,,,
4,2004,2004-10-10,4,22.355,BUF,@,NYJ,L 14-16,,8,42,5.25,0,1,1,2,2.00,0,100.0%,2.00,,0,0,0.0,,
5,2004,2004-10-17,5,22.362,BUF,,MIA,W 20-13,*,26,111,4.27,0,5,3,31,10.33,0,60.0%,6.20,,0,0,0.0,,
6,2004,2004-10-24,6,23.003,BUF,@,BAL,L 6-20,,16,58,3.63,0,3,1,1,1.00,0,33.3%,0.33,,0,0,0.0,,
7,2004,2004-10-31,7,23.010,BUF,,ARI,W 38-14,*,30,102,3.40,2,2,1,9,9.00,0,50.0%,4.50,,2,12,0.0,,
8,2004,2004-11-07,8,23.017,BUF,,NYJ,W 22-17,*,37,132,3.57,1,4,2,11,5.50,0,50.0%,2.75,,1,6,0.0,,
9,2004,2004-11-14,9,23.024,BUF,@,NWE,L 6-29,*,14,37,2.64,0,1,1,12,12.00,0,100.0%,12.00,,0,0,0.0,,
10,2004,2004-11-21,10,23.031,BUF,,STL,W 37-17,*,20,100,5.00,0,4,3,27,9.00,0,75.0%,6.75,,0,0,0.0,,
11,2004,2004-11-28,11,23.038,BUF,@,SEA,W 38-9,*,28,116,4.14,4,4,2,26,13.00,0,50.0%,6.50,,4,24,0.0,,
12,2004,2004-12-05,12,23.045,BUF,@,MIA,W 42-32,*,23,91,3.96,0,2,1,4,4.00,0,50.0%,2.00,,0,0,0.0,,
13,2004,2004-12-12,13,23.052,BUF,,CLE,W 37-7,*,27,105,3.89,2,4,2,12,6.00,0,50.0%,3.00,,2,12,0.0,,
14,2004,2004-12-19,14,23.059,BUF,@,CIN,W 33-17,*,11,25,2.27,0,3,2,1,0.50,0,66.7%,0.33,,0,0,0.0,,
15,2004,2004-12-26,15,23.066,BUF,@,SFO,W 41-7,*,15,102,6.80,2,1,1,14,14.00,0,100.0%,14.00,,2,12,0.0,,
16,2004,2005-01-02,16,23.073,BUF,,PIT,L 24-29,*,18,79,4.39,2,1,1,7,7.00,0,100.0%,7.00,,2,12,0.0,,
17,2005,2005-09-11,1,23.325,BUF,,HOU,W 22-7,*,22,117,5.32,0,3,3,15,5.00,0,100.0%,5.00,,0,0,0.0,,
18,2005,2005-09-18,2,23.332,BUF,@,TAM,L 3-19,*,13,34,2.62,0,2,1,-1,-1.00,0,50.0%,-0.50,,0,0,0.0,,
19,2005,2005-09-25,3,23.339,BUF,,ATL,L 16-24,*,27,140,5.19,1,1,0,0,,0,0.0%,0.00,,1,6,0.0,,
20,2005,2005-10-02,4,23.346,BUF,@,NOR,L 7-19,*,16,84,5.25,1,3,2,17,8.50,0,66.7%,5.67,,1,6,0.0,,
21,2005,2005-10-09,5,23.353,BUF,,MIA,W 20-14,,31,86,2.77,1,3,2,5,2.50,0,66.7%,1.67,,1,6,0.0,,
22,2005,2005-10-16,6,23.360,BUF,,NYJ,W 27-17,*,29,143,4.93,1,4,3,24,8.00,0,75.0%,6.00,,1,6,0.0,,
23,2005,2005-10-23,7,24.002,BUF,@,OAK,L 17-38,*,16,50,3.13,0,3,3,36,12.00,0,100.0%,12.00,,0,0,0.0,,
24,2005,2005-10-30,8,24.009,BUF,@,NWE,L 16-21,*,31,136,4.39,0,3,2,21,10.50,0,66.7%,7.00,,0,0,0.0,,
25,2005,2005-11-13,9,24.023,BUF,,KAN,W 14-3,*,20,66,3.30,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,,
26,2005,2005-11-20,10,24.030,BUF,@,SDG,L 10-48,*,10,39,3.90,0,2,1,2,2.00,0,50.0%,1.00,,0,0,0.0,,
27,2005,2005-11-27,11,24.037,BUF,,CAR,L 9-13,*,21,53,2.52,0,0,0,0,,0,0.0%,,,0,0,0.0,,
28,2005,2005-12-04,12,24.044,BUF,@,MIA,L 23-24,*,27,81,3.00,0,2,2,18,9.00,0,100.0%,9.00,,0,0,0.0,,
29,2005,2005-12-11,13,24.051,BUF,,NWE,L 7-35,*,8,3,0.38,0,1,1,5,5.00,0,100.0%,5.00,,0,0,0.0,,
30,2005,2005-12-17,14,24.057,BUF,,DEN,L 17-28,*,9,36,4.00,1,3,3,14,4.67,0,100.0%,4.67,,1,6,0.0,,
31,2005,2005-12-24,15,24.064,BUF,@,CIN,W 37-27,*,23,66,2.87,0,4,3,0,0.00,0,75.0%,0.00,,0,0,0.0,,
32,2005,2006-01-01,16,24.072,BUF,@,NYJ,L 26-30,*,22,113,5.14,0,2,2,22,11.00,0,100.0%,11.00,,0,0,0.0,,
33,2006,2006-09-10,1,24.324,BUF,@,NWE,L 17-19,*,20,70,3.50,0,2,2,24,12.00,0,100.0%,12.00,,0,0,0.0,,
34,2006,2006-09-17,2,24.331,BUF,@,MIA,W 16-6,*,25,91,3.64,0,1,1,6,6.00,0,100.0%,6.00,,0,0,0.0,,
35,2006,2006-09-24,3,24.338,BUF,,NYJ,L 20-28,*,26,150,5.77,0,5,2,3,1.50,0,40.0%,0.60,,0,0,0.0,,
