ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1950,1950-10-15,4,25.252,NYG,,PIT,L 6-17,,4,5,80.00,41,0,1,61.2,0,0,8.20,-0.80,0,0,,0
2,1950,1950-10-22,5,25.259,NYG,,CLE,W 17-13,*,2,9,22.22,17,0,1,0.0,0,0,1.89,-3.11,1,1,1.00,0
3,1950,1950-10-29,6,25.266,NYG,@,CRD,L 3-17,,5,11,45.45,90,0,0,74.1,0,0,8.18,8.18,0,0,,0
4,1950,1950-11-05,7,25.273,NYG,,WAS,W 24-21,*,5,11,45.45,78,1,0,99.8,0,0,7.09,8.91,2,13,6.50,1
5,1950,1950-11-12,8,25.280,NYG,,CRD,W 51-21,,1,2,50.00,9,0,0,62.5,0,0,4.50,4.50,0,0,,0
6,1950,1950-11-19,9,25.287,NYG,@,BAL,W 55-20,,4,6,66.67,42,2,1,86.8,0,0,7.00,6.17,3,75,25.00,1
7,1950,1950-11-26,10,25.294,NYG,,PHI,W 7-3,*,2,4,50.00,30,0,0,75.0,0,0,7.50,7.50,0,0,,0
8,1950,1950-12-03,11,25.301,NYG,,NYY,W 51-7,,1,2,50.00,13,1,0,110.4,0,0,6.50,16.50,0,0,,0
9,1950,1950-12-10,12,25.308,NYG,@,PHI,W 9-7,,1,5,20.00,18,0,0,42.1,0,0,3.60,3.60,8,-11,-1.38,0
10,1951,1951-10-01,1,26.238,NYG,@,PIT,T 13-13,*,7,13,53.85,130,1,1,82.2,0,0,10.00,8.08,2,6,3.00,0
11,1951,1951-10-07,2,26.244,NYG,@,WAS,W 35-14,,0,3,0.00,0,0,1,0.0,0,0,0.00,-15.00,0,0,,0
12,1951,1951-10-14,3,26.251,NYG,,CRD,W 28-17,,1,3,33.33,25,0,0,64.6,0,0,8.33,8.33,1,3,3.00,0
13,1951,1951-10-28,5,26.265,NYG,@,CLE,L 13-14,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,1,-2,-2.00,0
14,1951,1951-11-11,7,26.279,NYG,,WAS,W 28-14,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0
