ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1988,1988-10-02,5,25.081,BUF,@,CHI,L 3-24,0,0,,0,0,0,,0,0,0,,0,,
2,1988,1988-10-09,6,25.088,BUF,,IND,W 34-23,0,0,,0,4,84,21.00,0,0,0,,0,0,0
3,1988,1988-10-17,7,25.096,BUF,@,NYJ,W 37-14,2,75,37.50,1,1,18,18.00,0,0,0,,0,1,6
4,1988,1988-10-23,8,25.102,BUF,,NWE,W 23-20,0,0,,0,0,0,,0,0,0,,0,,
5,1988,1988-10-30,9,25.109,BUF,,GNB,W 28-0,0,0,,0,0,0,,0,4,10,2.50,0,0,0
6,1988,1988-11-06,10,25.116,BUF,@,SEA,W 13-3,3,51,17.00,0,0,0,,0,3,30,10.00,0,0,0
7,1988,1988-11-14,11,25.124,BUF,@,MIA,W 31-6,0,0,,0,2,38,19.00,0,1,-2,-2.00,0,0,0
8,1988,1988-11-20,12,25.130,BUF,,NYJ,W 9-6,0,0,,0,1,12,12.00,0,3,13,4.33,0,0,0
9,1988,1988-11-27,13,25.137,BUF,@,CIN,L 21-35,0,0,,0,1,16,16.00,0,2,10,5.00,0,0,0
10,1988,1988-12-04,14,25.144,BUF,@,TAM,L 5-10,1,8,8.00,0,2,22,11.00,0,2,14,7.00,0,0,0
11,1988,1988-12-11,15,25.151,BUF,,RAI,W 37-21,3,36,12.00,0,3,60,20.00,0,1,-3,-3.00,0,0,0
12,1989,1989-09-10,1,26.059,BUF,@,MIA,W 27-24,3,60,20.00,1,0,0,,0,0,0,,0,1,6
13,1989,1989-09-18,2,26.067,BUF,,DEN,L 14-28,3,23,7.67,0,0,0,,0,1,7,7.00,0,0,0
14,1989,1989-09-24,3,26.073,BUF,@,HOU,W 47-41,5,86,17.20,0,0,0,,0,0,0,,0,0,0
15,1989,1989-10-01,4,26.080,BUF,,NWE,W 31-10,0,0,,0,,,,,0,0,,0,,
16,1989,1989-10-08,5,26.087,BUF,@,IND,L 14-37,4,67,16.75,0,0,0,,0,0,0,,0,0,0
17,1989,1989-10-16,6,26.095,BUF,,RAM,W 23-20,0,0,,0,,,,,0,0,,0,,
18,1989,1989-10-22,7,26.101,BUF,,NYJ,W 34-3,1,7,7.00,0,0,0,,0,0,0,,0,0,0
19,1989,1989-10-29,8,26.108,BUF,,MIA,W 31-17,1,3,3.00,0,0,0,,0,0,0,,0,0,0
20,1989,1989-11-05,9,26.115,BUF,@,ATL,L 28-30,4,29,7.25,0,0,0,,0,0,0,,0,0,0
21,1989,1989-11-12,10,26.122,BUF,,IND,W 30-7,1,14,14.00,0,0,0,,0,0,0,,0,0,0
22,1989,1989-11-19,11,26.129,BUF,@,NWE,L 24-33,0,0,,0,,,,,0,0,,0,,
23,1989,1989-11-26,12,26.136,BUF,,CIN,W 24-7,2,8,4.00,0,0,0,,0,0,0,,0,0,0
24,1989,1989-12-04,13,26.144,BUF,@,SEA,L 16-17,0,0,,0,,,,,0,0,,0,,
25,1989,1989-12-10,14,26.150,BUF,,NOR,L 19-22,1,6,6.00,0,0,0,,0,0,0,,0,0,0
26,1989,1989-12-17,15,26.157,BUF,@,SFO,L 10-21,0,0,,0,,,,,0,0,,0,,
27,1989,1989-12-23,16,26.163,BUF,@,NYJ,W 37-0,0,0,,0,,,,,0,0,,0,,
