ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,1983,1983-09-04,1,22.235,CLE,,MIN,L 21-27,,,,,
2,1983,1983-09-11,2,22.242,CLE,@,DET,W 31-26,,,,,
3,1983,1983-09-15,3,22.246,CLE,,CIN,W 17-7,,,,,
4,1983,1983-09-25,4,22.256,CLE,@,SDG,W 30-24,0,0,,0,1.0
5,1983,1983-10-02,5,22.263,CLE,,SEA,L 9-24,,,,,
6,1983,1983-10-09,6,22.270,CLE,,NYJ,W 10-7,,,,,
7,1983,1983-10-16,7,22.277,CLE,@,PIT,L 17-44,,,,,
8,1983,1983-10-23,8,22.284,CLE,@,CIN,L 21-28,,,,,
9,1983,1983-10-30,9,22.291,CLE,,HOU,W 25-19,,,,,
10,1983,1983-11-06,10,22.298,CLE,@,GNB,L 21-35,,,,,
11,1983,1983-11-13,11,22.305,CLE,,TAM,W 20-0,0,0,,0,1.0
12,1983,1983-11-20,12,22.312,CLE,@,NWE,W 30-0,,,,,
13,1983,1983-11-27,13,22.319,CLE,,BAL,W 41-23,,,,,
14,1983,1983-12-04,14,22.326,CLE,@,DEN,L 6-27,,,,,
15,1983,1983-12-11,15,22.333,CLE,@,HOU,L 27-34,,,,,
16,1983,1983-12-18,16,22.340,CLE,,PIT,W 30-17,,,,,
17,1984,1984-09-03,1,23.235,CLE,@,SEA,L 0-33,0,0,,0,1.0
18,1984,1984-09-09,2,23.241,CLE,@,RAM,L 17-20,,,,,
19,1984,1984-09-16,3,23.248,CLE,,DEN,L 14-24,,,,,
20,1984,1984-09-23,4,23.255,CLE,,PIT,W 20-10,,,,,
21,1984,1984-09-30,5,23.262,CLE,@,KAN,L 6-10,,,,,
22,1984,1984-10-07,6,23.269,CLE,,NWE,L 16-17,,,,,
23,1984,1984-10-14,7,23.276,CLE,,NYJ,L 20-24,,,,,
24,1984,1984-10-21,8,23.283,CLE,@,CIN,L 9-12,,,,,
25,1984,1984-10-28,9,23.290,CLE,,NOR,L 14-16,,,,,
26,1984,1984-11-04,10,23.297,CLE,@,BUF,W 13-10,,,,,
27,1984,1984-11-11,11,23.304,CLE,,SFO,L 7-41,,,,,
28,1984,1984-11-18,12,23.311,CLE,@,ATL,W 23-7,0,0,,0,1.0
29,1984,1984-11-25,13,23.318,CLE,,HOU,W 27-10,,,,,
30,1984,1984-12-02,14,23.325,CLE,,CIN,L 17-20,,,,,
31,1984,1984-12-09,15,23.332,CLE,@,PIT,L 20-23,,,,,
32,1984,1984-12-16,16,23.339,CLE,@,HOU,W 27-20,,,,,
33,1985,1985-09-08,1,24.239,CLE,,STL,L 24-27,0,0,,0,
34,1985,1985-09-16,2,24.247,CLE,,PIT,W 17-7,0,0,,0,
35,1985,1985-09-22,3,24.253,CLE,@,DAL,L 7-20,0,0,,0,
36,1985,1985-09-29,4,24.260,CLE,@,SDG,W 21-7,0,0,,0,
37,1985,1985-10-06,5,24.267,CLE,,NWE,W 24-20,0,0,,0,
38,1985,1985-10-13,6,24.274,CLE,@,HOU,W 21-6,0,0,,0,
39,1985,1985-10-20,7,24.281,CLE,,RAI,L 20-21,0,0,,0,
40,1985,1985-10-27,8,24.288,CLE,,WAS,L 7-14,0,0,,0,
41,1985,1985-11-03,9,24.295,CLE,@,PIT,L 9-10,0,0,,0,
42,1985,1985-11-10,10,24.302,CLE,@,CIN,L 10-27,0,0,,0,
43,1985,1985-11-17,11,24.309,CLE,,BUF,W 17-7,0,0,,0,
44,1985,1985-11-24,12,24.316,CLE,,CIN,W 24-6,0,0,,0,
45,1985,1985-12-01,13,24.323,CLE,@,NYG,W 35-33,1,0,0.00,0,0.0
46,1985,1985-12-08,14,24.330,CLE,@,SEA,L 13-31,0,0,,0,
47,1985,1985-12-15,15,24.337,CLE,,HOU,W 28-21,0,0,,0,
48,1985,1985-12-22,16,24.344,CLE,@,NYJ,L 10-37,1,8,8.00,0,0.0
49,1986,1986-09-07,1,25.238,CLE,@,CHI,L 31-41,0,0,,0,
50,1986,1986-09-14,2,25.245,CLE,@,HOU,W 23-20,0,0,,0,
51,1986,1986-09-18,3,25.249,CLE,,CIN,L 13-30,0,0,,0,
52,1986,1986-09-28,4,25.259,CLE,,DET,W 24-21,0,0,,0,
53,1986,1986-10-05,5,25.266,CLE,@,PIT,W 27-24,0,0,,0,
54,1986,1986-10-12,6,25.273,CLE,,KAN,W 20-7,0,0,,0,1.0
55,1986,1986-10-19,7,25.280,CLE,,GNB,L 14-17,0,0,,0,1.0
56,1986,1986-10-26,8,25.287,CLE,@,MIN,W 23-20,0,0,,0,1.0
57,1986,1986-11-02,9,25.294,CLE,@,IND,W 24-9,0,0,,0,3.0
58,1986,1986-11-10,10,25.302,CLE,,MIA,W 26-16,0,0,,0,
59,1986,1986-11-16,11,25.308,CLE,@,RAI,L 14-27,1,32,32.00,0,0.0
60,1986,1986-11-23,12,25.315,CLE,,PIT,W 37-31,0,0,,0,
61,1986,1986-11-30,13,25.322,CLE,,HOU,W 13-10,0,0,,0,
62,1986,1986-12-07,14,25.329,CLE,@,BUF,W 21-17,0,0,,0,
63,1986,1986-12-14,15,25.336,CLE,@,CIN,W 34-3,0,0,,0,
64,1986,1986-12-21,16,25.343,CLE,,SDG,W 47-17,0,0,,0,
65,1987,1987-09-13,1,26.244,CLE,@,NOR,L 21-28,,,,,
66,1987,1987-09-20,2,26.251,CLE,,PIT,W 34-10,0,0,,0,1.0
67,1987,1987-10-26,6,26.287,CLE,,RAM,W 30-17,,,,,
68,1987,1987-11-01,7,26.293,CLE,@,SDG,L 24-27,0,0,,0,1.0
69,1987,1987-11-08,8,26.300,CLE,,ATL,W 38-3,0,0,,0,2.5
70,1987,1987-11-15,9,26.307,CLE,,BUF,W 27-21,,,,,
71,1987,1987-11-22,10,26.314,CLE,@,HOU,W 40-7,,,,,
72,1987,1987-11-29,11,26.321,CLE,@,SFO,L 24-38,,,,,
73,1987,1987-12-06,12,26.328,CLE,,IND,L 7-9,0,0,,0,1.0
74,1987,1987-12-13,13,26.335,CLE,,CIN,W 38-24,,,,,
75,1987,1987-12-20,14,26.342,CLE,@,RAI,W 24-17,,,,,
76,1987,1987-12-26,15,26.348,CLE,@,PIT,W 19-13,,,,,
