ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1979,1979-11-04,10,24.030,DET,@,CHI,L 7-35,3,60,20.00,0,2,21,10.50,0
2,1979,1979-11-11,11,24.037,DET,,TAM,L 14-16,5,106,21.20,0,2,13,6.50,0
3,1979,1979-11-18,12,24.044,DET,@,MIN,L 7-14,0,0,,0,4,61,15.25,0
4,1979,1979-11-22,13,24.048,DET,,CHI,W 20-0,1,23,23.00,0,5,27,5.40,0
5,1979,1979-12-02,14,24.058,DET,@,PHI,L 7-44,5,83,16.60,0,1,4,4.00,0
6,1979,1979-12-09,15,24.065,DET,,MIA,L 10-28,4,107,26.75,0,1,1,1.00,0
7,1979,1979-12-15,16,24.071,DET,,GNB,L 13-18,5,160,32.00,0,4,37,9.25,0
8,1980,1980-09-07,1,24.338,DET,@,RAM,W 41-20,0,0,,0,3,31,10.33,0
9,1980,1980-09-14,2,24.345,DET,@,GNB,W 29-7,0,0,,0,3,12,4.00,0
10,1980,1980-09-21,3,24.352,DET,,STL,W 20-7,1,8,8.00,0,4,41,10.25,0
11,1980,1980-09-28,4,24.359,DET,,MIN,W 27-7,1,13,13.00,0,4,31,7.75,0
12,1980,1980-10-05,5,25.000,DET,@,ATL,L 28-43,7,124,17.71,0,3,12,4.00,0
13,1980,1980-10-12,6,25.007,DET,,NOR,W 24-13,,,,,,,,
14,1980,1980-10-19,7,25.014,DET,@,CHI,L 7-24,0,0,,0,3,21,7.00,0
15,1980,1980-10-26,8,25.021,DET,@,KAN,L 17-20,0,0,,0,3,23,7.67,0
16,1980,1980-11-02,9,25.028,DET,,SFO,W 17-13,0,0,,0,3,26,8.67,0
17,1980,1980-11-09,10,25.035,DET,@,MIN,L 0-34,0,0,,0,2,7,3.50,0
