ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1985,1985-09-09,1,23.131,WAS,@,DAL,L 14-44,,0,0,,0,,,0,0,,0,0,0,,0,0,
2,1985,1985-09-15,2,23.137,WAS,,HOU,W 16-13,,1,22,22.00,0,,,0,0,,0,0,0,,0,0,0
3,1985,1985-09-22,3,23.144,WAS,,PHI,L 6-19,,1,5,5.00,0,,,0,0,,0,0,0,,0,0,0
4,1985,1985-09-29,4,23.151,WAS,@,CHI,L 10-45,,5,76,15.20,0,,,0,0,,0,0,0,,0,0,0
5,1985,1985-10-07,5,23.159,WAS,,STL,W 27-10,,2,15,7.50,1,,,0,0,,0,0,0,,0,1,6
6,1985,1985-10-13,6,23.165,WAS,,DET,W 24-3,,7,58,8.29,0,,,0,0,,0,0,0,,0,0,0
7,1985,1985-10-20,7,23.172,WAS,@,NYG,L 3-17,,11,193,17.55,0,,,1,3,3.00,0,0,0,,0,0,0
8,1985,1985-10-27,8,23.179,WAS,@,CLE,W 14-7,,4,58,14.50,1,,,0,0,,0,0,0,,0,1,6
9,1985,1985-11-03,9,23.186,WAS,@,ATL,W 44-10,,3,42,14.00,0,,,0,0,,0,0,0,,0,0,0
10,1985,1985-11-10,10,23.193,WAS,,DAL,L 7-13,,5,46,9.20,1,,,0,0,,0,0,0,,0,1,6
11,1985,1985-11-18,11,23.201,WAS,,NYG,W 23-21,,4,64,16.00,0,,,0,0,,0,0,0,,0,0,0
12,1985,1985-11-24,12,23.207,WAS,@,PIT,W 30-23,,5,69,13.80,0,,,0,0,,0,0,0,,0,0,0
13,1985,1985-12-01,13,23.214,WAS,,SFO,L 8-35,,10,116,11.60,0,,,0,0,,0,0,0,,0,0,0
14,1985,1985-12-08,14,23.221,WAS,@,PHI,W 17-12,,4,20,5.00,1,,,0,0,,0,0,0,,0,1,6
15,1985,1985-12-15,15,23.228,WAS,,CIN,W 27-24,,2,24,12.00,0,,,1,7,7.00,0,0,0,,0,0,0
16,1985,1985-12-21,16,23.234,WAS,@,STL,W 27-16,,8,118,14.75,1,,,0,0,,0,0,0,,0,1,6
17,1986,1986-09-07,1,24.129,WAS,,PHI,W 41-14,,7,100,14.29,0,,,0,0,,0,1,14,14.00,0,0,0
18,1986,1986-09-14,2,24.136,WAS,,RAI,W 10-6,,3,37,12.33,0,,,0,0,,0,0,0,,0,0,0
19,1986,1986-09-21,3,24.143,WAS,@,SDG,W 30-27,,6,144,24.00,1,,,0,0,,0,0,0,,0,1,6
20,1986,1986-09-28,4,24.150,WAS,,SEA,W 19-14,,4,47,11.75,0,,,0,0,,0,0,0,,0,0,0
21,1986,1986-10-05,5,24.157,WAS,@,NOR,W 14-6,,5,77,15.40,0,,,0,0,,0,0,0,,0,0,0
22,1986,1986-10-12,6,24.164,WAS,@,DAL,L 6-30,,4,39,9.75,0,,,0,0,,0,0,0,,0,0,0
23,1986,1986-10-19,7,24.171,WAS,,STL,W 28-21,,4,55,13.75,1,,,0,0,,0,0,0,,0,1,6
24,1986,1986-10-27,8,24.179,WAS,@,NYG,L 20-27,,11,241,21.91,1,,,0,0,,0,0,0,,0,1,6
25,1986,1986-11-02,9,24.185,WAS,,MIN,W 44-38,,6,123,20.50,1,,,0,0,,0,0,0,,0,1,6
26,1986,1986-11-09,10,24.192,WAS,@,GNB,W 16-7,,3,41,13.67,0,,,0,0,,0,0,0,,0,0,0
27,1986,1986-11-17,11,24.200,WAS,,SFO,W 14-6,,5,70,14.00,1,,,0,0,,0,0,0,,0,1,6
28,1986,1986-11-23,12,24.206,WAS,,DAL,W 41-14,,8,152,19.00,1,,,0,0,,0,0,0,,0,1,6
29,1986,1986-11-30,13,24.213,WAS,@,STL,W 20-17,,5,66,13.20,1,,,0,0,,0,0,0,,0,1,6
30,1986,1986-12-07,14,24.220,WAS,,NYG,L 14-24,,3,73,24.33,0,,,0,0,,0,0,0,,0,0,0
31,1986,1986-12-13,15,24.226,WAS,@,DEN,L 30-31,,0,0,,0,,,,,,,0,0,,0,,
32,1987,1987-09-13,1,25.135,WAS,,PHI,W 34-24,,8,102,12.75,0,,,0,0,,0,0,0,,0,0,0
33,1987,1987-09-20,2,25.142,WAS,@,ATL,L 20-21,,3,52,17.33,1,,,0,0,,0,0,0,,0,1,6
34,1987,1987-10-25,6,25.177,WAS,,NYJ,W 17-16,,3,52,17.33,1,,,0,0,,0,0,0,,0,1,6
35,1987,1987-11-01,7,25.184,WAS,@,BUF,W 27-7,,2,72,36.00,0,,,0,0,,0,0,0,,0,0,0
36,1987,1987-11-08,8,25.191,WAS,@,PHI,L 27-31,,5,119,23.80,1,,,0,0,,0,0,0,,0,1,6
37,1987,1987-11-15,9,25.198,WAS,,DET,W 20-13,,2,66,33.00,1,,,0,0,,0,0,0,,0,1,6
38,1987,1987-11-23,10,25.206,WAS,,RAM,L 26-30,,4,69,17.25,0,,,1,0,0.00,0,0,0,,0,0,0
39,1987,1987-11-29,11,25.212,WAS,,NYG,W 23-19,,7,112,16.00,1,,,0,0,,0,0,0,,0,1,6
40,1987,1987-12-06,12,25.219,WAS,@,STL,W 34-17,,5,130,26.00,1,,,0,0,,0,0,0,,0,1,6
41,1987,1987-12-13,13,25.226,WAS,,DAL,W 24-20,,9,187,20.78,1,,,0,0,,0,0,0,,0,1,6
42,1987,1987-12-20,14,25.233,WAS,@,MIA,L 21-23,,3,52,17.33,0,,,0,0,,0,0,0,,0,0,0
43,1987,1987-12-26,15,25.239,WAS,@,MIN,W 27-24,,5,53,10.60,0,,,0,0,,0,0,0,,0,0,0
44,1988,1988-09-05,1,26.127,WAS,@,NYG,L 20-27,,2,61,30.50,0,,,0,0,,0,0,0,,0,0,0
45,1988,1988-09-11,2,26.133,WAS,,PIT,W 30-29,,4,53,13.25,0,,,0,0,,0,0,0,,0,0,0
46,1988,1988-09-18,3,26.140,WAS,,PHI,W 17-10,,2,22,11.00,0,,,0,0,,0,0,0,,0,0,0
47,1988,1988-09-25,4,26.147,WAS,@,PHO,L 21-30,,2,30,15.00,0,,,0,0,,0,0,0,,0,0,0
48,1988,1988-10-02,5,26.154,WAS,,NYG,L 23-24,,1,29,29.00,0,,,0,0,,0,0,0,,0,0,0
49,1988,1988-10-09,6,26.161,WAS,@,DAL,W 35-17,,5,58,11.60,1,,,0,0,,0,0,0,,0,1,6
50,1988,1988-10-16,7,26.168,WAS,,PHO,W 33-17,,2,79,39.50,2,,,0,0,,0,0,0,,0,2,12
51,1988,1988-10-23,8,26.175,WAS,@,GNB,W 20-17,,5,62,12.40,0,,,0,0,,0,0,0,,0,0,0
52,1988,1988-10-30,9,26.182,WAS,@,HOU,L 17-41,,2,31,15.50,0,,,1,4,4.00,0,0,0,,0,0,0
53,1988,1988-11-06,10,26.189,WAS,,NOR,W 27-24,,6,75,12.50,1,,,0,0,,0,0,0,,0,1,6
54,1988,1988-11-13,11,26.196,WAS,,CHI,L 14-34,,8,98,12.25,1,,,0,0,,0,1,6,6.00,0,1,6
55,1988,1988-11-21,12,26.204,WAS,@,SFO,L 21-37,,5,80,16.00,0,,,1,2,2.00,0,3,34,11.33,0,0,0
56,1988,1988-11-27,13,26.210,WAS,,CLE,L 13-17,,3,29,9.67,1,,,0,0,,0,2,8,4.00,0,1,6
57,1988,1988-12-04,14,26.217,WAS,@,PHI,W 20-19,,5,99,19.80,0,,,0,0,,0,2,0,0.00,0,0,0
58,1988,1988-12-11,15,26.224,WAS,,DAL,L 17-24,,3,49,16.33,0,,,0,0,,0,0,0,,0,0,0
59,1988,1988-12-17,16,26.230,WAS,@,CIN,L 17-20,,4,37,9.25,1,,,0,0,,0,0,0,,0,1,6
