ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1979,1979-09-02,1,22.064,STL,,DAL,L 21-22,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,1,33,33.00,0,0,0,,0,0,0,0,0,0
2,1979,1979-09-09,2,22.071,STL,@,NYG,W 27-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1979,1979-09-16,3,22.078,STL,,PIT,L 21-24,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,3,74,24.67,0,0,0,,0,0,0,0,0,0
4,1979,1979-09-23,4,22.085,STL,,WAS,L 7-17,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,2,45,22.50,0,0,0,,0,0,0,0,0,0
5,1979,1979-09-30,5,22.092,STL,@,RAM,L 0-21,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,1,36,36.00,0,0,0,,0,0,0,0,0,0
6,1979,1979-10-07,6,22.099,STL,@,HOU,W 24-17,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,10,5.00,0,0,0,0,0,0
7,1979,1979-10-14,7,22.106,STL,,PHI,L 20-24,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,2,38,19.00,0,0,0,,0,0,0,0,0,0
8,1979,1979-10-21,8,22.113,STL,@,DAL,L 13-22,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,2,125,62.50,1,2,13,6.50,0,1,6,0,0,0
9,1979,1979-10-28,9,22.120,STL,,CLE,L 20-38,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,4,84,21.00,0,0,0,,0,0,0,0,0,0
10,1979,1979-11-04,10,22.127,STL,,MIN,W 37-7,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,2,20,10.00,0,0,0,,0,0,0,0,0,0
11,1979,1979-11-11,11,22.134,STL,@,WAS,L 28-30,,1,15,15.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,5,103,20.60,0,0,0,,0,0,0,0,0,0
12,1979,1979-11-18,12,22.141,STL,@,PHI,L 13-16,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,5,106,21.20,0,0,0,,0,0,0,0,0,0
13,1979,1979-11-25,13,22.148,STL,@,CIN,L 28-34,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,4,120,30.00,0,0,0,,0,0,0,0,0,0
14,1979,1979-12-02,14,22.155,STL,,SFO,W 13-10,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,1,33,33.00,0,1,4,4.00,0,0,0,0,0,0
15,1979,1979-12-09,15,22.162,STL,,NYG,W 29-20,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,2,79,39.50,0,3,15,5.00,0,0,0,0,0,0
16,1979,1979-12-16,16,22.169,STL,@,CHI,L 6-42,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,7,109,15.57,0,0,0,,0,0,0,0,0,0
17,1980,1980-09-07,1,23.069,STL,,NYG,L 35-41,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,6,142,23.67,0,0,0,,0,0,0,0,0,0
18,1980,1980-09-14,2,23.076,STL,@,SFO,L 21-24,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,3,96,32.00,0,0,0,,0,0,0,0,0,0
19,1980,1980-09-21,3,23.083,STL,@,DET,L 7-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1980,1980-09-28,4,23.090,STL,,PHI,W 24-14,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,1,30,30.00,0,0,0,,0,0,0,0,0,0
21,1980,1980-10-05,5,23.097,STL,@,NOR,W 40-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1980,1980-10-12,6,23.104,STL,,RAM,L 13-21,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,2,35,17.50,0,0,0,,0,0,0,0,0,0
23,1980,1980-10-19,7,23.111,STL,@,WAS,L 0-23,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,3,57,19.00,0,0,0,,0,0,0,0,0,0
24,1980,1980-10-26,8,23.118,STL,@,BAL,W 17-10,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,5,5.00,0,0,0,0,0,0
25,1980,1980-11-02,9,23.125,STL,,DAL,L 24-27,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,3,68,22.67,0,0,0,,0,0,0,0,0,0
26,1980,1980-11-09,10,23.132,STL,,ATL,L 27-33,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,4,88,22.00,0,0,0,,0,0,0,0,0,0
