ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2005,2005-09-11,1,24.181,BUF,,HOU,W 22-7,,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
2,2005,2005-09-25,3,24.195,BUF,,ATL,L 16-24,,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
3,2005,2005-10-02,4,24.202,BUF,@,NOR,L 7-19,,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
4,2007,2007-09-16,2,26.186,BUF,@,PIT,L 3-26,,,,,,,,,,,,,,,,,
5,2007,2007-09-23,3,26.193,BUF,@,NWE,L 7-38,,,,,,,,,,,,,,,,,
6,2007,2007-09-30,4,26.200,BUF,,NYJ,W 17-14,,,,,,,,,,,,,,,,,
7,2007,2007-10-08,5,26.208,BUF,,DAL,L 24-25,*,0,0,,0,0,0,,0,1,6,0.0,,,1,25,1
8,2007,2007-10-21,6,26.221,BUF,,BAL,W 19-14,*,,,,,,,,,,,,,,,,
9,2007,2007-10-28,7,26.228,BUF,@,NYJ,W 13-3,*,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
10,2007,2007-11-04,8,26.235,BUF,,CIN,W 33-21,*,,,,,,,,,,,,,,,,
11,2007,2007-11-11,9,26.242,BUF,@,MIA,W 13-10,*,,,,,,,,,,,,,,,,
12,2007,2007-11-18,10,26.249,BUF,,NWE,L 10-56,*,,,,,,,,,,,,,,,,
13,2007,2007-11-25,11,26.256,BUF,@,JAX,L 14-36,*,,,,,,,,,,,,,,,,
14,2007,2007-12-02,12,26.263,BUF,@,WAS,W 17-16,*,,,,,,,,,,,,,,,,
15,2007,2007-12-09,13,26.270,BUF,,MIA,W 38-17,*,0,0,,0,1,0,0.00,0,0,0,0.0,,,0,0,0
16,2008,2008-09-07,1,27.177,BUF,,SEA,W 34-10,,,,,,,,,,,,,,,,,
17,2008,2008-09-14,2,27.184,BUF,@,JAX,W 20-16,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
18,2008,2008-09-21,3,27.191,BUF,,OAK,W 24-23,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
19,2008,2008-09-28,4,27.198,BUF,@,STL,W 31-14,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
20,2008,2008-10-05,5,27.205,BUF,@,ARI,L 17-41,,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
21,2008,2008-10-19,6,27.219,BUF,,SDG,W 23-14,*,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
22,2008,2008-10-26,7,27.226,BUF,@,MIA,L 16-25,,,,,,,,,,,,,,,,,
23,2008,2008-11-02,8,27.233,BUF,,NYJ,L 17-26,,0,0,,0,0,0,,0,0,0,0.0,0,1,0,0,0
24,2008,2008-11-09,9,27.240,BUF,@,NWE,L 10-20,*,0,0,,0,0,0,,0,0,0,0.5,0,3,0,0,0
25,2008,2008-11-17,10,27.248,BUF,,CLE,L 27-29,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
26,2008,2008-11-23,11,27.254,BUF,@,KAN,W 54-31,*,0,0,,0,1,7,7.00,0,0,0,1.0,4,0,0,0,0
27,2008,2008-11-30,12,27.261,BUF,,SFO,L 3-10,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
28,2008,2008-12-07,13,27.268,BUF,,MIA,L 3-16,,,,,,,,,,,,,,,,,
29,2008,2008-12-14,14,27.275,BUF,@,NYJ,L 27-31,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
30,2008,2008-12-21,15,27.282,BUF,@,DEN,W 30-23,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
31,2008,2008-12-28,16,27.289,BUF,,NWE,L 0-13,,,,,,,,,,,,,,,,,
32,2009,2009-09-14,1,28.184,BUF,@,NWE,L 24-25,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
33,2009,2009-09-20,2,28.190,BUF,,TAM,W 33-20,,,,,,,,,,,,,,,,,
34,2009,2009-09-27,3,28.197,BUF,,NOR,L 7-27,,0,0,,0,0,0,,0,0,0,0.0,0,1,0,0,0
35,2009,2009-10-04,4,28.204,BUF,@,MIA,L 10-38,*,0,0,,0,0,0,,0,0,0,2.0,5,0,0,0,0
36,2009,2009-10-11,5,28.211,BUF,,CLE,L 3-6,*,0,0,,0,0,0,,0,0,0,0.0,4,3,0,0,0
37,2009,2009-10-18,6,28.218,BUF,@,NYJ,W 16-13,,0,0,,0,0,0,,0,0,0,0.0,4,4,1,0,0
38,2009,2009-10-25,7,28.225,BUF,@,CAR,W 20-9,*,0,0,,0,0,0,,0,0,0,0.0,7,3,1,-4,0
39,2009,2009-11-01,8,28.232,BUF,,HOU,L 10-31,*,0,0,,0,0,0,,0,0,0,0.0,7,8,0,0,0
40,2009,2009-11-15,9,28.246,BUF,@,TEN,L 17-41,*,0,0,,0,0,0,,0,0,0,0.0,6,2,0,0,0
41,2009,2009-11-22,10,28.253,BUF,@,JAX,L 15-18,*,0,0,,0,0,0,,0,0,0,0.0,4,0,1,27,0
42,2009,2009-11-29,11,28.260,BUF,,MIA,W 31-14,*,0,0,,0,0,0,,0,0,0,0.0,4,2,0,0,0
43,2009,2009-12-03,12,28.264,BUF,,NYJ,L 13-19,*,0,0,,0,0,0,,0,0,0,0.0,8,2,0,0,0
44,2009,2009-12-13,13,28.274,BUF,@,KAN,W 16-10,*,0,0,,0,0,0,,0,0,0,0.0,4,1,1,0,0
45,2009,2009-12-20,14,28.281,BUF,,NWE,L 10-17,*,0,0,,0,0,0,,0,0,0,0.0,4,3,0,0,0
46,2009,2009-12-27,15,28.288,BUF,@,ATL,L 3-31,*,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
47,2009,2010-01-03,16,28.295,BUF,,IND,W 30-7,*,0,0,,0,0,0,,0,0,0,0.0,2,3,0,0,0
48,2010,2010-09-12,1,29.182,BUF,,MIA,L 10-15,*,0,0,,0,0,0,,0,0,0,0.0,4,1,0,0,0
49,2010,2010-09-19,2,29.189,BUF,@,GNB,L 7-34,,,,,,,,,,,,,,,,,
50,2010,2010-09-26,3,29.196,BUF,@,NWE,L 30-38,,0,0,,0,0,0,,0,0,0,0.0,0,1,0,0,0
51,2010,2010-10-03,4,29.203,BUF,,NYJ,L 14-38,,0,0,,0,0,0,,0,0,0,0.0,0,3,0,0,0
52,2010,2010-10-10,5,29.210,BUF,,JAX,L 26-36,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
53,2010,2010-10-24,6,29.224,BUF,@,BAL,L 34-37,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
54,2010,2010-10-31,7,29.231,BUF,@,KAN,L 10-13,*,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
55,2010,2010-11-07,8,29.238,BUF,,CHI,L 19-22,,,,,,,,,,,,,,,,,
56,2010,2010-11-14,9,29.245,BUF,,DET,W 14-12,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
57,2010,2010-11-21,10,29.252,BUF,@,CIN,W 49-31,,0,0,,0,0,0,,0,0,0,0.0,3,0,1,56,0
58,2010,2010-11-28,11,29.259,BUF,,PIT,L 16-19,,0,0,,0,0,0,,0,0,0,0.0,1,2,0,0,0
59,2010,2010-12-05,12,29.266,BUF,@,MIN,L 14-38,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
60,2010,2010-12-12,13,29.273,BUF,,CLE,W 13-6,,,,,,,,,,,,,,,,,
61,2010,2010-12-19,14,29.280,BUF,@,MIA,W 17-14,,0,0,,0,0,0,,0,0,0,0.0,0,0,1,9,0
62,2010,2010-12-26,15,29.287,BUF,,NWE,L 3-34,,0,0,,0,0,0,,0,0,0,0.0,1,1,0,0,0
63,2010,2011-01-02,16,29.294,BUF,@,NYJ,L 7-38,,0,0,,0,0,0,,0,0,0,0.0,0,1,0,0,0
64,2011,2011-09-11,1,30.181,BUF,@,KAN,W 41-7,*,0,0,,0,0,0,,0,0,0,0.0,5,0,0,0,0
65,2011,2011-09-18,2,30.188,BUF,,OAK,W 38-35,*,0,0,,0,0,0,,0,0,0,0.0,4,3,0,0,0
66,2011,2011-09-25,3,30.195,BUF,,NWE,W 34-31,*,0,0,,0,0,0,,0,0,0,0.0,6,4,1,8,0
67,2011,2011-10-02,4,30.202,BUF,@,CIN,L 20-23,*,0,0,,0,0,0,,0,0,0,0.0,8,4,1,5,0
68,2011,2011-10-09,5,30.209,BUF,,PHI,W 31-24,*,0,0,,0,0,0,,0,0,0,0.0,11,0,1,1,0
69,2011,2011-10-16,6,30.216,BUF,@,NYG,L 24-27,*,0,0,,0,0,0,,0,0,0,0.0,7,3,0,0,0
70,2011,2011-10-30,7,30.230,BUF,,WAS,W 23-0,*,0,0,,0,0,0,,0,0,0,0.0,8,1,1,12,0
71,2011,2011-11-06,8,30.237,BUF,,NYJ,L 11-27,*,0,0,,0,0,0,,0,0,0,0.0,3,2,0,0,0
72,2011,2011-11-13,9,30.244,BUF,@,DAL,L 7-44,*,0,0,,0,0,0,,0,0,0,0.0,6,2,0,0,0
73,2011,2011-12-11,13,30.272,BUF,@,SDG,L 10-37,*,0,0,,0,0,0,,0,0,0,0.0,5,1,0,0,0
74,2011,2011-12-18,14,30.279,BUF,,MIA,L 23-30,*,0,0,,0,0,0,,0,0,0,0.0,4,3,0,0,0
75,2011,2011-12-24,15,30.285,BUF,,DEN,W 40-14,*,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
