ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2011-01-02,16,21.160,PIT,@,CLE,W 41-9,,9,28,3.11,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
2,2011,2011-10-09,5,22.075,PIT,,TEN,W 38-17,,11,107,9.73,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,0,1
3,2011,2011-10-16,6,22.082,PIT,,JAX,W 17-13,,2,8,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
4,2011,2011-10-30,8,22.096,PIT,,NWE,W 25-17,,,,,,,,,,,0.0%,,,,,,,,,,
5,2011,2011-11-06,9,22.103,PIT,,BAL,L 20-23,,,,,,,,,,,0.0%,,,,,,,,,,
6,2011,2011-11-13,10,22.110,PIT,@,CIN,W 24-17,,,,,,,,,,,0.0%,,,,,,,,,,
7,2011,2011-11-27,11,22.124,PIT,@,KAN,W 13-9,,,,,,,,,,,0.0%,,,,,,,,,,
8,2011,2011-12-04,12,22.131,PIT,,CIN,W 35-7,,3,8,2.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
9,2012,2012-09-09,1,23.045,PIT,@,DEN,L 19-31,,9,43,4.78,0,4,2,11,5.50,0,50.0%,2.75,0,0,,0,0,0,0.0,0,0
10,2012,2012-09-16,2,23.052,PIT,,NYJ,W 27-10,,12,28,2.33,0,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,0.0,0,0
11,2012,2012-09-23,3,23.059,PIT,@,OAK,L 31-34,,3,-1,-0.33,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,0.0,0,0
12,2012,2012-10-21,6,23.087,PIT,@,CIN,W 24-17,*,17,122,7.18,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
13,2012,2012-10-28,7,23.094,PIT,,WAS,W 27-12,*,17,107,6.29,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,0,0
14,2012,2012-11-12,9,23.109,PIT,,KAN,W 16-13,,19,56,2.95,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,0.0,0,0
15,2012,2012-11-18,10,23.115,PIT,,BAL,L 10-13,,12,55,4.58,0,3,3,26,8.67,0,100.0%,8.67,0,0,,0,0,0,0.0,0,0
16,2012,2012-11-25,11,23.122,PIT,@,CLE,L 14-20,,9,19,2.11,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,0.0,0,0
17,2012,2012-12-02,12,23.129,PIT,@,BAL,W 23-20,*,16,49,3.06,1,4,3,8,2.67,0,75.0%,2.00,0,0,,0,1,6,0.0,0,0
18,2012,2012-12-09,13,23.136,PIT,,SDG,L 24-34,,8,32,4.00,0,4,3,18,6.00,0,75.0%,4.50,0,0,,0,0,0,0.0,0,0
19,2012,2012-12-16,14,23.143,PIT,@,DAL,L 24-27,*,9,22,2.44,1,1,0,0,,0,0.0%,0.00,0,0,,0,1,6,0.0,0,0
20,2012,2012-12-23,15,23.150,PIT,,CIN,L 10-13,*,14,39,2.79,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
21,2012,2012-12-30,16,23.157,PIT,,CLE,W 24-10,*,11,52,4.73,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,0.0,0,0
22,2013,2013-09-16,2,24.052,PIT,@,CIN,L 10-20,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
23,2013,2013-09-22,3,24.058,PIT,,CHI,L 23-40,,12,39,3.25,0,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,0.0,0,0
24,2013,2013-09-29,4,24.065,PIT,@,MIN,L 27-34,,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
25,2013,2013-10-13,5,24.079,PIT,@,NYJ,W 19-6,,3,10,3.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
26,2013,2013-10-20,6,24.086,PIT,,BAL,W 19-16,,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
27,2013,2013-10-27,7,24.093,PIT,@,OAK,L 18-21,,3,9,3.00,0,0,0,0,,0,0.0%,,1,25,25.00,0,0,0,0.0,0,0
28,2013,2013-11-03,8,24.100,PIT,@,NWE,L 31-55,,1,30,30.00,0,1,1,23,23.00,0,100.0%,23.00,2,38,19.00,0,0,0,0.0,0,0
29,2013,2013-11-10,9,24.107,PIT,,BUF,W 23-10,,6,38,6.33,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,0,0
30,2013,2013-11-17,10,24.114,PIT,,DET,W 37-27,,1,0,0.00,0,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,0,0
31,2013,2013-11-24,11,24.121,PIT,@,CLE,W 27-11,,6,7,1.17,0,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,0.0,0,0
32,2013,2013-11-28,12,24.125,PIT,@,BAL,L 20-22,,0,0,,0,0,0,0,,0,0.0%,,1,27,27.00,0,0,0,0.0,0,0
33,2013,2013-12-08,13,24.135,PIT,,MIA,L 28-34,,3,8,2.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
34,2013,2013-12-15,14,24.142,PIT,,CIN,W 30-20,,6,26,4.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
35,2013,2013-12-22,15,24.149,PIT,@,GNB,W 38-31,,1,7,7.00,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,0,0
36,2013,2013-12-29,16,24.156,PIT,,CLE,W 20-7,,3,10,3.33,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,0,0
