ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2009,2009-12-17,14,24.268,JAX,,IND,L 31-35,,2,,,,,0.0%,,,,,,,,,,,,
2,2009,2009-12-27,15,24.278,JAX,@,NWE,L 7-35,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,1
3,2009,2010-01-03,16,24.285,JAX,@,CLE,L 17-23,,1,,,,,0.0%,,,,,,,,,,,,
4,2010,2010-10-10,5,25.200,JAX,@,BUF,W 36-26,,,,,,,0.0%,,,,,,,,,,,,
5,2010,2010-12-19,14,25.270,JAX,@,IND,L 24-34,,,,,,,0.0%,,,,,,,,,,,,
6,2010,2010-12-26,15,25.277,JAX,,WAS,L 17-20,,3,1,15,15.00,0,33.3%,5.00,0,0,,0,1,5,5.00,0,0.0,0,0
7,2010,2011-01-02,16,25.284,JAX,@,HOU,L 17-34,,,,,,,0.0%,,,,,,,,,,,,
8,2011,2011-09-11,1,26.171,JAX,,TEN,W 16-14,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0.0,0,0
9,2011,2011-09-18,2,26.178,JAX,@,NYJ,L 3-32,,0,0,0,,0,0.0%,,1,4,4.00,0,0,0,,0,0.0,0,2
10,2011,2011-09-25,3,26.185,JAX,@,CAR,L 10-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
11,2011,2011-10-02,4,26.192,JAX,,NOR,L 10-23,,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0.0,0,0
12,2011,2011-10-09,5,26.199,JAX,,CIN,L 20-30,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0.0,0,0
13,2011,2011-10-16,6,26.206,JAX,@,PIT,L 13-17,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,1
14,2011,2011-10-24,7,26.214,JAX,,BAL,W 12-7,,,,,,,0.0%,,,,,,,,,,,,
15,2011,2011-11-27,11,26.248,JAX,,HOU,L 13-20,,,,,,,0.0%,,,,,,,,,,,,
16,2011,2011-12-05,12,26.256,JAX,,SDG,L 14-38,,,,,,,0.0%,,,,,,,,,,,,
17,2011,2011-12-11,13,26.262,JAX,,TAM,W 41-14,,1,0,0,,0,0.0%,0.00,1,10,10.00,0,0,0,,0,0.0,0,0
18,2011,2011-12-15,14,26.266,JAX,@,ATL,L 14-41,,,,,,,0.0%,,,,,,,,,,,,
19,2011,2011-12-24,15,26.275,JAX,@,TEN,L 17-23,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0.0,0,0
20,2011,2012-01-01,16,26.283,JAX,,IND,W 19-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
