ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2015,2015-09-10,1,24.176,PIT,@,NWE,L 21-28,,0,0,,0,2,87,43.50,0
2,2015,2015-09-20,2,24.186,PIT,,SFO,W 43-18,,0,0,,0,3,142,47.33,0
3,2015,2015-09-27,3,24.193,PIT,@,STL,W 12-6,,0,0,,0,4,196,49.00,0
4,2015,2015-10-01,4,24.197,PIT,,BAL,L 20-23,,0,0,,0,6,239,39.83,0
5,2015,2015-10-12,5,24.208,PIT,@,SDG,W 24-20,,0,0,,0,8,322,40.25,0
6,2015,2015-10-18,6,24.214,PIT,,ARI,W 25-13,,0,0,,0,5,238,47.60,0
7,2015,2015-10-25,7,24.221,PIT,@,KAN,L 13-23,,0,0,,0,2,91,45.50,0
8,2015,2015-11-01,8,24.228,PIT,,CIN,L 10-16,,0,0,,0,6,213,35.50,0
9,2015,2015-11-08,9,24.235,PIT,,OAK,W 38-35,,0,0,,0,5,208,41.60,0
10,2015,2015-11-15,10,24.242,PIT,,CLE,W 30-9,,0,0,,0,1,42,42.00,0
11,2015,2015-11-29,11,24.256,PIT,@,SEA,L 30-39,,0,0,,0,2,79,39.50,0
12,2015,2015-12-06,12,24.263,PIT,,IND,W 45-10,,0,0,,0,1,37,37.00,0
13,2015,2015-12-13,13,24.270,PIT,@,CIN,W 33-20,,0,0,,0,2,98,49.00,0
14,2015,2015-12-20,14,24.277,PIT,,DEN,W 34-27,,0,0,,0,6,232,38.67,0
15,2015,2015-12-27,15,24.284,PIT,@,BAL,L 17-20,,0,0,,0,3,131,43.67,0
16,2015,2016-01-03,16,24.291,PIT,@,CLE,W 28-12,,0,0,,0,3,156,52.00,0
17,2016,2016-09-12,1,25.178,PIT,@,WAS,W 38-16,,0,0,,0,2,107,53.50,0
18,2016,2016-09-18,2,25.184,PIT,,CIN,W 24-16,,0,0,,0,8,377,47.13,0
19,2016,2016-09-25,3,25.191,PIT,@,PHI,L 3-34,,0,0,,0,3,165,55.00,0
20,2016,2016-10-02,4,25.198,PIT,,KAN,W 43-14,,0,0,,0,5,211,42.20,0
21,2016,2016-10-09,5,25.205,PIT,,NYJ,W 31-13,,1,-3,-3.00,0,3,139,46.33,0
22,2016,2016-10-16,6,25.212,PIT,@,MIA,L 15-30,,0,0,,0,5,180,36.00,0
23,2016,2016-10-23,7,25.219,PIT,,NWE,L 16-27,,0,0,,0,4,195,48.75,0
24,2016,2016-11-06,8,25.233,PIT,@,BAL,L 14-21,,0,0,,0,9,431,47.89,1
25,2016,2016-11-13,9,25.240,PIT,,DAL,L 30-35,,0,0,,0,4,174,43.50,0
26,2016,2016-11-20,10,25.247,PIT,@,CLE,W 24-9,,0,0,,0,3,150,50.00,0
27,2016,2016-11-24,11,25.251,PIT,@,IND,W 28-7,,0,0,,0,4,177,44.25,0
28,2016,2016-12-04,12,25.261,PIT,,NYG,W 24-14,,0,0,,0,4,148,37.00,0
29,2016,2016-12-11,13,25.268,PIT,@,BUF,W 27-20,,0,0,,0,2,101,50.50,0
30,2016,2016-12-18,14,25.275,PIT,@,CIN,W 24-20,,0,0,,0,1,40,40.00,0
31,2016,2016-12-25,15,25.282,PIT,,BAL,W 31-27,,0,0,,0,3,137,45.67,0
32,2016,2017-01-01,16,25.289,PIT,,CLE,W 27-24,,0,0,,0,8,368,46.00,0
33,2017,2017-09-10,1,26.176,PIT,@,CLE,W 21-18,,0,0,,0,6,275,45.83,0
34,2017,2017-09-17,2,26.183,PIT,,MIN,W 26-9,,0,0,,0,5,193,38.60,0
35,2017,2017-09-24,3,26.190,PIT,@,CHI,L 17-23,,0,0,,0,5,203,40.60,0
36,2017,2017-10-01,4,26.197,PIT,@,BAL,W 26-9,,0,0,,0,4,150,37.50,0
37,2017,2017-10-08,5,26.204,PIT,,JAX,L 9-30,,0,0,,0,3,134,44.67,0
38,2017,2017-10-15,6,26.211,PIT,@,KAN,W 19-13,,0,0,,0,5,207,41.40,0
39,2017,2017-10-22,7,26.218,PIT,,CIN,W 29-14,,0,0,,0,2,90,45.00,0
40,2017,2017-10-29,8,26.225,PIT,@,DET,W 20-15,,0,0,,0,4,188,47.00,0
41,2017,2017-11-12,9,26.239,PIT,@,IND,W 20-17,,0,0,,0,6,297,49.50,0
42,2017,2017-11-16,10,26.243,PIT,,TEN,W 40-17,,0,0,,0,3,152,50.67,0
43,2017,2017-11-26,11,26.253,PIT,,GNB,W 31-28,,0,0,,0,3,97,32.33,0
44,2017,2017-12-04,12,26.261,PIT,@,CIN,W 23-20,,0,0,,0,4,178,44.50,0
45,2017,2017-12-10,13,26.267,PIT,,BAL,W 39-38,,0,0,,0,3,141,47.00,0
46,2017,2017-12-17,14,26.274,PIT,,NWE,L 24-27,,0,0,,0,4,171,42.75,0
47,2017,2017-12-25,15,26.282,PIT,@,HOU,W 34-6,,0,0,,0,3,143,47.67,0
48,2017,2017-12-31,16,26.288,PIT,,CLE,W 28-24,,0,0,,0,4,144,36.00,0
49,2018,2018-09-09,1,27.175,PIT,@,CLE,T 21-21,,0,0,,0,7,275,39.29,0
50,2018,2018-09-16,2,27.182,PIT,,KAN,L 37-42,,0,0,,0,5,232,46.40,0
51,2018,2018-09-24,3,27.190,PIT,@,TAM,W 30-27,,0,0,,0,5,228,45.60,0
