ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1985,1985-10-07,5,22.350,WAS,,STL,W 27-10,,,,,,,,,,
2,1985,1985-10-13,6,22.356,WAS,,DET,W 24-3,,,,,,,,,,
3,1985,1985-10-20,7,22.363,WAS,@,NYG,L 3-17,,,,,,,,,,
4,1985,1985-10-27,8,23.005,WAS,@,CLE,W 14-7,,,,,,,,,,
5,1985,1985-11-03,9,23.012,WAS,@,ATL,W 44-10,,,,,,,,,,
6,1985,1985-11-10,10,23.019,WAS,,DAL,L 7-13,,,,,,,,,,
7,1985,1985-12-15,15,23.054,WAS,,CIN,W 27-24,,,,,,,,,,
8,1985,1985-12-21,16,23.060,WAS,@,STL,W 27-16,,,,,,,,,,
9,1986,1986-12-21,16,24.060,WAS,@,PHI,W 21-14,,,,,,,,,,
10,1987,1987-09-13,1,24.326,WAS,,PHI,W 34-24,3,6,2.00,1,0,0,,0,1,6
11,1987,1987-09-20,2,24.333,WAS,@,ATL,L 20-21,1,3,3.00,0,0,0,,0,0,0
12,1987,1987-10-25,6,25.003,WAS,,NYJ,W 17-16,0,0,,0,0,0,,0,,
13,1987,1987-11-01,7,25.010,WAS,@,BUF,W 27-7,0,0,,0,0,0,,0,,
14,1987,1987-11-08,8,25.017,WAS,@,PHI,L 27-31,0,0,,0,0,0,,0,,
15,1987,1987-11-15,9,25.024,WAS,,DET,W 20-13,0,0,,0,1,19,19.00,0,0,0
16,1987,1987-11-23,10,25.032,WAS,,RAM,L 26-30,0,0,,0,1,15,15.00,0,0,0
17,1987,1987-11-29,11,25.038,WAS,,NYG,W 23-19,0,0,,0,0,0,,0,,
18,1987,1987-12-06,12,25.045,WAS,@,STL,W 34-17,0,0,,0,1,15,15.00,0,0,0
19,1987,1987-12-13,13,25.052,WAS,,DAL,W 24-20,0,0,,0,0,0,,0,,
20,1987,1987-12-20,14,25.059,WAS,@,MIA,L 21-23,0,0,,0,0,0,,0,,
21,1987,1987-12-26,15,25.065,WAS,@,MIN,W 27-24,0,0,,0,1,12,12.00,0,0,0
22,1988,1988-09-05,1,25.319,WAS,@,NYG,L 20-27,,,,,,,,,,
23,1988,1988-09-11,2,25.325,WAS,,PIT,W 30-29,,,,,,,,,,
24,1988,1988-11-21,12,26.030,WAS,@,SFO,L 21-37,,,,,,,,,,
25,1988,1988-11-27,13,26.036,WAS,,CLE,L 13-17,,,,,,,,,,
26,1988,1988-12-04,14,26.043,WAS,@,PHI,W 20-19,,,,,,,,,,
27,1988,1988-12-11,15,26.050,WAS,,DAL,L 17-24,,,,,,,,,,
28,1988,1988-12-17,16,26.056,WAS,@,CIN,L 17-20,,,,,,,,,,
29,1989,1989-09-11,1,26.324,WAS,,NYG,L 24-27,,,,,0,0,,0,,
30,1989,1989-09-17,2,26.330,WAS,,PHI,L 37-42,,,,,0,0,,0,,
31,1989,1989-09-24,3,26.337,WAS,@,DAL,W 30-7,,,,,0,0,,0,,
32,1989,1989-10-01,4,26.344,WAS,@,NOR,W 16-14,,,,,0,0,,0,,
33,1989,1989-10-08,5,26.351,WAS,,PHO,W 30-28,,,,,0,0,,0,,
34,1989,1989-10-15,6,26.358,WAS,@,NYG,L 17-20,,,,,0,0,,0,,
35,1989,1989-10-22,7,27.000,WAS,,TAM,W 32-28,0,0,,0,1,6,6.00,0,0,0
36,1989,1989-10-29,8,27.007,WAS,@,RAI,L 24-37,,,,,0,0,,0,,
37,1989,1989-11-05,9,27.014,WAS,,DAL,L 3-13,,,,,0,0,,0,,
38,1989,1989-12-23,16,27.062,WAS,@,SEA,W 29-0,,,,,0,0,,0,,
