ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2002,2002-09-08,1,24.005,NOR,@,TAM,W 26-20,*,0,0,,0,,0,0,1.0,,,0,0,0
2,2002,2002-09-15,2,24.012,NOR,,GNB,W 35-20,,,,,,,,,,,,,,
3,2002,2002-09-22,3,24.019,NOR,@,CHI,W 29-23,,,,,,,,,,,,,,
4,2002,2002-09-29,4,24.026,NOR,@,DET,L 21-26,,,,,,,,,,,,,,
5,2002,2002-10-06,5,24.033,NOR,,PIT,W 32-29,*,0,0,,0,,0,0,1.0,,,0,0,0
6,2002,2002-10-13,6,24.040,NOR,@,WAS,W 43-27,*,,,,,,,,,,,,,
7,2002,2002-10-20,7,24.047,NOR,,SFO,W 35-27,*,,,,,,,,,,,,,
8,2002,2002-10-27,8,24.054,NOR,,ATL,L 35-37,*,,,,,,,,,,,,,
9,2002,2002-11-10,9,24.068,NOR,@,CAR,W 34-24,*,,,,,,,,,,,,,
10,2002,2002-11-17,10,24.075,NOR,@,ATL,L 17-24,,,,,,,,,,,,,,
11,2002,2002-11-24,11,24.082,NOR,,CLE,L 15-24,,,,,,,,,,,,,,
12,2002,2002-12-01,12,24.089,NOR,,TAM,W 23-20,,0,0,,0,,0,0,1.0,,,0,0,0
13,2002,2002-12-08,13,24.096,NOR,@,BAL,W 37-25,,0,0,,0,,0,0,1.0,,,0,0,0
14,2002,2002-12-15,14,24.103,NOR,,MIN,L 31-32,,,,,,,,,,,,,,
15,2002,2002-12-22,15,24.110,NOR,@,CIN,L 13-20,,2,10,5.00,0,,0,0,2.0,,,0,0,0
16,2002,2002-12-29,16,24.117,NOR,,CAR,L 6-10,,0,0,,0,,0,0,1.0,,,0,0,0
17,2003,2003-09-07,1,25.004,NOR,@,SEA,L 10-27,*,0,0,,0,,0,0,2.0,,,0,0,0
18,2003,2003-09-14,2,25.011,NOR,,HOU,W 31-10,*,0,0,,0,,0,0,1.0,,,0,0,0
19,2003,2003-09-21,3,25.018,NOR,@,TEN,L 12-27,*,,,,,,,,,,,,,
20,2003,2003-09-28,4,25.025,NOR,,IND,L 21-55,*,,,,,,,,,,,,,
21,2003,2003-10-05,5,25.032,NOR,@,CAR,L 13-19,*,,,,,,,,,,,,,
22,2003,2003-10-12,6,25.039,NOR,,CHI,W 20-13,,0,0,,0,,0,0,2.0,,,0,0,0
23,2003,2003-10-19,7,25.046,NOR,@,ATL,W 45-17,,,,,,,,,,,,,,
24,2003,2003-10-26,8,25.053,NOR,,CAR,L 20-23,,0,0,,0,,0,0,1.0,,,0,0,0
25,2003,2003-11-02,9,25.060,NOR,@,TAM,W 17-14,,,,,,,,,,,,,,
26,2003,2003-11-16,10,25.074,NOR,,ATL,W 23-20,,,,,,,,,,,,,,
27,2003,2003-11-23,11,25.081,NOR,@,PHI,L 20-33,,0,0,,0,,0,0,1.0,,,0,0,0
28,2003,2003-11-30,12,25.088,NOR,@,WAS,W 24-20,,,,,,,,,,,,,,
29,2003,2003-12-07,13,25.095,NOR,,TAM,L 7-14,*,,,,,,,,,,,,,
30,2003,2003-12-14,14,25.102,NOR,,NYG,W 45-7,*,0,0,,0,,0,0,1.0,,,0,0,0
31,2003,2003-12-21,15,25.109,NOR,@,JAX,L 19-20,*,0,0,,0,,0,0,1.0,,,0,0,0
32,2003,2003-12-28,16,25.116,NOR,,DAL,W 13-7,*,0,0,,0,,0,0,1.0,,,0,0,0
33,2004,2004-09-12,1,26.009,NOR,,SEA,L 7-21,*,,,,,,,,,,,,,
34,2004,2004-09-19,2,26.016,NOR,,SFO,W 30-27,*,0,0,,0,,0,0,1.0,,,0,0,0
35,2004,2004-09-26,3,26.023,NOR,@,STL,W 28-25,*,0,0,,0,,0,0,3.0,,,0,0,0
36,2004,2004-10-03,4,26.030,NOR,@,ARI,L 10-34,*,0,0,,0,,0,0,1.0,,,0,0,0
