ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-09-17,2,22.178,DEN,,KAN,W 9-6,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
2,2006,2006-09-24,3,22.185,DEN,@,NWE,W 17-7,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
3,2006,2006-10-09,4,22.200,DEN,,BAL,W 13-3,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
4,2006,2006-10-15,5,22.206,DEN,,OAK,W 13-3,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
5,2006,2006-10-22,6,22.213,DEN,@,CLE,W 17-7,,4,2,22,11.00,1,50.0%,5.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,,
6,2006,2006-10-29,7,22.220,DEN,,IND,L 31-34,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
7,2006,2006-11-05,8,22.227,DEN,@,PIT,W 31-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
8,2006,2006-11-12,9,22.234,DEN,@,OAK,W 17-13,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
9,2006,2006-11-19,10,22.241,DEN,,SDG,L 27-35,,3,1,33,33.00,0,33.3%,11.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
10,2006,2006-11-23,11,22.245,DEN,@,KAN,L 10-19,,3,3,21,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
