ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1962,1962-10-05,5,26.129,DEN,,OAK,W 44-7,0,0,,0,1,1,100.0,,,,0,1,0,0,0,2,48,24.00,0
2,1962,1962-10-21,7,26.145,DEN,,HOU,W 20-10,0,0,,0,1,1,100.0,,,,0,1,0,0,0,3,164,54.67,0
3,1963,1963-09-07,1,27.101,DEN,,KAN,L 7-59,0,0,,0,,,,,,,0,0,0,0,0,7,340,48.57,0
4,1963,1963-09-14,2,27.108,DEN,@,HOU,L 14-20,0,0,,0,,,,,,,0,0,0,0,0,6,250,41.67,0
5,1963,1963-09-29,3,27.123,DEN,,BOS,W 14-10,0,0,,0,,,,,,,0,0,0,0,0,4,197,49.25,0
6,1963,1963-10-06,4,27.130,DEN,,SDG,W 50-34,0,0,,0,,,,,,,0,0,0,0,0,3,159,53.00,0
7,1963,1963-10-13,5,27.137,DEN,,HOU,L 24-33,0,0,,0,,,,,,,0,0,0,0,0,5,254,50.80,0
8,1963,1963-10-18,6,27.142,DEN,@,BOS,L 21-40,0,0,,0,,,,,,,0,0,0,0,0,8,344,43.00,0
9,1963,1963-10-26,7,27.150,DEN,@,NYJ,T 35-35,0,0,,0,,,,,,,0,0,0,0,0,6,293,48.83,0
10,1963,1963-11-03,8,27.158,DEN,,BUF,L 28-30,0,0,,0,,,,,,,0,0,0,0,0,5,219,43.80,0
11,1963,1963-11-09,9,27.164,DEN,@,BUF,L 17-27,0,0,,0,,,,,,,0,0,0,0,0,9,380,42.22,0
12,1963,1963-11-17,10,27.172,DEN,,NYJ,L 9-14,0,0,,0,,,,,,,0,0,0,0,0,6,321,53.50,0
13,1963,1963-11-28,11,27.183,DEN,,OAK,L 10-26,0,0,,0,,,,,,,0,0,0,0,0,7,326,46.57,0
14,1963,1963-12-08,12,27.193,DEN,@,KAN,L 21-52,0,0,,0,,,,,,,0,0,0,0,0,6,118,19.67,3
15,1963,1963-12-15,13,27.200,DEN,@,OAK,L 31-35,0,0,,0,,,,,,,0,0,0,0,0,5,185,37.00,0
16,1963,1963-12-22,14,27.207,DEN,@,SDG,L 20-58,1,0,0.00,0,,,,,,,0,0,0,0,0,4,212,53.00,0
17,1964,1964-09-12,1,28.106,DEN,@,NYJ,L 6-30,0,0,,0,,,,,,,0,0,0,0,0,3,147,49.00,0
18,1964,1964-09-20,2,28.114,DEN,@,BUF,L 13-30,0,0,,0,,,,,,,0,0,0,0,0,6,257,42.83,0
19,1964,1964-09-27,3,28.121,DEN,,HOU,L 17-38,0,0,,0,,,,,,,0,0,0,0,0,3,160,53.33,0
20,1964,1964-10-04,4,28.128,DEN,,BOS,L 10-39,0,0,,0,,,,,,,0,0,0,0,0,8,302,37.75,1
21,1964,1964-10-11,5,28.135,DEN,,KAN,W 33-27,0,0,,0,,,,,,,0,0,0,0,0,5,261,52.20,0
22,1964,1964-10-18,6,28.142,DEN,@,SDG,L 14-42,0,0,,0,,,,,,,0,0,0,0,0,7,327,46.71,0
23,1964,1964-10-25,7,28.149,DEN,@,OAK,L 7-40,0,0,,0,,,,,,,0,0,0,0,0,4,172,43.00,0
24,1964,1964-11-01,8,28.156,DEN,@,KAN,L 39-49,0,0,,0,,,,,,,0,0,0,0,0,7,278,39.71,0
25,1964,1964-11-08,9,28.163,DEN,,SDG,L 20-31,0,0,,0,,,,,,,0,0,1,1,0,4,200,50.00,0
26,1964,1964-11-15,10,28.170,DEN,,NYJ,W 20-16,0,0,,0,,,,,,,0,0,0,0,0,10,475,47.50,0
27,1964,1964-11-20,11,28.175,DEN,@,BOS,L 7-12,0,0,,0,,,,,,,0,0,0,0,0,7,301,43.00,0
28,1964,1964-11-29,12,28.184,DEN,,OAK,T 20-20,0,0,,0,,,,,,,0,0,0,0,0,4,148,37.00,0
29,1964,1964-12-20,14,28.205,DEN,@,HOU,L 15-34,0,0,,0,,,,,,,0,0,0,0,0,5,202,40.40,0
30,1965,1965-09-18,2,29.112,KAN,@,NYJ,W 14-10,0,0,,0,,,,,,,0,0,0,0,0,1,31,31.00,0
31,1965,1965-10-10,5,29.134,KAN,@,DEN,W 31-23,0,0,,0,,,,,,,0,0,0,0,0,1,37,37.00,0
32,1965,1965-10-17,6,29.141,KAN,,BUF,L 7-23,1,5,5.00,0,,,,,,,0,0,0,0,0,0,0,,0
33,1965,1965-11-07,9,29.162,KAN,,NYJ,L 10-13,0,0,,0,,,,,,,0,0,0,0,0,1,13,13.00,0
34,1966,1966-09-10,1,30.104,BOS,@,SDG,L 0-24,0,0,,0,,,,,,,0,0,0,0,0,9,367,40.78,0
35,1966,1966-09-18,2,30.112,BOS,@,DEN,W 24-10,0,0,,0,,,,,,,0,0,0,0,0,5,236,47.20,0
36,1966,1966-09-25,3,30.119,BOS,,KAN,L 24-43,0,0,,0,,,,,,,0,0,0,0,0,6,214,35.67,1
37,1966,1966-10-02,4,30.126,BOS,,NYJ,T 24-24,0,0,,0,,,,,,,0,0,0,0,0,11,392,35.64,1
38,1966,1966-10-08,5,30.132,BOS,@,BUF,W 20-10,0,0,,0,,,,,,,0,0,0,0,0,8,291,36.38,0
39,1966,1966-10-23,6,30.147,BOS,,SDG,W 35-17,0,0,,0,,,,,,,0,0,0,0,0,4,146,36.50,0
40,1966,1966-10-30,7,30.154,BOS,,OAK,W 24-21,0,0,,0,,,,,,,0,0,0,0,0,5,169,33.80,0
41,1966,1966-11-06,8,30.161,BOS,,DEN,L 10-17,0,0,,0,,,,,,,0,0,0,0,0,1,32,32.00,0
42,1966,1966-11-13,9,30.168,BOS,,HOU,W 27-21,0,0,,0,,,,,,,0,0,0,0,0,6,197,32.83,0
43,1966,1966-12-04,12,30.189,BOS,,BUF,W 14-3,0,0,,0,,,,,,,0,0,1,3,0,0,0,,0
44,1968,1968-11-24,11,32.179,NOR,@,DET,T 20-20,0,0,,0,,,,,,,0,0,0,0,0,5,175,35.00,0
45,1968,1968-12-01,12,32.186,NOR,,CHI,L 17-23,0,0,,0,,,,,,,0,0,0,0,0,6,217,36.17,0
