ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1963,1963-10-13,5,22.238,SDG,,NYJ,W 24-20,1,26,26.00,0,0,0,,0,0,0,0,0,0
2,1963,1963-10-20,6,22.245,SDG,@,KAN,W 38-17,3,59,19.67,0,0,0,,0,0,0,0,0,0
3,1963,1963-11-10,9,22.266,SDG,@,BOS,W 7-6,3,62,20.67,0,0,0,,0,0,0,0,0,0
4,1963,1963-11-17,10,22.273,SDG,@,BUF,W 23-13,2,37,18.50,0,0,0,,0,0,0,0,0,0
5,1963,1963-12-01,11,22.287,SDG,,HOU,W 27-0,1,20,20.00,0,0,0,,0,0,0,0,0,0
6,1964,1964-09-12,1,23.208,SDG,,HOU,W 27-21,1,26,26.00,0,0,0,,0,0,0,0,0,0
7,1964,1964-09-20,2,23.216,SDG,,BOS,L 28-33,5,98,19.60,0,0,0,,0,0,0,0,0,0
8,1964,1964-09-26,3,23.222,SDG,@,BUF,L 3-30,0,0,,0,1,4,4.00,0,0,0,0,0,0
9,1964,1964-10-03,4,23.229,SDG,@,NYJ,T 17-17,2,54,27.00,0,1,6,6.00,0,0,0,0,0,0
10,1964,1964-10-09,5,23.235,SDG,@,BOS,W 26-17,3,70,23.33,0,0,0,,0,0,0,1,0,0
11,1964,1964-10-18,6,23.244,SDG,,DEN,W 42-14,2,30,15.00,0,0,0,,0,0,0,0,0,0
12,1964,1964-10-25,7,23.251,SDG,@,HOU,W 20-17,2,14,7.00,0,0,0,,0,0,0,0,0,0
13,1964,1964-11-01,8,23.258,SDG,,OAK,W 31-17,3,68,22.67,0,0,0,,0,0,0,2,51,0
14,1964,1964-11-15,10,23.272,SDG,@,KAN,W 28-14,0,0,,0,0,0,,0,0,0,1,0,0
15,1964,1964-12-13,13,23.300,SDG,,KAN,L 6-49,0,0,,0,0,0,,0,0,0,1,0,0
16,1964,1964-12-20,14,23.307,SDG,@,OAK,L 20-21,0,0,,0,0,0,,0,0,0,1,0,0
17,1965,1965-11-25,11,24.281,SDG,,BUF,T 20-20,0,0,,0,0,0,,0,0,0,1,28,0
18,1966,1966-10-16,6,25.241,MIA,,DEN,W 24-7,0,0,,0,0,0,,0,0,0,2,61,0
19,1966,1966-10-23,7,25.248,MIA,@,HOU,W 20-13,0,0,,0,0,0,,0,0,0,1,4,0
20,1966,1966-12-11,13,25.297,MIA,,KAN,L 18-19,0,0,,0,0,0,,0,1,6,1,39,1
21,1967,1967-10-15,5,26.240,MIA,@,BOS,L 10-41,0,0,,0,0,0,,0,0,0,2,30,0
22,1967,1967-11-05,7,26.261,MIA,@,BUF,L 13-35,0,0,,0,0,0,,0,0,0,1,0,0
23,1967,1967-11-19,9,26.275,MIA,@,OAK,L 17-31,0,0,,0,0,0,,0,0,0,1,3,0
24,1967,1967-11-26,10,26.282,MIA,,BUF,W 17-14,0,0,,0,0,0,,0,0,0,3,43,0
25,1967,1967-12-03,11,26.289,MIA,@,HOU,L 14-17,0,0,,0,0,0,,0,0,0,1,18,0
26,1967,1967-12-10,12,26.296,MIA,,SDG,W 41-24,0,0,,0,0,0,,0,0,0,1,14,0
27,1967,1967-12-17,13,26.303,MIA,,BOS,W 41-32,0,0,,0,0,0,,0,1,6,1,19,1
28,1968,1968-10-27,7,27.253,MIA,@,DEN,L 14-21,0,0,,0,0,0,,0,0,0,1,0,0
