ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2001,2001-10-07,4,22.265,SDG,@,CLE,L 16-20,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,
2,2001,2001-11-04,8,22.293,SDG,,KAN,L 20-25,,15,27,55.56,221,1,0,94.8,2,12,8.19,8.93,2,18,9.00,0,0,0,0,,0,0.0%,,0,0,0.0,,
3,2002,2002-09-08,1,23.236,SDG,@,CIN,W 34-6,*,15,19,78.95,160,2,0,136.8,1,0,8.42,10.53,5,13,2.60,0,0,0,0,,0,0.0%,,0,0,0.0,,
4,2002,2002-09-15,2,23.243,SDG,,HOU,W 24-3,*,15,28,53.57,163,1,1,68.0,2,20,5.82,4.93,3,7,2.33,0,0,0,0,,0,0.0%,,0,0,0.0,,
5,2002,2002-09-22,3,23.250,SDG,@,ARI,W 23-15,*,17,31,54.84,181,0,1,58.7,2,17,5.84,4.39,3,21,7.00,0,0,0,0,,0,0.0%,,0,0,0.0,,
6,2002,2002-09-29,4,23.257,SDG,,NWE,W 21-14,*,10,18,55.56,104,1,0,91.0,0,0,5.78,6.89,4,4,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,
7,2002,2002-10-06,5,23.264,SDG,@,DEN,L 9-26,*,26,42,61.90,235,1,2,65.1,0,0,5.60,3.93,1,7,7.00,0,0,0,0,,0,0.0%,,0,0,0.0,,
8,2002,2002-10-13,6,23.271,SDG,,KAN,W 35-34,*,28,41,68.29,319,2,2,87.3,1,7,7.78,6.56,5,27,5.40,0,0,0,0,,0,0.0%,,0,0,0.0,,
9,2002,2002-10-20,7,23.278,SDG,@,OAK,W 27-21,*,16,25,64.00,170,2,0,110.4,2,9,6.80,8.40,2,0,0.00,1,0,0,0,,0,0.0%,,1,6,0.0,,
10,2002,2002-11-03,8,23.292,SDG,,NYJ,L 13-44,*,22,35,62.86,192,1,2,63.0,2,22,5.49,3.49,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,
11,2002,2002-11-10,9,23.299,SDG,@,STL,L 24-28,*,12,20,60.00,139,0,2,41.5,1,9,6.95,2.45,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,0.0,,
12,2002,2002-11-17,10,23.306,SDG,,SFO,W 20-17,*,29,50,58.00,336,2,1,83.4,0,0,6.72,6.62,2,15,7.50,0,0,0,0,,0,0.0%,,0,0,0.0,,
13,2002,2002-11-24,11,23.313,SDG,@,MIA,L 3-30,*,15,22,68.18,107,0,1,60.2,3,27,4.86,2.82,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,0.0,,
14,2002,2002-12-01,12,23.320,SDG,,DEN,W 30-27,*,27,41,65.85,217,0,0,79.0,1,3,5.29,5.29,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,0.0,,
15,2002,2002-12-08,13,23.327,SDG,,OAK,L 7-27,*,22,41,53.66,239,0,3,40.6,2,13,5.83,2.54,5,5,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,
16,2002,2002-12-15,14,23.334,SDG,@,BUF,L 13-20,*,13,24,54.17,148,0,0,72.9,3,20,6.17,6.17,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,
17,2002,2002-12-22,15,23.341,SDG,@,KAN,L 22-24,*,26,40,65.00,242,2,0,98.1,1,7,6.05,7.05,2,17,8.50,0,0,0,0,,0,0.0%,,0,0,0.0,,
18,2002,2002-12-29,16,23.348,SDG,,SEA,L 28-31,*,27,49,55.10,332,3,1,88.1,3,26,6.78,7.08,1,10,10.00,0,0,0,0,,0,0.0%,,0,0,0.0,,
