ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring
1,2011,2011-10-23,6,23.169,WAS,@,CAR,L 20-33,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
2,2011,2011-10-30,7,23.176,WAS,@,BUF,L 0-23,,4,1,23,23.00,0,25.0%,5.75,0,0,,0,,0,0
3,2011,2011-11-06,8,23.183,WAS,,SFO,L 11-19,*,6,4,34,8.50,0,66.7%,5.67,0,0,,0,1,0,2
4,2011,2011-11-13,9,23.190,WAS,@,MIA,L 9-20,*,9,8,106,13.25,0,88.9%,11.78,0,0,,0,,0,0
5,2012,2012-09-09,1,24.125,WAS,@,NOR,W 40-32,,,,,,,0.0%,,,,,,,,
6,2012,2012-09-16,2,24.132,WAS,@,STL,L 28-31,,3,2,68,34.00,1,66.7%,22.67,0,0,,0,,1,6
7,2012,2012-09-23,3,24.139,WAS,,CIN,L 31-38,*,7,4,56,14.00,0,57.1%,8.00,0,0,,0,,0,0
8,2012,2012-09-30,4,24.146,WAS,@,TAM,W 24-22,*,11,7,57,8.14,0,63.6%,5.18,0,0,,0,,0,0
9,2012,2012-10-07,5,24.153,WAS,,ATL,L 17-24,,1,1,3,3.00,0,100.0%,3.00,1,2,2.00,0,,0,0
10,2012,2012-10-14,6,24.160,WAS,,MIN,W 38-26,*,3,2,23,11.50,0,66.7%,7.67,0,0,,0,,0,0
11,2012,2012-10-21,7,24.167,WAS,@,NYG,L 23-27,*,8,6,70,11.67,0,75.0%,8.75,0,0,,0,,0,0
12,2012,2012-10-28,8,24.174,WAS,@,PIT,L 12-27,*,4,1,16,16.00,0,25.0%,4.00,0,0,,0,,0,0
13,2012,2012-11-04,9,24.181,WAS,,CAR,L 13-21,,4,3,49,16.33,0,75.0%,12.25,0,0,,0,,0,0
14,2012,2012-11-18,10,24.195,WAS,,PHI,W 31-6,,2,2,30,15.00,0,100.0%,15.00,0,0,,0,,0,0
15,2012,2012-11-22,11,24.199,WAS,@,DAL,W 38-31,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,,0,0
16,2012,2012-12-03,12,24.210,WAS,,NYG,W 17-16,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,,0,0
17,2012,2012-12-09,13,24.216,WAS,,BAL,W 31-28,,5,4,67,16.75,0,80.0%,13.40,1,3,3.00,0,,0,0
18,2012,2012-12-16,14,24.223,WAS,@,CLE,W 38-21,,3,2,56,28.00,2,66.7%,18.67,0,0,,0,,2,12
19,2012,2012-12-23,15,24.230,WAS,@,PHI,W 27-20,,2,1,10,10.00,0,50.0%,5.00,0,0,,0,,0,0
20,2012,2012-12-30,16,24.237,WAS,,DAL,W 28-18,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,,0,0
21,2013,2013-09-09,1,25.125,WAS,,PHI,L 27-33,,7,5,80,16.00,2,71.4%,11.43,0,0,,0,,2,12
22,2013,2013-09-15,2,25.131,WAS,@,GNB,L 20-38,*,3,3,35,11.67,0,100.0%,11.67,0,0,,0,,0,0
23,2013,2013-09-22,3,25.138,WAS,,DET,L 20-27,*,7,3,21,7.00,0,42.9%,3.00,0,0,,0,,0,0
24,2013,2013-09-29,4,25.145,WAS,@,OAK,W 24-14,*,7,4,49,12.25,0,57.1%,7.00,0,0,,0,,0,0
25,2013,2013-10-13,5,25.159,WAS,@,DAL,L 16-31,*,6,2,36,18.00,0,33.3%,6.00,0,0,,0,,0,0
26,2013,2013-10-20,6,25.166,WAS,,CHI,W 45-41,*,5,1,26,26.00,0,20.0%,5.20,0,0,,0,,0,0
27,2013,2013-10-27,7,25.173,WAS,@,DEN,L 21-45,,3,1,7,7.00,1,33.3%,2.33,0,0,,0,,1,6
28,2013,2013-11-03,8,25.180,WAS,,SDG,W 30-24,,6,5,55,11.00,0,83.3%,9.17,0,0,,0,,0,0
29,2013,2013-11-07,9,25.184,WAS,@,MIN,L 27-34,*,5,5,61,12.20,0,100.0%,12.20,0,0,,0,,0,0
30,2013,2013-11-17,10,25.194,WAS,@,PHI,L 16-24,*,1,1,5,5.00,0,100.0%,5.00,0,0,,0,,0,0
31,2014,2014-11-16,10,26.193,WAS,,TAM,L 7-27,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
32,2015,2015-09-14,1,27.130,ATL,,PHI,W 26-24,,4,2,16,8.00,0,50.0%,4.00,0,0,,0,,0,0
33,2015,2015-09-20,2,27.136,ATL,@,NYG,W 24-20,,11,6,77,12.83,1,54.5%,7.00,0,0,,0,,1,6
34,2015,2015-09-27,3,27.143,ATL,@,DAL,W 39-28,,6,3,45,15.00,0,50.0%,7.50,0,0,,0,,0,0
35,2015,2015-10-04,4,27.150,ATL,,HOU,W 48-21,,8,6,103,17.17,1,75.0%,12.88,0,0,,0,,1,6
36,2015,2015-10-11,5,27.157,ATL,,WAS,W 25-19,,4,1,13,13.00,0,25.0%,3.25,0,0,,0,,0,0
37,2015,2015-10-15,6,27.161,ATL,@,NOR,L 21-31,,6,4,37,9.25,0,66.7%,6.17,0,0,,0,,0,0
38,2015,2015-10-25,7,27.171,ATL,@,TEN,W 10-7,,0,0,0,,0,0.0%,,0,0,,0,,0,0
39,2015,2015-11-22,10,27.199,ATL,,IND,L 21-24,,7,4,36,9.00,1,57.1%,5.14,0,0,,0,,1,6
40,2015,2015-12-20,14,27.227,NWE,,TEN,W 33-16,,0,0,0,,0,0.0%,,0,0,,0,,0,0
41,2015,2016-01-03,16,27.241,BUF,,NYJ,W 22-17,,0,0,0,,0,0.0%,,0,0,,0,,0,0
