ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1979,1979-09-02,1,21.301,ATL,@,NOR,W 40-34,0,0,,0,0,0,,0,0,0,,0,1,6,1,6,1
2,1979,1979-09-10,2,21.309,ATL,@,PHI,W 14-10,,,,,,,,,,,,,,,,,
3,1979,1979-09-16,3,21.315,ATL,,DEN,L 17-20,,,,,,,,,,,,,,,,,
4,1979,1979-09-23,4,21.322,ATL,@,DET,L 23-24,5,20,4.00,0,1,9,9.00,0,0,0,,0,0,0,0,0,0
5,1979,1979-09-30,5,21.329,ATL,,WAS,L 7-16,,,,,,,,,,,,,,,,,
6,1979,1979-10-07,6,21.336,ATL,,GNB,W 25-7,13,49,3.77,1,0,0,,0,0,0,,0,1,6,0,0,0
7,1979,1979-10-14,7,21.343,ATL,@,OAK,L 19-50,13,77,5.92,0,4,26,6.50,0,0,0,,0,0,0,0,0,0
8,1979,1979-10-21,8,21.350,ATL,@,SFO,L 15-20,,,,,,,,,,,,,,,,,
9,1979,1979-10-29,9,21.358,ATL,,SEA,L 28-31,2,4,2.00,0,0,0,,0,0,0,,0,0,0,0,0,0
10,1979,1979-11-04,10,21.364,ATL,,TAM,W 17-14,3,16,5.33,0,0,0,,0,0,0,,0,0,0,0,0,0
11,1979,1979-11-11,11,22.006,ATL,@,NYG,L 3-24,1,-1,-1.00,0,0,0,,0,1,16,16.00,0,0,0,0,0,0
12,1979,1979-11-19,12,22.014,ATL,@,RAM,L 14-20,,,,,,,,,,,,,,,,,
13,1979,1979-11-25,13,22.020,ATL,,NOR,L 6-37,1,2,2.00,0,0,0,,0,0,0,,0,0,0,0,0,0
14,1979,1979-12-02,14,22.027,ATL,@,SDG,W 28-26,,,,,,,,,,,,,,,,,
15,1979,1979-12-09,15,22.034,ATL,,RAM,L 13-34,4,16,4.00,0,1,6,6.00,0,2,21,10.50,0,0,0,0,0,0
16,1979,1979-12-16,16,22.041,ATL,,SFO,W 31-21,3,10,3.33,0,1,7,7.00,0,1,12,12.00,0,0,0,0,0,0
17,1980,1980-09-07,1,22.307,ATL,@,MIN,L 23-24,,,,,,,,,,,,,,,,,
18,1980,1980-09-14,2,22.314,ATL,@,NWE,W 37-21,,,,,,,,,,,,,,,,,
19,1980,1980-09-21,3,22.321,ATL,,MIA,L 17-20,2,7,3.50,0,0,0,,0,0,0,,0,0,0,0,0,0
20,1980,1980-09-28,4,22.328,ATL,@,SFO,W 20-17,,,,,,,,,,,,,,,,,
21,1980,1980-10-05,5,22.335,ATL,,DET,W 43-28,,,,,,,,,,,,,,,,,
22,1980,1980-10-12,6,22.342,ATL,,NYJ,L 7-14,,,,,,,,,,,,,,,,,
23,1980,1980-10-19,7,22.349,ATL,@,NOR,W 41-14,7,55,7.86,0,0,0,,0,0,0,,0,0,0,0,0,0
24,1980,1980-10-26,8,22.356,ATL,,RAM,W 13-10,1,2,2.00,0,0,0,,0,0,0,,0,0,0,0,0,0
25,1980,1980-11-02,9,22.363,ATL,@,BUF,W 30-14,,,,,,,,,,,,,,,,,
26,1980,1980-11-09,10,23.004,ATL,@,STL,W 33-27,,,,,,,,,,,,,,,,,
27,1980,1980-11-16,11,23.011,ATL,,NOR,W 31-13,2,5,2.50,0,0,0,,0,0,0,,0,0,0,0,0,0
28,1980,1980-11-23,12,23.018,ATL,,CHI,W 28-17,1,10,10.00,0,0,0,,0,0,0,,0,0,0,0,0,0
29,1980,1980-11-30,13,23.025,ATL,,WAS,W 10-6,,,,,,,,,,,,,,,,,
30,1980,1980-12-07,14,23.032,ATL,@,PHI,W 20-17,,,,,,,,,,,,,,,,,
31,1980,1980-12-14,15,23.039,ATL,,SFO,W 35-10,3,3,1.00,0,3,1,0.33,0,0,0,,0,0,0,0,0,0
32,1980,1980-12-21,16,23.046,ATL,@,RAM,L 17-20,2,6,3.00,0,0,0,,0,0,0,,0,0,0,0,0,0
33,1981,1981-09-06,1,23.305,ATL,,NOR,W 27-0,6,19,3.17,0,0,0,,0,0,0,,0,0,0,0,0,0
