ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2016,2016-09-11,1,22.197,TAM,@,ATL,W 31-24,,0,0,,0,0,0,0,,0,0.0%,,0,0
2,2016,2016-09-25,3,22.211,TAM,,LAR,L 32-37,,0,0,,0,0,0,0,,0,0.0%,,0,0
3,2016,2016-10-02,4,22.218,TAM,,DEN,L 7-27,,0,0,,0,0,0,0,,0,0.0%,,0,0
4,2016,2016-10-10,5,22.226,TAM,@,CAR,W 17-14,,3,6,2.00,0,0,0,0,,0,0.0%,,0,0
5,2016,2016-10-23,6,22.239,TAM,@,SFO,W 34-17,,12,84,7.00,1,0,0,0,,0,0.0%,,1,6
6,2016,2016-10-30,7,22.246,TAM,,OAK,L 24-30,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0
7,2016,2016-11-03,8,22.250,TAM,,ATL,L 28-43,*,11,31,2.82,0,5,4,24,6.00,0,80.0%,4.80,0,0
8,2016,2016-11-13,9,22.260,TAM,,CHI,W 36-10,,12,38,3.17,0,0,0,0,,0,0.0%,,0,0
9,2016,2016-11-20,10,22.267,TAM,@,KAN,W 19-17,,4,22,5.50,0,0,0,0,,0,0.0%,,0,0
10,2016,2016-11-27,11,22.274,TAM,,SEA,W 14-5,,5,16,3.20,0,1,1,4,4.00,0,100.0%,4.00,0,0
11,2016,2016-12-04,12,22.281,TAM,@,SDG,W 28-21,,2,6,3.00,0,0,0,0,,0,0.0%,,0,0
12,2016,2016-12-11,13,22.288,TAM,,NOR,W 16-11,,0,0,,0,0,0,0,,0,0.0%,,0,0
13,2016,2016-12-18,14,22.295,TAM,@,DAL,L 20-26,,0,0,,0,0,0,0,,0,0.0%,,0,0
14,2016,2016-12-24,15,22.301,TAM,@,NOR,L 24-31,,0,0,,0,0,0,0,,0,0.0%,,0,0
15,2016,2017-01-01,16,22.309,TAM,,CAR,W 17-16,,5,19,3.80,0,0,0,0,,0,0.0%,,0,0
16,2017,2017-09-17,1,23.202,TAM,,CHI,W 29-7,,10,47,4.70,0,0,0,0,,0,0.0%,,0,0
17,2017,2017-09-24,2,23.209,TAM,@,MIN,L 17-34,,0,0,,0,0,0,0,,0,0.0%,,0,0
18,2017,2017-10-01,3,23.216,TAM,,NYG,W 25-23,,2,2,1.00,0,0,0,0,,0,0.0%,,0,0
19,2017,2017-10-05,4,23.220,TAM,,NWE,L 14-19,,0,0,,0,0,0,0,,0,0.0%,,0,0
20,2017,2017-10-15,5,23.230,TAM,@,ARI,L 33-38,,0,0,,0,0,0,0,,0,0.0%,,0,0
21,2017,2017-10-22,6,23.237,TAM,@,BUF,L 27-30,,0,0,,0,0,0,0,,0,0.0%,,0,0
22,2017,2017-10-29,7,23.244,TAM,,CAR,L 3-17,,0,0,,0,0,0,0,,0,0.0%,,0,0
23,2017,2017-11-05,8,23.251,TAM,@,NOR,L 10-30,,11,34,3.09,0,3,2,20,10.00,0,66.7%,6.67,0,0
24,2017,2017-11-12,9,23.258,TAM,,NYJ,W 15-10,,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0
25,2017,2017-11-19,10,23.265,TAM,@,MIA,W 30-20,,0,0,,0,2,2,11,5.50,0,100.0%,5.50,0,0
26,2017,2017-11-26,11,23.272,TAM,@,ATL,L 20-34,,5,7,1.40,2,0,0,0,,0,0.0%,,2,12
27,2017,2017-12-03,12,23.279,TAM,@,GNB,L 20-26,*,23,102,4.43,0,4,4,41,10.25,0,100.0%,10.25,0,0
28,2017,2017-12-10,13,23.286,TAM,,DET,L 21-24,,12,58,4.83,0,1,1,5,5.00,0,100.0%,5.00,0,0
29,2017,2017-12-18,14,23.294,TAM,,ATL,L 21-24,*,13,53,4.08,0,3,3,15,5.00,0,100.0%,5.00,0,0
30,2017,2017-12-24,15,23.300,TAM,@,CAR,L 19-22,*,13,51,3.92,0,2,2,4,2.00,0,100.0%,2.00,0,0
31,2017,2017-12-31,16,23.307,TAM,,NOR,W 31-24,*,17,71,4.18,1,4,2,18,9.00,0,50.0%,4.50,1,6
32,2018,2018-09-09,1,24.194,TAM,@,NOR,W 48-40,*,19,69,3.63,0,0,0,0,,0,0.0%,,0,0
33,2018,2018-09-16,2,24.201,TAM,,PHI,W 27-21,*,16,22,1.38,0,2,1,7,7.00,0,50.0%,3.50,0,0
34,2018,2018-09-24,3,24.209,TAM,,PIT,L 27-30,*,8,33,4.13,0,2,0,0,,0,0.0%,0.00,0,0
