ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1963,1963-09-15,1,22.006,WAS,@,CLE,L 14-37,3,27,9.00,1,0,0,,0,0,0,,0,1,6,7,317,45.29,0
2,1963,1963-09-21,2,22.012,WAS,@,RAM,W 37-14,1,11,11.00,0,0,0,,0,0,0,,0,0,0,2,105,52.50,0
3,1963,1963-09-29,3,22.020,WAS,,DAL,W 21-17,1,19,19.00,0,0,0,,0,0,0,,0,0,0,3,126,42.00,0
4,1963,1963-10-06,4,22.027,WAS,,NYG,L 14-24,1,13,13.00,0,0,0,,0,0,0,,0,0,0,6,282,47.00,0
5,1963,1963-10-13,5,22.034,WAS,,PHI,L 24-37,1,13,13.00,0,0,0,,0,0,0,,0,0,0,6,228,38.00,0
6,1963,1963-10-20,6,22.041,WAS,@,PIT,L 27-38,3,33,11.00,0,0,0,,0,0,0,,0,0,0,1,36,36.00,0
7,1963,1963-10-27,7,22.048,WAS,,STL,L 7-21,6,67,11.17,1,0,0,,0,0,0,,0,1,6,3,129,43.00,0
8,1963,1963-11-03,8,22.055,WAS,@,DAL,L 20-35,2,24,12.00,0,0,0,,0,0,0,,0,0,0,1,40,40.00,0
9,1963,1963-11-10,9,22.062,WAS,@,STL,L 20-24,2,47,23.50,0,0,0,,0,0,0,,0,0,0,4,195,48.75,0
10,1963,1963-11-17,10,22.069,WAS,,PIT,L 28-34,4,66,16.50,1,0,0,,0,0,0,,0,1,6,1,39,39.00,0
11,1963,1963-11-24,11,22.076,WAS,@,PHI,W 13-10,2,32,16.00,0,0,0,,0,0,0,,0,0,0,5,198,39.60,0
12,1963,1963-12-01,12,22.083,WAS,,BAL,L 20-36,1,31,31.00,0,0,0,,0,0,0,,0,0,0,5,191,38.20,0
13,1963,1963-12-08,13,22.090,WAS,@,NYG,L 14-44,0,0,,0,0,0,,0,0,0,,0,0,0,3,105,35.00,0
14,1963,1963-12-15,14,22.097,WAS,,CLE,L 20-27,0,0,,0,0,0,,0,0,0,,0,0,0,6,221,36.83,0
15,1964,1964-09-13,1,23.004,WAS,,CLE,L 13-27,1,11,11.00,0,0,0,,0,0,0,,0,0,0,5,155,31.00,0
16,1964,1964-09-20,2,23.011,WAS,@,DAL,L 18-24,2,31,15.50,0,0,0,,0,0,0,,0,0,0,5,203,40.60,0
17,1964,1964-09-25,3,23.016,WAS,@,NYG,L 10-13,0,0,,0,1,-9,-9.00,0,0,0,,0,0,0,3,114,38.00,0
18,1964,1964-10-04,4,23.025,WAS,,STL,L 17-23,0,0,,0,0,0,,0,0,0,,0,0,0,6,282,47.00,0
19,1964,1964-10-11,5,23.032,WAS,,PHI,W 35-20,0,0,,0,0,0,,0,0,0,,0,0,0,7,279,39.86,0
20,1964,1964-10-18,6,23.039,WAS,@,STL,L 24-38,0,0,,0,0,0,,0,0,0,,0,0,0,8,347,43.38,0
21,1964,1964-10-25,7,23.046,WAS,,CHI,W 27-20,0,0,,0,0,0,,0,0,0,,0,0,0,9,402,44.67,0
22,1964,1964-11-01,8,23.053,WAS,@,PHI,W 21-10,0,0,,0,0,0,,0,0,0,,0,0,0,9,400,44.44,0
23,1964,1964-11-08,9,23.060,WAS,@,CLE,L 24-34,0,0,,0,0,0,,0,0,0,,0,0,0,6,239,39.83,0
24,1964,1964-11-15,10,23.067,WAS,@,PIT,W 30-0,1,7,7.00,0,0,0,,0,0,0,,0,0,0,5,193,38.60,0
25,1964,1964-11-22,11,23.074,WAS,,DAL,W 28-16,0,0,,0,0,0,,0,0,0,,0,0,0,8,328,41.00,0
26,1964,1964-11-29,12,23.081,WAS,,NYG,W 36-21,0,0,,0,0,0,,0,0,0,,0,0,0,4,176,44.00,0
27,1964,1964-12-06,13,23.088,WAS,,PIT,L 7-14,0,0,,0,0,0,,0,0,0,,0,0,0,8,294,36.75,0
28,1964,1964-12-13,14,23.095,WAS,@,BAL,L 17-45,0,0,,0,0,0,,0,0,0,,0,0,0,8,338,42.25,0
29,1965,1965-10-03,3,24.024,WAS,@,DET,L 10-14,0,0,,0,0,0,,0,0,0,,0,0,0,4,170,42.50,0
30,1965,1965-10-10,4,24.031,WAS,,STL,L 16-37,1,6,6.00,0,0,0,,0,0,0,,0,0,0,6,260,43.33,0
31,1965,1965-10-17,5,24.038,WAS,,BAL,L 7-38,2,39,19.50,0,0,0,,0,0,0,,0,0,0,5,207,41.40,0
32,1965,1965-10-24,6,24.045,WAS,@,STL,W 24-20,1,16,16.00,0,0,0,,0,0,0,,0,0,0,3,117,39.00,0
33,1965,1965-10-31,7,24.052,WAS,,PHI,W 23-21,3,19,6.33,0,0,0,,0,0,0,,0,0,0,5,251,50.20,0
34,1965,1965-11-07,8,24.059,WAS,@,NYG,W 23-7,2,9,4.50,0,0,0,,0,0,0,,0,0,0,5,236,47.20,0
35,1965,1965-11-14,9,24.066,WAS,@,PHI,L 14-21,2,30,15.00,1,0,0,,0,0,0,,0,1,6,6,269,44.83,0
36,1965,1965-11-21,10,24.073,WAS,@,PIT,W 31-3,1,12,12.00,0,0,0,,0,0,0,,0,0,0,7,284,40.57,0
37,1965,1965-11-28,11,24.080,WAS,,DAL,W 34-31,1,6,6.00,0,0,0,,0,0,0,,0,0,0,3,119,39.67,0
38,1965,1965-12-05,12,24.087,WAS,@,CLE,L 16-24,1,6,6.00,1,0,0,,0,0,0,,0,1,6,7,318,45.43,0
39,1965,1965-12-12,13,24.094,WAS,,NYG,L 10-27,2,46,23.00,0,0,0,,0,0,0,,0,0,0,3,133,44.33,0
40,1966,1966-09-11,1,25.002,WAS,,CLE,L 14-38,0,0,,0,0,0,,0,0,0,,0,0,0,6,262,43.67,0
41,1966,1966-09-18,2,25.009,WAS,@,STL,L 7-23,0,0,,0,0,0,,0,0,0,,0,0,0,7,298,42.57,0
42,1966,1966-09-25,3,25.016,WAS,@,PIT,W 33-27,4,49,12.25,0,0,0,,0,0,0,,0,0,0,4,150,37.50,0
