ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2017,2017-09-07,1,23.252,KAN,@,NWE,W 42-27,,0,0,0,,0,0.0%,,0,0,,0
2,2017,2017-10-15,6,23.290,KAN,,PIT,L 13-19,,0,0,0,,0,0.0%,,0,0,,0
3,2017,2017-10-19,7,23.294,KAN,@,OAK,L 30-31,,0,0,0,,0,0.0%,,1,20,20.00,0
4,2017,2017-10-30,8,23.305,KAN,,DEN,W 29-19,,0,0,0,,0,0.0%,,0,0,,0
5,2017,2017-11-05,9,23.311,KAN,@,DAL,L 17-28,,1,1,10,10.00,0,100.0%,10.00,0,0,,0
6,2017,2017-11-19,10,23.325,KAN,@,NYG,L 9-12,,0,0,0,,0,0.0%,,0,0,,0
7,2017,2017-11-26,11,23.332,KAN,,BUF,L 10-16,,0,0,0,,0,0.0%,,0,0,,0
8,2017,2017-12-03,12,23.339,KAN,@,NYJ,L 31-38,,0,0,0,,0,0.0%,,0,0,,0
9,2017,2017-12-10,13,23.346,KAN,,OAK,W 26-15,,0,0,0,,0,0.0%,,0,0,,0
10,2017,2017-12-16,14,23.352,KAN,,LAC,W 30-13,,0,0,0,,0,0.0%,,0,0,,0
11,2017,2017-12-24,15,23.360,KAN,,MIA,W 29-13,,0,0,0,,0,0.0%,,0,0,,0
12,2017,2017-12-31,16,24.002,KAN,@,DEN,W 27-24,*,3,1,8,8.00,0,33.3%,2.67,2,45,22.50,0
13,2018,2018-09-16,2,24.261,WAS,,IND,L 9-21,,1,0,0,,0,0.0%,0.00,0,0,,0
