ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2006,2006-09-10,1,24.032,CHI,@,GNB,W 26-0,,0,0,,0,,0,0,0.0,,,1,15,0
2,2006,2006-09-17,2,24.039,CHI,,DET,W 34-7,,1,20,20.00,0,,0,0,0.0,,,0,0,0
3,2006,2006-09-24,3,24.046,CHI,@,MIN,W 19-16,*,,,,,,,,,,,,,
4,2006,2006-10-01,4,24.053,CHI,,SEA,W 37-6,*,,,,,,,,,,,,,
5,2006,2006-10-08,5,24.060,CHI,,BUF,W 40-7,*,,,,,,,,,,,,,
6,2006,2006-10-16,6,24.068,CHI,@,ARI,W 24-23,*,,,,,,,,,,,,,
7,2006,2006-10-29,7,24.081,CHI,,SFO,W 41-10,*,,,,,,,,,,,,,
8,2006,2006-11-05,8,24.088,CHI,,MIA,L 13-31,*,,,,,,,,,,,,,
9,2006,2006-11-12,9,24.095,CHI,@,NYG,W 38-20,*,,,,,,,,,,,,,
10,2006,2006-11-19,10,24.102,CHI,@,NYJ,W 10-0,*,,,,,,,,,,,,,
11,2006,2006-11-26,11,24.109,CHI,@,NWE,L 13-17,*,,,,,,,,,,,,,
12,2006,2006-12-03,12,24.116,CHI,,MIN,W 23-13,*,0,0,,0,,0,0,0.0,,,1,11,0
13,2006,2006-12-11,13,24.124,CHI,@,STL,W 42-27,*,,,,,,,,,,,,,
14,2006,2006-12-17,14,24.130,CHI,,TAM,W 34-31,*,,,,,,,,,,,,,
15,2006,2006-12-24,15,24.137,CHI,@,DET,W 26-21,*,,,,,,,,,,,,,
16,2006,2006-12-31,16,24.144,CHI,,GNB,L 7-26,*,,,,,,,,,,,,,
17,2007,2007-09-09,1,25.031,CHI,@,SDG,L 3-14,,2,41,20.50,0,,0,0,0.0,,,0,0,0
18,2007,2007-09-16,2,25.038,CHI,,KAN,W 20-10,*,0,0,,0,,0,0,0.0,,,1,33,0
19,2007,2007-09-23,3,25.045,CHI,,DAL,L 10-34,*,1,20,20.00,0,,0,0,0.0,,,0,0,0
20,2007,2007-09-30,4,25.052,CHI,@,DET,L 27-37,*,,,,,,,,,,,,,
21,2007,2007-10-07,5,25.059,CHI,@,GNB,W 27-20,*,,,,,,,,,,,,,
22,2007,2007-10-14,6,25.066,CHI,,MIN,L 31-34,*,,,,,,,,,,,,,
23,2007,2007-10-21,7,25.073,CHI,@,PHI,W 19-16,*,,,,,,,,,,,,,
24,2007,2007-10-28,8,25.080,CHI,,DET,L 7-16,*,,,,,,,,,,,,,
25,2007,2007-11-11,9,25.094,CHI,@,OAK,W 17-6,*,0,0,,0,,0,0,0.0,,,1,0,0
26,2007,2007-11-18,10,25.101,CHI,@,SEA,L 23-30,*,,,,,,,,,,,,,
27,2007,2007-11-25,11,25.108,CHI,,DEN,W 37-34,*,,,,,,,,,,,,,
28,2007,2007-12-02,12,25.115,CHI,,NYG,L 16-21,*,,,,,,,,,,,,,
29,2007,2007-12-06,13,25.119,CHI,@,WAS,L 16-24,*,,,,,,,,,,,,,
30,2007,2007-12-17,14,25.130,CHI,@,MIN,L 13-20,*,,,,,,,,,,,,,
31,2007,2007-12-23,15,25.136,CHI,,GNB,W 35-7,*,,,,,,,,,,,,,
32,2007,2007-12-30,16,25.143,CHI,,NOR,W 33-25,*,,,,,,,,,,,,,
33,2008,2008-09-07,1,26.029,CHI,@,IND,W 29-13,,1,18,18.00,0,,0,0,0.0,0,0,0,0,0
34,2008,2008-09-14,2,26.036,CHI,@,CAR,L 17-20,,1,36,36.00,0,,0,0,0.0,0,0,0,0,0
35,2008,2008-09-21,3,26.043,CHI,,TAM,L 24-27,,4,108,27.00,0,,0,0,0.0,2,0,0,0,0
36,2008,2008-09-28,4,26.050,CHI,,PHI,W 24-20,,1,29,29.00,0,,0,0,1.0,2,0,0,0,0
37,2008,2008-10-05,5,26.057,CHI,@,DET,W 34-7,,0,0,,0,,0,0,0.0,1,1,0,0,0
38,2008,2008-10-12,6,26.064,CHI,@,ATL,L 20-22,,1,19,19.00,0,,0,0,0.0,3,1,0,0,0
39,2008,2008-11-09,9,26.092,CHI,,TEN,L 14-21,,,,,,,,,,,,,,
40,2008,2008-11-16,10,26.099,CHI,@,GNB,L 3-37,,3,82,27.33,0,,0,0,0.0,0,2,0,0,0
41,2008,2008-11-23,11,26.106,CHI,@,STL,W 27-3,,2,76,38.00,0,,0,0,0.0,0,0,0,0,0
42,2008,2008-11-30,12,26.113,CHI,@,MIN,L 14-34,,5,138,27.60,0,,0,0,0.0,3,0,0,0,0
43,2008,2008-12-07,13,26.120,CHI,,JAX,W 23-10,,3,81,27.00,0,,0,0,0.0,2,0,1,42,0
44,2008,2008-12-11,14,26.124,CHI,,NOR,W 27-24,,5,179,35.80,1,,1,6,0.0,2,0,0,0,0
45,2008,2008-12-22,15,26.135,CHI,,GNB,W 20-17,,4,117,29.25,0,,0,0,0.0,2,0,0,0,0
46,2008,2008-12-28,16,26.141,CHI,@,HOU,L 24-31,*,6,187,31.17,0,,0,0,0.0,5,1,0,0,0
47,2009,2009-09-13,1,27.035,CHI,@,GNB,L 15-21,,3,80,26.67,0,1,0,2,1.0,6,0,0,0,0
48,2009,2009-09-20,2,27.042,CHI,,PIT,W 17-14,*,0,0,,0,,0,0,0.0,6,2,0,0,0
49,2009,2009-09-27,3,27.049,CHI,@,SEA,W 25-19,*,0,0,,0,,0,0,0.0,7,0,0,0,0
50,2009,2009-10-04,4,27.056,CHI,,DET,W 48-24,*,1,43,43.00,0,,0,0,0.0,9,0,0,0,0
51,2009,2009-10-18,5,27.070,CHI,@,ATL,L 14-21,*,2,40,20.00,0,,0,0,0.0,2,0,0,0,0
52,2009,2009-10-25,6,27.077,CHI,@,CIN,L 10-45,*,0,0,,0,,0,0,0.0,7,3,0,0,0
53,2009,2009-11-01,7,27.084,CHI,,CLE,W 30-6,*,1,16,16.00,0,,0,0,0.0,4,2,1,35,0
54,2009,2009-11-08,8,27.091,CHI,,ARI,L 21-41,*,2,56,28.00,0,,0,0,0.0,10,2,0,0,0
55,2009,2009-11-12,9,27.095,CHI,@,SFO,L 6-10,*,2,30,15.00,0,,0,0,0.0,4,4,0,0,0
56,2009,2009-11-22,10,27.105,CHI,,PHI,L 20-24,*,2,57,28.50,0,,0,0,0.0,2,2,0,0,0
57,2009,2009-11-29,11,27.112,CHI,@,MIN,L 10-36,*,5,123,24.60,0,,0,0,0.0,2,1,0,0,0
58,2009,2009-12-06,12,27.119,CHI,,STL,W 17-9,,2,49,24.50,0,,0,0,0.0,0,1,0,0,0
59,2009,2009-12-13,13,27.126,CHI,,GNB,L 14-21,,1,49,49.00,0,,0,0,0.0,2,0,0,0,0
60,2009,2009-12-20,14,27.133,CHI,@,BAL,L 7-31,,3,67,22.33,0,,0,0,0.0,3,0,0,0,0
61,2009,2009-12-28,15,27.141,CHI,,MIN,W 36-30,,3,134,44.67,0,,0,0,0.0,6,2,0,0,0
62,2010,2010-09-12,1,28.034,CHI,,DET,W 19-14,*,3,70,23.33,0,,0,0,0.0,3,1,0,0,0
63,2010,2010-09-19,2,28.041,CHI,@,DAL,W 27-20,*,2,43,21.50,0,,0,0,0.0,6,1,0,0,0
64,2010,2010-09-27,3,28.049,CHI,,GNB,W 20-17,*,1,44,44.00,0,,0,0,0.0,3,0,0,0,0
65,2010,2010-10-03,4,28.055,CHI,@,NYG,L 3-17,*,2,38,19.00,0,,0,0,0.0,8,3,0,0,0
66,2010,2010-10-10,5,28.062,CHI,@,CAR,W 23-6,*,3,133,44.33,0,,0,0,0.0,3,1,0,0,0
67,2010,2010-10-17,6,28.069,CHI,,SEA,L 20-23,*,2,27,13.50,0,,0,0,0.0,3,1,0,0,0
68,2010,2010-10-24,7,28.076,CHI,,WAS,L 14-17,*,4,78,19.50,0,,0,0,0.0,3,1,1,0,0
69,2010,2010-11-07,8,28.090,CHI,@,BUF,W 22-19,*,1,15,15.00,0,,0,0,0.0,6,2,0,0,0
70,2010,2010-11-14,9,28.097,CHI,,MIN,W 27-13,*,0,0,,0,,0,0,0.0,3,0,0,0,0
71,2010,2010-11-18,10,28.101,CHI,@,MIA,W 16-0,*,0,0,,0,,0,0,0.0,0,0,0,0,0
72,2010,2010-11-28,11,28.111,CHI,,PHI,W 31-26,*,3,88,29.33,0,,0,0,0.0,2,0,0,0,0
73,2010,2010-12-05,12,28.118,CHI,@,DET,W 24-20,*,2,45,22.50,0,,0,0,0.0,2,1,0,0,0
74,2010,2010-12-12,13,28.125,CHI,,NWE,L 7-36,*,4,124,31.00,0,,0,0,0.0,7,1,0,0,0
75,2010,2010-12-20,14,28.133,CHI,@,MIN,W 40-14,*,2,49,24.50,0,,0,0,0.0,1,1,0,0,0
76,2010,2010-12-26,15,28.139,CHI,,NYJ,W 38-34,*,2,31,15.50,0,,0,0,0.0,4,0,0,0,0
77,2010,2011-01-02,16,28.146,CHI,@,GNB,L 3-10,*,2,31,15.50,0,,0,0,0.0,5,0,0,0,0
78,2011,2011-09-11,1,29.033,HOU,,IND,W 34-7,*,1,46,46.00,0,,0,0,0.0,2,0,0,0,0
