ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1950,1950-10-29,7,25.131,PIT,@,CLE,L 7-45,1,2,2.00,0
2,1951,1951-11-11,7,26.144,PIT,,GNB,W 28-7,6,14,2.33,0
3,1951,1951-11-25,9,26.158,PIT,@,PHI,W 17-13,1,-3,-3.00,0
