ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,def_int,def_int_yds,def_int_td
1,1996,1996-09-01,1,22.100,NYJ,@,DEN,L 6-31,,,,,,,0.0%,,,,,,
2,1996,1996-09-08,2,22.107,NYJ,,IND,L 7-21,,,,,,,0.0%,,,,,,
3,1996,1996-09-15,3,22.114,NYJ,@,MIA,L 27-36,,,,,,,0.0%,,,,,,
4,1996,1996-10-13,7,22.142,NYJ,@,JAX,L 17-21,,,,,,,0.0%,,,,,,
5,1996,1996-10-20,8,22.149,NYJ,,BUF,L 22-25,,,,,,,0.0%,,,,,,
6,1996,1996-10-27,9,22.156,NYJ,@,ARI,W 31-21,,,,,,,0.0%,,,,,,
7,1996,1996-11-10,10,22.170,NYJ,,NWE,L 27-31,,,,,,,0.0%,,,,,,
8,1996,1996-11-17,11,22.177,NYJ,@,IND,L 29-34,,,,,,,0.0%,,,,,,
9,1996,1996-11-24,12,22.184,NYJ,@,BUF,L 10-35,,,,,,,0.0%,,,,,,
10,1996,1996-12-01,13,22.191,NYJ,,HOU,L 10-35,,,,,,,0.0%,,,,,,
11,1996,1996-12-08,14,22.198,NYJ,@,NWE,L 10-34,,,,,,,0.0%,,,,,,
12,1996,1996-12-14,15,22.204,NYJ,,PHI,L 20-21,,0,0,0,,0,0.0%,,0,0,1,23,0
13,1996,1996-12-22,16,22.212,NYJ,,MIA,L 28-31,,,,,,,0.0%,,,,,,
14,1997,1997-08-31,1,23.099,NYJ,@,SEA,W 41-3,,,,,,,0.0%,,,,,,
15,1997,1997-09-07,2,23.106,NYJ,,BUF,L 22-28,,0,0,0,,0,0.0%,,0,0,1,24,0
16,1997,1997-09-14,3,23.113,NYJ,@,NWE,L 24-27,,,,,,,0.0%,,,,,,
17,1997,1997-09-21,4,23.120,NYJ,,OAK,W 23-22,,,,,,,0.0%,,,,,,
18,1997,1997-09-28,5,23.127,NYJ,@,CIN,W 31-14,,,,,,,0.0%,,,,,,
19,1997,1997-10-05,6,23.134,NYJ,@,IND,W 16-12,,,,,,,0.0%,,,,,,
20,1997,1997-10-12,7,23.141,NYJ,,MIA,L 20-31,,,,,,,0.0%,,,,,,
21,1997,1997-10-19,8,23.148,NYJ,,NWE,W 24-19,,,,,,,0.0%,,,,,,
22,1997,1997-11-02,9,23.162,TAM,@,IND,W 31-28,,,,,,,0.0%,,,,,,
23,1997,1997-11-09,10,23.169,NYJ,@,MIA,L 17-24,,,,,,,0.0%,,,,,,
24,1997,1997-11-16,11,23.176,NYJ,@,CHI,W 23-15,,,,,,,0.0%,,,,,,
25,1997,1997-11-23,12,23.183,NYJ,,MIN,W 23-21,,,,,,,0.0%,,,,,,
26,1997,1997-11-30,13,23.190,NYJ,@,BUF,L 10-20,,,,,,,0.0%,,,,,,
27,1997,1997-12-07,14,23.197,NYJ,,IND,L 14-22,,,,,,,0.0%,,,,,,
28,1997,1997-12-14,15,23.204,NYJ,,TAM,W 31-0,,,,,,,0.0%,,,,,,
29,1997,1997-12-21,16,23.211,NYJ,@,DET,L 10-13,,,,,,,0.0%,,,,,,
30,1998,1998-09-06,1,24.105,NYJ,@,SFO,L 30-36,,,,,,,0.0%,,,,,,
31,1998,1998-09-20,3,24.119,NYJ,,IND,W 44-6,,,,,,,0.0%,,,,,,
32,1998,1998-10-04,4,24.133,NYJ,,MIA,W 20-9,,,,,,,0.0%,,,,,,
33,1998,1998-10-11,5,24.140,NYJ,@,STL,L 10-30,,,,,,,0.0%,,,,,,
34,1998,1998-10-19,6,24.148,NYJ,@,NWE,W 24-14,,,,,,,0.0%,,,,,,
35,1998,1998-10-25,7,24.154,NYJ,,ATL,W 28-3,,,,,,,0.0%,,,,,,
36,1998,1998-11-01,8,24.161,NYJ,@,KAN,W 20-17,,,,,,,0.0%,,,,,,
37,1998,1998-11-08,9,24.168,NYJ,,BUF,W 34-12,,,,,,,0.0%,,,,,,
38,1998,1998-11-15,10,24.175,NYJ,@,IND,L 23-24,,,,,,,0.0%,,,,,,
39,1998,1998-12-06,13,24.196,NYJ,,SEA,W 32-31,,,,,,,0.0%,,,,,,
