ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2015,2015-09-14,1,22.151,ATL,,PHI,W 26-24,*,20,80,4.00,0,2,0,0,,0,0.0%,0.00,0,0
2,2015,2015-09-20,2,22.157,ATL,@,NYG,W 24-20,*,9,32,3.56,1,1,0,0,,0,0.0%,0.00,1,6
3,2015,2015-10-11,5,22.178,ATL,,WAS,W 25-19,,2,3,1.50,0,0,0,0,,0,0.0%,,0,0
4,2015,2015-10-15,6,22.182,ATL,@,NOR,L 21-31,,4,40,10.00,0,0,0,0,,0,0.0%,,0,0
5,2015,2015-10-25,7,22.192,ATL,@,TEN,W 10-7,,3,14,4.67,0,1,0,0,,0,0.0%,0.00,0,0
6,2015,2015-11-01,8,22.199,ATL,,TAM,L 20-23,,3,11,3.67,0,1,1,10,10.00,0,100.0%,10.00,0,0
7,2015,2015-11-08,9,22.206,ATL,@,SFO,L 16-17,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0
8,2015,2015-11-22,10,22.220,ATL,,IND,L 21-24,,17,48,2.82,0,2,0,0,,0,0.0%,0.00,0,0
9,2015,2015-11-29,11,22.227,ATL,,MIN,L 10-20,*,18,110,6.11,0,2,0,0,,0,0.0%,0.00,0,0
10,2015,2015-12-06,12,22.234,ATL,@,TAM,L 19-23,,3,13,4.33,0,1,1,4,4.00,0,100.0%,4.00,0,0
11,2015,2015-12-13,13,22.241,ATL,@,CAR,L 0-38,,3,15,5.00,0,1,0,0,,0,0.0%,0.00,0,0
12,2015,2015-12-20,14,22.248,ATL,@,JAX,W 23-17,,4,23,5.75,0,0,0,0,,0,0.0%,,0,0
13,2016,2016-09-11,1,23.148,ATL,,TAM,L 24-31,,8,22,2.75,0,6,5,95,19.00,0,83.3%,15.83,0,0
14,2016,2016-09-18,2,23.155,ATL,@,OAK,W 35-28,,12,46,3.83,1,2,2,25,12.50,0,100.0%,12.50,1,6
15,2016,2016-09-26,3,23.163,ATL,@,NOR,W 45-32,,12,42,3.50,3,3,3,47,15.67,0,100.0%,15.67,3,18
16,2016,2016-10-02,4,23.169,ATL,,CAR,W 48-33,,8,19,2.38,0,4,3,14,4.67,0,75.0%,3.50,0,0
17,2016,2016-10-09,5,23.176,ATL,@,DEN,W 23-16,,6,31,5.17,0,6,4,132,33.00,1,66.7%,22.00,1,6
18,2016,2016-10-16,6,23.183,ATL,@,SEA,L 24-26,,5,10,2.00,0,2,1,7,7.00,0,50.0%,3.50,0,0
19,2016,2016-10-23,7,23.190,ATL,,SDG,L 30-33,,8,64,8.00,1,1,1,10,10.00,0,100.0%,10.00,1,6
20,2016,2016-11-27,11,23.225,ATL,,ARI,W 38-19,,8,9,1.13,1,2,2,4,2.00,0,100.0%,2.00,1,6
21,2016,2016-12-04,12,23.232,ATL,,KAN,L 28-29,,12,49,4.08,0,2,0,0,,0,0.0%,0.00,0,0
22,2016,2016-12-11,13,23.239,ATL,@,LAR,W 42-14,,8,36,4.50,1,3,2,19,9.50,1,66.7%,6.33,2,12
23,2016,2016-12-18,14,23.246,ATL,,SFO,W 41-13,,14,58,4.14,0,2,2,8,4.00,0,100.0%,4.00,0,0
24,2016,2016-12-24,15,23.252,ATL,@,CAR,W 33-16,,9,90,10.00,1,3,3,45,15.00,0,100.0%,15.00,1,6
25,2016,2017-01-01,16,23.260,ATL,,NOR,W 38-32,,8,44,5.50,0,4,3,15,5.00,1,75.0%,3.75,1,6
26,2017,2017-09-10,1,24.147,ATL,@,CHI,W 23-17,,8,16,2.00,0,6,4,42,10.50,0,66.7%,7.00,0,0
27,2017,2017-09-17,2,24.154,ATL,,GNB,W 34-23,,6,42,7.00,0,2,2,3,1.50,1,100.0%,1.50,1,6
28,2017,2017-09-24,3,24.161,ATL,@,DET,W 30-26,,6,46,7.67,0,5,3,43,14.33,0,60.0%,8.60,0,0
29,2017,2017-10-01,4,24.168,ATL,,BUF,L 17-23,,9,77,8.56,0,6,4,65,16.25,0,66.7%,10.83,0,0
30,2017,2017-10-15,5,24.182,ATL,,MIA,L 17-20,,9,32,3.56,1,1,1,4,4.00,0,100.0%,4.00,1,6
31,2017,2017-10-22,6,24.189,ATL,@,NWE,L 7-23,,6,16,2.67,0,1,0,0,,0,0.0%,0.00,0,0
32,2017,2017-10-29,7,24.196,ATL,@,NYJ,W 25-20,,14,82,5.86,0,1,1,22,22.00,0,100.0%,22.00,0,0
33,2017,2017-11-05,8,24.203,ATL,@,CAR,L 17-20,,5,5,1.00,0,2,1,19,19.00,1,50.0%,9.50,1,6
34,2017,2017-11-12,9,24.210,ATL,,DAL,W 27-7,,20,83,4.15,1,1,1,5,5.00,0,100.0%,5.00,1,6
35,2017,2017-11-20,10,24.218,ATL,@,SEA,W 34-31,*,20,43,2.15,1,2,1,15,15.00,0,50.0%,7.50,1,6
36,2017,2017-11-26,11,24.224,ATL,,TAM,W 34-20,*,19,97,5.11,2,0,0,0,,0,0.0%,,2,12
37,2017,2017-12-03,12,24.231,ATL,,MIN,L 9-14,,8,22,2.75,0,6,3,27,9.00,0,50.0%,4.50,0,0
38,2017,2017-12-07,13,24.235,ATL,,NOR,W 20-17,,9,32,3.56,0,0,0,0,,0,0.0%,,0,0
39,2017,2017-12-24,15,24.252,ATL,@,NOR,L 13-23,,6,12,2.00,0,4,4,40,10.00,1,100.0%,10.00,1,6
40,2017,2017-12-31,16,24.259,ATL,,CAR,W 22-10,*,11,23,2.09,0,2,2,14,7.00,0,100.0%,7.00,0,0
41,2018,2018-09-06,1,25.143,ATL,@,PHI,L 12-18,,9,19,2.11,1,2,1,26,26.00,0,50.0%,13.00,1,6
42,2018,2018-09-16,2,25.153,ATL,,CAR,W 31-24,*,16,107,6.69,0,4,4,18,4.50,0,100.0%,4.50,0,0
43,2018,2018-09-23,3,25.160,ATL,,NOR,L 37-43,*,15,33,2.20,0,3,2,14,7.00,1,66.7%,4.67,1,6
