ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1990,1990-09-09,1,21.117,DAL,,SDG,W 17-14,,2,2,1.00,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0
2,1990,1990-09-16,2,21.124,DAL,,NYG,L 7-28,,6,11,1.83,0,,2,12,6.00,0,,,0,0,,0,0,0,,,,,,0,0
3,1990,1990-09-23,3,21.131,DAL,@,WAS,L 15-19,,17,63,3.71,1,,2,12,6.00,0,,,0,0,,0,0,0,,,,,,1,6
4,1990,1990-09-30,4,21.138,DAL,@,NYG,L 17-31,,12,28,2.33,1,,4,38,9.50,0,,,0,0,,0,0,0,,,,,,1,6
5,1990,1990-10-07,5,21.145,DAL,,TAM,W 14-10,,23,121,5.26,1,,2,-9,-4.50,0,,,0,0,,0,0,0,,,,,,1,6
6,1990,1990-10-14,6,21.152,DAL,@,PHO,L 3-20,,12,48,4.00,0,,1,8,8.00,0,,,0,0,,0,0,0,,,,,,0,0
7,1990,1990-10-21,7,21.159,DAL,@,TAM,W 17-13,,16,48,3.00,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0
8,1990,1990-10-28,8,21.166,DAL,,PHI,L 20-21,,14,52,3.71,1,,0,0,,0,,,0,0,,0,0,0,,,,,,1,6
9,1990,1990-11-04,9,21.173,DAL,@,NYJ,L 9-24,,15,55,3.67,0,,2,3,1.50,0,,,0,0,,0,0,0,,,,,,0,0
10,1990,1990-11-11,10,21.180,DAL,,SFO,L 6-24,,6,40,6.67,0,,1,-4,-4.00,0,,,0,0,,0,0,0,,,,,,0,0
