ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2002,2002-09-08,1,22.337,MIN,@,CHI,L 23-27,,0,0,,0,1,28,28.00,0,2,16,8.00,0
2,2002,2002-09-22,3,22.351,MIN,,CAR,L 14-21,,0,0,,0,3,56,18.67,0,3,24,8.00,0
3,2002,2002-09-29,4,22.358,MIN,@,SEA,L 23-48,,0,0,,0,4,74,18.50,0,0,0,,0
4,2002,2002-10-13,5,23.007,MIN,,DET,W 31-24,,0,0,,0,3,79,26.33,0,4,31,7.75,0
5,2002,2002-10-20,6,23.014,MIN,@,NYJ,L 7-20,,0,0,,0,2,39,19.50,0,1,6,6.00,0
6,2002,2002-10-27,7,23.021,MIN,,CHI,W 25-7,,0,0,,0,2,38,19.00,0,2,60,30.00,0
7,2002,2002-11-03,8,23.028,MIN,@,TAM,L 24-38,,0,0,,0,1,14,14.00,0,0,0,,0
8,2002,2002-11-10,9,23.035,MIN,,NYG,L 20-27,,0,0,,0,0,0,,0,3,20,6.67,0
9,2002,2002-11-17,10,23.042,MIN,,GNB,W 31-21,,0,0,,0,2,40,20.00,0,2,11,5.50,0
10,2002,2002-11-24,11,23.049,MIN,@,NWE,L 17-24,,0,0,,0,0,0,,0,2,9,4.50,0
11,2002,2002-12-01,12,23.056,MIN,,ATL,L 24-30,,1,11,11.00,0,0,0,,0,2,0,0.00,0
12,2002,2002-12-08,13,23.063,MIN,@,GNB,L 22-26,,,,,,,,,,,,,
13,2002,2002-12-15,14,23.070,MIN,@,NOR,W 32-31,,0,0,,0,0,0,,0,1,0,0.00,0
14,2002,2002-12-21,15,23.076,MIN,,MIA,W 20-17,,0,0,,0,0,0,,0,2,13,6.50,0
15,2002,2002-12-29,16,23.084,MIN,@,DET,W 38-36,,,,,,,,,,,,,
16,2003,2003-11-30,12,24.055,MIN,@,STL,L 17-48,,,,,,,,,,,,,
