ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1995,1995-09-03,1,22.125,NWE,,CLE,W 17-14,,19,102,5.37,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,1,6
2,1995,1995-09-10,2,22.132,NWE,,MIA,L 3-20,,18,40,2.22,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,,,,,0,0
3,1995,1995-09-17,3,22.139,NWE,@,SFO,L 3-28,,24,63,2.63,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0
4,1995,1995-10-01,4,22.153,NWE,@,ATL,L 17-30,,14,44,3.14,1,2,1,-1,-1.00,0,50.0%,-0.50,0,0,,0,0,0,,,,,,1,6
5,1995,1995-10-08,5,22.160,NWE,,DEN,L 3-37,,6,8,1.33,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,,,,,0,0
6,1995,1995-10-15,6,22.167,NWE,@,KAN,L 26-31,,13,31,2.38,0,6,3,28,9.33,0,50.0%,4.67,0,0,,0,0,0,,,,,,0,0
7,1995,1995-10-23,7,22.175,NWE,,BUF,W 27-14,,36,127,3.53,1,2,1,-2,-2.00,0,50.0%,-1.00,0,0,,0,0,0,,,,,,1,6
8,1995,1995-10-29,8,22.181,NWE,,CAR,L 17-20,,24,85,3.54,2,8,4,30,7.50,0,50.0%,3.75,0,0,,0,0,0,,,,,,2,12
9,1995,1995-11-05,9,22.188,NWE,@,NYJ,W 20-7,,35,166,4.74,2,1,1,22,22.00,0,100.0%,22.00,0,0,,0,0,0,,,,,,2,12
10,1995,1995-11-12,10,22.195,NWE,@,MIA,W 34-17,,30,142,4.73,2,3,3,45,15.00,0,100.0%,15.00,0,0,,0,0,0,,,,,,2,12
11,1995,1995-11-19,11,22.202,NWE,,IND,L 10-24,,16,48,3.00,1,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,,,,,1,6
12,1995,1995-11-26,12,22.209,NWE,@,BUF,W 35-25,,27,148,5.48,0,4,2,30,15.00,0,50.0%,7.50,0,0,,0,0,0,,,,,,0,0
13,1995,1995-12-03,13,22.216,NWE,,NOR,L 17-31,,31,112,3.61,2,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,2,12
14,1995,1995-12-10,14,22.223,NWE,,NYJ,W 31-28,,31,148,4.77,2,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,2,12
15,1995,1995-12-16,15,22.229,NWE,@,PIT,L 27-41,,20,120,6.00,0,9,8,62,7.75,1,88.9%,6.89,0,0,,0,0,0,,,,,,1,6
