ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,2000,2000-09-03,1,24.126,OAK,,SDG,W 9-6,,,,,,,,
2,2000,2000-09-10,2,24.133,OAK,@,IND,W 38-31,,,,,,,,
3,2000,2000-09-17,3,24.140,OAK,,DEN,L 24-33,,,,,,,,
4,2000,2000-09-24,4,24.147,OAK,,CLE,W 36-10,,,,,,,,
5,2000,2000-10-08,5,24.161,OAK,@,SFO,W 34-28,,,,,,,,
6,2000,2000-10-15,6,24.168,OAK,@,KAN,W 20-17,,,,,,,,
7,2000,2000-10-22,7,24.175,OAK,,SEA,W 31-3,,,,,,,,
8,2000,2000-10-29,8,24.182,OAK,@,SDG,W 15-13,,,,,,,,
9,2000,2000-11-05,9,24.189,OAK,,KAN,W 49-31,,,,,,,,
10,2000,2000-11-13,10,24.197,OAK,@,DEN,L 24-27,,,,,,,,
11,2000,2000-11-19,11,24.203,OAK,@,NOR,W 31-22,,,,,,,,
12,2000,2000-11-26,12,24.210,OAK,,ATL,W 41-14,,,,,,,,
13,2000,2000-12-03,13,24.217,OAK,@,PIT,L 20-21,,,,,,,,
14,2000,2000-12-10,14,24.224,OAK,,NYJ,W 31-7,,,,,,,,
15,2000,2000-12-16,15,24.230,OAK,@,SEA,L 24-27,,,,,,,,
16,2000,2000-12-24,16,24.238,OAK,,CAR,W 52-9,,,,,,,,
17,2001,2001-09-09,1,25.132,OAK,@,KAN,W 27-24,,,,,,,,
18,2001,2001-09-23,2,25.146,OAK,@,MIA,L 15-18,,,,,,,,
19,2001,2001-09-30,3,25.153,OAK,,SEA,W 38-14,,,,,,,,
20,2001,2001-10-07,4,25.160,OAK,,DAL,W 28-21,,,,,,,,
21,2001,2001-10-14,5,25.167,OAK,@,IND,W 23-18,,,,,,,,
22,2001,2001-10-28,6,25.181,OAK,@,PHI,W 20-10,,,,,,,,
23,2001,2001-11-05,7,25.189,OAK,,DEN,W 38-28,,,,,,,,
24,2002,2002-09-08,1,26.131,OAK,,SEA,W 31-17,,,,,,,,
25,2002,2002-09-15,2,26.138,OAK,@,PIT,W 30-17,,,,,,,,
26,2002,2002-09-29,3,26.152,OAK,,TEN,W 52-25,,,,,,,,
27,2002,2002-10-06,4,26.159,OAK,@,BUF,W 49-31,,,,,,,,
28,2002,2002-10-13,5,26.166,OAK,@,STL,L 13-28,,,,,,,,
29,2002,2002-10-20,6,26.173,OAK,,SDG,L 21-27,,,,,,,,
30,2002,2002-10-27,7,26.180,OAK,@,KAN,L 10-20,,,,,,,,
31,2002,2002-11-03,8,26.187,OAK,,SFO,L 20-23,,,,,,,,
32,2002,2002-11-11,9,26.195,OAK,@,DEN,W 34-10,,,,,,,,
33,2002,2002-11-17,10,26.201,OAK,,NWE,W 27-20,,,,,,,,
34,2002,2002-11-24,11,26.208,OAK,@,ARI,W 41-20,,,,,,,,
