ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1979,1979-10-28,9,23.206,SFO,,CHI,L 27-28,,,,,,,,,,,,,,
2,1979,1979-11-04,10,23.213,SFO,@,OAK,L 10-23,,,,,,,,,,,,,,
3,1979,1979-11-11,11,23.220,SFO,@,NOR,L 20-31,1,17,17.00,0,0,0,,0,0,0,0.0,0,0,0
4,1979,1979-11-18,12,23.227,SFO,,DEN,L 28-38,1,19,19.00,0,4,57,14.25,0,0,0,0.0,1,0,0
5,1979,1979-11-25,13,23.234,SFO,,RAM,L 20-26,0,0,,0,2,4,2.00,0,0,0,0.0,1,29,0
6,1979,1979-12-02,14,23.241,SFO,@,STL,L 10-13,0,0,,0,4,37,9.25,0,0,0,0.0,0,0,0
7,1979,1979-12-09,15,23.248,SFO,,TAM,W 23-7,0,0,,0,3,22,7.33,0,0,0,0.0,2,21,0
8,1979,1979-12-16,16,23.255,SFO,@,ATL,L 21-31,0,0,,0,0,0,,0,0,0,0.0,1,7,0
9,1980,1980-09-07,1,24.155,SFO,@,NOR,W 26-23,,,,,,,,,,,,,,
10,1980,1980-09-14,2,24.162,SFO,,STL,W 24-21,,,,,,,,,,,,,,
11,1980,1980-09-21,3,24.169,SFO,@,NYJ,W 37-27,0,0,,0,1,8,8.00,0,0,0,0.0,0,0,0
12,1980,1980-09-28,4,24.176,SFO,,ATL,L 17-20,0,0,,0,1,8,8.00,0,0,0,0.0,0,0,0
13,1980,1980-10-05,5,24.183,SFO,@,RAM,L 26-48,,,,,,,,,,,,,,
14,1980,1980-10-12,6,24.190,SFO,@,DAL,L 14-59,,,,,,,,,,,,,,
15,1980,1980-10-19,7,24.197,SFO,,RAM,L 17-31,0,0,,0,1,8,8.00,0,0,0,0.0,1,12,0
16,1980,1980-10-26,8,24.204,SFO,,TAM,L 23-24,0,0,,0,2,11,5.50,0,0,0,0.0,1,44,0
17,1980,1980-11-02,9,24.211,SFO,@,DET,L 13-17,0,0,,0,2,2,1.00,0,0,0,0.0,0,0,0
18,1980,1980-11-09,10,24.218,SFO,@,GNB,L 16-23,0,0,,0,1,1,1.00,0,0,0,0.0,0,0,0
19,1980,1980-11-16,11,24.225,SFO,@,MIA,L 13-17,,,,,,,,,,,,,,
20,1980,1980-11-23,12,24.232,SFO,,NYG,W 12-0,0,0,,0,2,16,8.00,0,0,0,0.0,0,0,0
21,1980,1980-11-30,13,24.239,SFO,,NWE,W 21-17,0,0,,0,2,4,2.00,0,0,0,0.0,1,17,0
22,1980,1980-12-07,14,24.246,SFO,,NOR,W 38-35,0,0,,0,0,0,,0,0,0,0.0,1,0,0
23,1980,1980-12-14,15,24.253,SFO,@,ATL,L 10-35,,,,,,,,,,,,,,
24,1980,1980-12-21,16,24.260,SFO,,BUF,L 13-18,,,,,,,,,,,,,,
25,1981,1981-09-06,1,25.154,SFO,@,DET,L 17-24,0,0,,0,2,46,23.00,0,0,0,0.0,0,0,0
26,1981,1981-09-13,2,25.161,SFO,,CHI,W 28-17,0,0,,0,1,7,7.00,0,0,0,0.0,1,8,0
27,1981,1981-09-20,3,25.168,SFO,@,ATL,L 17-34,0,0,,0,0,0,,0,,,,,,
28,1981,1981-09-27,4,25.175,SFO,,NOR,W 21-14,0,0,,0,1,10,10.00,0,0,0,0.0,0,0,0
29,1981,1981-10-04,5,25.182,SFO,@,WAS,W 30-17,0,0,,0,0,0,,0,1,6,0.0,2,104,1
30,1981,1981-10-11,6,25.189,SFO,,DAL,W 45-14,0,0,,0,1,3,3.00,0,0,0,0.0,0,0,0
31,1981,1981-10-18,7,25.196,SFO,@,GNB,W 13-3,0,0,,0,1,14,14.00,0,0,0,0.0,1,26,0
32,1981,1981-10-25,8,25.203,SFO,,RAM,W 20-17,0,0,,0,0,0,,0,,,,,,
33,1981,1981-11-01,9,25.210,SFO,@,PIT,W 17-14,0,0,,0,0,0,,0,0,0,0.0,1,0,0
34,1981,1981-11-08,10,25.217,SFO,,ATL,W 17-14,1,22,22.00,0,4,36,9.00,0,0,0,0.0,2,37,0
35,1981,1981-11-15,11,25.224,SFO,,CLE,L 12-15,0,0,,0,0,0,,0,0,0,0.0,1,10,0
36,1981,1981-11-22,12,25.231,SFO,@,RAM,W 33-31,0,0,,0,2,12,6.00,0,0,0,0.0,0,0,0
37,1981,1981-11-29,13,25.238,SFO,,NYG,W 17-10,0,0,,0,3,19,6.33,0,0,0,0.0,1,54,0
38,1981,1981-12-06,14,25.245,SFO,@,CIN,W 21-3,0,0,,0,1,10,10.00,0,0,0,0.0,0,0,0
39,1981,1981-12-13,15,25.252,SFO,,HOU,W 28-6,0,0,,0,3,14,4.67,0,0,0,0.0,0,0,0
40,1981,1981-12-20,16,25.259,SFO,@,NOR,W 21-17,0,0,,0,0,0,,0,,,,,,
41,1982,1982-09-12,1,26.160,SFO,,RAI,L 17-23,0,0,,0,3,11,3.67,0,0,0,0.0,1,2,0
42,1982,1982-09-19,2,26.167,SFO,@,DEN,L 21-24,0,0,,0,3,14,4.67,0,0,0,0.0,0,0,0
43,1982,1982-11-21,3,26.230,SFO,@,STL,W 31-20,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0
44,1982,1982-11-28,4,26.237,SFO,,NOR,L 20-23,0,0,,0,1,8,8.00,0,0,0,0.0,0,0,0
45,1982,1982-12-02,5,26.241,SFO,@,RAM,W 30-24,0,0,,0,0,0,,0,0,0,0.0,2,3,0
46,1982,1982-12-11,6,26.250,SFO,,SDG,L 37-41,,,,,0,0,,0,,,,,,
47,1982,1982-12-19,7,26.258,SFO,,ATL,L 7-17,0,0,,0,1,9,9.00,0,0,0,0.0,0,0,0
48,1982,1982-12-26,8,26.265,SFO,@,KAN,W 26-13,,,,,0,0,,0,,,,,,
49,1982,1983-01-02,9,26.272,SFO,,RAM,L 20-21,0,0,,0,1,12,12.00,0,0,0,0.0,0,0,0
50,1983,1983-09-03,1,27.151,SFO,,PHI,L 17-22,,,,,,,,,,,,,,
51,1983,1983-09-08,2,27.156,SFO,@,MIN,W 48-17,,,,,,,,,,,,,,
52,1983,1983-09-18,3,27.166,SFO,@,STL,W 42-27,0,0,,0,0,0,,0,1,6,0.0,1,40,1
53,1983,1983-09-25,4,27.173,SFO,,ATL,W 24-20,,,,,,,,,,,,,,
54,1983,1983-10-02,5,27.180,SFO,@,NWE,W 33-13,,,,,,,,,,,,,,
55,1983,1983-10-09,6,27.187,SFO,,RAM,L 7-10,,,,,,,,,,,,,,
56,1983,1983-10-16,7,27.194,SFO,@,NOR,W 32-13,0,0,,0,0,0,,0,1,6,0.0,1,62,1
57,1983,1983-10-30,9,27.208,SFO,,NYJ,L 13-27,,,,,,,,,,,,,,
58,1983,1983-11-06,10,27.215,SFO,,MIA,L 17-20,,,,,,,,,,,,,,
59,1983,1983-11-13,11,27.222,SFO,,NOR,W 27-0,,,,,,,,,,,,,,
60,1983,1983-11-20,12,27.229,SFO,@,ATL,L 24-28,,,,,,,,,,,,,,
61,1983,1983-11-27,13,27.236,SFO,@,CHI,L 3-13,,,,,,,,,,,,,,
62,1983,1983-12-04,14,27.243,SFO,,TAM,W 35-21,,,,,,,,,,,,,,
63,1983,1983-12-11,15,27.250,SFO,@,BUF,W 23-10,,,,,,,,,,,,,,
64,1983,1983-12-19,16,27.258,SFO,,DAL,W 42-17,,,,,,,,,,,,,,
65,1984,1984-09-02,1,28.150,SFO,@,DET,W 30-27,,,,,,,,,,,,,,
66,1984,1984-09-10,2,28.158,SFO,,WAS,W 37-31,,,,,,,,,,,,,,
67,1984,1984-09-16,3,28.164,SFO,,NOR,W 30-20,0,0,,0,0,0,,0,0,0,0.0,1,29,0
68,1984,1984-09-23,4,28.171,SFO,@,PHI,W 21-9,,,,,,,,,,,,,,
69,1984,1984-09-30,5,28.178,SFO,,ATL,W 14-5,,,,,,,,,,,,,,
70,1984,1984-10-08,6,28.186,SFO,@,NYG,W 31-10,0,0,,0,0,0,,0,0,0,0.0,1,0,0
71,1984,1984-10-14,7,28.192,SFO,,PIT,L 17-20,,,,,,,,,,,,,,
