ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1975,1975-11-23,10,24.101,DAL,,PHI,W 27-17,,,,
2,1975,1975-11-30,11,24.108,DAL,,NYG,W 14-3,,,,
3,1975,1975-12-07,12,24.115,DAL,@,STL,L 17-31,,,,
4,1975,1975-12-13,13,24.121,DAL,,WAS,W 31-10,,,,
5,1975,1975-12-21,14,24.129,DAL,@,NYJ,W 31-21,,,,
6,1976,1976-10-31,8,25.078,NOR,@,ATL,L 20-23,,,,
7,1976,1976-11-07,9,25.085,NOR,@,GNB,L 27-32,1,0,0.00,0
8,1976,1976-11-14,10,25.092,NOR,,DET,W 17-16,,,,
9,1976,1976-11-21,11,25.099,NOR,@,SEA,W 51-27,1,0,0.00,0
10,1976,1976-11-28,12,25.106,NOR,@,RAM,L 14-33,,,,
11,1976,1976-12-05,13,25.113,NOR,@,NWE,L 6-27,,,,
12,1976,1976-12-12,14,25.120,NOR,,SFO,L 7-27,,,,
