ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2000,2000-09-24,3,23.182,CIN,@,BAL,L 0-37,,,,,,,
2,2000,2000-10-08,5,23.196,CIN,,TEN,L 14-23,,,,,,,
3,2000,2000-11-19,11,23.238,CIN,@,NWE,L 13-16,,,,,,,
4,2000,2000-11-26,12,23.245,CIN,,PIT,L 28-48,,,,,,,
5,2000,2000-12-03,13,23.252,CIN,,ARI,W 24-13,,,,,,,
6,2000,2000-12-10,14,23.259,CIN,@,TEN,L 3-35,,,,,,,
7,2000,2000-12-17,15,23.266,CIN,,JAX,W 17-14,*,,,,,,
8,2000,2000-12-24,16,23.273,CIN,@,PHI,L 7-16,,,,,,,
9,2001,2001-09-09,1,24.167,CIN,,NWE,W 23-17,,,,,,,
10,2001,2001-09-23,2,24.181,CIN,,BAL,W 21-10,,,,,,,
11,2001,2001-09-30,3,24.188,CIN,@,SDG,L 14-28,,,,,,,
12,2001,2001-10-07,4,24.195,CIN,@,PIT,L 7-16,,,,,,,
13,2001,2001-10-14,5,24.202,CIN,,CLE,W 24-14,,1.0,,,0,0,0
14,2001,2001-10-21,6,24.209,CIN,,CHI,L 0-24,*,,,,,,
15,2001,2001-10-28,7,24.216,CIN,@,DET,W 31-27,*,,,,,,
16,2001,2001-11-11,8,24.230,CIN,@,JAX,L 13-30,*,,,,,,
17,2001,2001-11-18,9,24.237,CIN,,TEN,L 7-20,*,,,,,,
18,2001,2001-11-25,10,24.244,CIN,@,CLE,L 0-18,*,0.0,,,1,0,0
19,2001,2001-12-02,11,24.251,CIN,,TAM,L 13-16,*,,,,,,
20,2001,2001-12-09,12,24.258,CIN,,JAX,L 10-14,*,1.0,,,0,0,0
21,2001,2001-12-16,13,24.265,CIN,@,NYJ,L 14-15,*,,,,,,
22,2002,2002-09-08,1,25.166,CIN,,SDG,L 6-34,*,,,,,,
23,2002,2002-09-15,2,25.173,CIN,@,CLE,L 7-20,,,,,,,
24,2002,2002-09-22,3,25.180,CIN,@,ATL,L 3-30,,,,,,,
