ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-09-16,2,23.069,DTX,@,OAK,W 34-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,10,0
2,1960,1960-10-02,4,23.085,DTX,,NYT,L 35-37,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,9,9.00,0,0,0,,0,0,0,0,0,0
3,1960,1960-10-09,5,23.092,DTX,,OAK,L 19-20,1,-2,-2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,22,22.00,0,0,0,,0,0,0,0,0,0
4,1960,1960-10-16,6,23.099,DTX,@,HOU,L 10-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,24,24.00,0,0,0,1,0,0
5,1960,1960-10-30,7,23.113,DTX,@,DEN,W 17-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,5,5.00,0,0,0,1,0,0
6,1960,1960-11-06,8,23.120,DTX,@,BUF,W 45-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,43,21.50,0,0,0,,0,0,0,0,0,0
7,1960,1960-11-18,10,23.132,DTX,@,BOS,L 14-42,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,49,16.33,0,0,0,,0,0,0,0,0,0
8,1960,1960-12-11,13,23.155,DTX,,BOS,W 34-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,20,20.00,0,1,40,40.00,0,0,0,0,0,0
9,1960,1960-12-18,14,23.162,DTX,,BUF,W 24-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,19,19.00,0,0,0,,0,0,0,0,0,0
10,1961,1961-10-29,7,24.112,OAK,,NYT,L 6-14,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,,0,,,1,15,15.00,0,0,0,,0,0,0,0,0,0
11,1961,1961-11-05,8,24.119,OAK,@,BUF,W 31-22,2,1,0.50,0,0,0,,0,0,0,,0,0,0,,,0,,,2,47,23.50,0,0,0,,0,0,0,0,0,0
12,1961,1961-11-11,9,24.125,OAK,@,NYT,L 12-23,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
13,1961,1961-11-17,10,24.131,OAK,@,BOS,L 17-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,69,34.50,0,0,0,,0,0,0,0,0,0
14,1961,1961-11-26,11,24.140,OAK,@,DTX,L 11-43,2,15,7.50,0,4,64,16.00,0,0,0,,0,0,0,,,0,,,1,19,19.00,0,1,24,24.00,0,0,0,0,0,0
15,1961,1961-12-03,12,24.147,OAK,,BUF,L 21-26,6,43,7.17,1,1,3,3.00,0,0,0,,0,0,0,,,0,,,1,18,18.00,0,2,0,0.00,0,1,6,0,0,0
16,1961,1961-12-09,13,24.153,OAK,,BOS,L 21-35,1,2,2.00,0,3,36,12.00,0,0,0,,0,0,0,,,0,,,3,58,19.33,0,0,0,,0,0,0,0,0,0
17,1961,1961-12-17,14,24.161,OAK,,HOU,L 16-47,18,80,4.44,1,5,47,9.40,0,0,0,,0,0,0,,,0,,,3,50,16.67,0,2,10,5.00,0,1,6,0,0,0
18,1962,1962-09-09,1,25.062,OAK,,NYT,L 17-28,10,101,10.10,0,3,21,7.00,0,0,0,,0,0,0,,,0,,,2,32,16.00,0,0,0,,0,0,0,0,0,0
19,1962,1962-09-23,2,25.076,OAK,,DTX,L 16-26,10,33,3.30,1,7,75,10.71,0,0,0,,0,0,0,,,0,,,4,110,27.50,0,0,0,,0,1,6,0,0,0
20,1962,1962-09-30,3,25.083,OAK,,SDG,L 33-42,11,55,5.00,0,0,0,,0,0,0,,0,0,0,,,0,,,1,17,17.00,0,0,0,,0,0,0,0,0,0
21,1962,1962-10-05,4,25.088,OAK,@,DEN,L 7-44,18,64,3.56,0,0,0,,0,0,0,,0,0,0,,,0,,,2,41,20.50,0,0,0,,0,0,0,0,0,0
22,1962,1962-10-14,5,25.097,OAK,,DEN,L 6-23,9,25,2.78,1,2,1,0.50,0,0,0,,0,0,0,,,0,,,3,70,23.33,0,0,0,,0,1,6,0,0,0
23,1962,1962-10-20,6,25.103,OAK,@,BUF,L 6-14,15,89,5.93,0,0,0,,0,0,0,,0,0,0,,,0,,,1,18,18.00,0,0,0,,0,0,0,0,0,0
24,1962,1962-10-26,7,25.109,OAK,@,BOS,L 16-26,6,10,1.67,0,3,59,19.67,0,0,0,,0,0,0,,,0,,,2,50,25.00,0,0,0,,0,0,0,0,0,0
25,1962,1962-11-04,8,25.118,OAK,@,NYT,L 21-31,8,26,3.25,2,0,6,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,2,12,0,0,0
26,1962,1962-11-11,9,25.125,OAK,,HOU,L 20-28,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,,0,,,1,0,0.00,0,0,0,,0,0,0,0,0,0
27,1962,1962-11-18,10,25.132,OAK,,BUF,L 6-10,2,2,1.00,0,1,7,7.00,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
28,1962,1962-11-25,11,25.139,OAK,@,DTX,L 7-35,9,31,3.44,0,2,16,8.00,0,0,0,,0,0,0,,,0,,,4,80,20.00,0,0,0,,0,0,0,0,0,0
29,1962,1962-12-02,12,25.146,OAK,@,SDG,L 21-31,16,85,5.31,1,1,8,8.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,55,27.50,0,0,0,,0,1,6,0,0,0
30,1962,1962-12-09,13,25.153,OAK,@,HOU,L 17-32,20,187,9.35,1,2,30,15.00,0,0,0,,0,0,0,,,0,,,1,34,34.00,0,0,0,,0,1,6,0,0,0
31,1962,1962-12-16,14,25.160,OAK,,BOS,W 20-0,26,54,2.08,1,3,95,31.67,1,0,0,,0,0,0,,,0,,,1,23,23.00,0,0,0,,0,2,12,0,0,0
32,1963,1963-09-07,1,26.060,OAK,@,HOU,W 24-13,16,73,4.56,1,2,30,15.00,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,1,6,0,0,0
33,1963,1963-09-15,2,26.068,OAK,,BUF,W 35-17,13,76,5.85,0,3,172,57.33,1,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,1,6,0,0,0
34,1963,1963-09-28,4,26.081,OAK,@,NYJ,L 7-10,10,30,3.00,0,3,24,8.00,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
35,1963,1963-10-05,5,26.088,OAK,@,BUF,L 0-12,6,21,3.50,0,2,58,29.00,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
36,1963,1963-10-11,6,26.094,OAK,@,BOS,L 14-20,1,-2,-2.00,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
37,1963,1963-10-20,7,26.103,OAK,,NYJ,W 49-26,27,200,7.41,2,1,56,56.00,1,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,3,18,0,0,0
38,1963,1963-10-27,8,26.110,OAK,@,SDG,W 34-33,19,125,6.58,0,1,6,6.00,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
39,1963,1963-11-03,9,26.117,OAK,,KAN,W 10-7,18,58,3.22,0,3,39,13.00,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
40,1963,1963-11-08,10,26.122,OAK,@,KAN,W 22-7,31,122,3.94,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
41,1963,1963-11-28,11,26.142,OAK,@,DEN,W 26-10,16,90,5.63,0,1,7,7.00,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
42,1963,1963-12-08,12,26.152,OAK,,SDG,W 41-27,17,90,5.29,0,7,90,12.86,0,1,1,100.00,10,0,0,108.3,0,0,10.00,10.00,0,0,,0,0,0,,0,0,0,0,0,0
43,1963,1963-12-15,13,26.159,OAK,,DEN,W 35-31,18,58,3.22,0,5,127,25.40,2,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,2,12,0,0,0
44,1963,1963-12-22,14,26.166,OAK,,HOU,W 52-49,22,158,7.18,0,2,76,38.00,1,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,1,6,0,0,0
45,1964,1964-09-13,1,27.066,OAK,,BOS,L 14-17,14,-1,-0.07,0,3,31,10.33,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
46,1964,1964-09-19,2,27.072,OAK,@,HOU,L 28-42,8,15,1.88,1,3,42,14.00,2,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,3,18,0,0,0
47,1964,1964-09-27,3,27.080,OAK,,KAN,L 9-21,7,26,3.71,0,1,13,13.00,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
48,1964,1964-10-03,4,27.086,OAK,@,BUF,L 20-23,14,58,4.14,0,1,10,10.00,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
49,1964,1964-10-10,5,27.093,OAK,@,NYJ,L 13-35,8,11,1.38,0,6,91,15.17,1,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,1,6,0,0,0
50,1964,1964-10-16,6,27.099,OAK,@,BOS,T 43-43,9,17,1.89,0,5,96,19.20,1,0,0,,0,0,0,,,0,,,1,32,32.00,0,0,0,,0,1,6,0,0,0
51,1964,1964-10-25,7,27.108,OAK,,DEN,W 40-7,19,167,8.79,0,2,59,29.50,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
52,1964,1964-11-01,8,27.115,OAK,@,SDG,L 17-31,9,55,6.11,0,4,95,23.75,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
53,1964,1964-11-08,9,27.122,OAK,@,KAN,L 7-42,8,35,4.38,0,4,23,5.75,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
54,1964,1964-11-15,10,27.129,OAK,,HOU,W 20-10,16,104,6.50,0,2,-1,-0.50,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
55,1964,1964-11-22,11,27.136,OAK,,NYJ,W 35-26,16,42,2.63,0,2,83,41.50,1,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,1,6,0,0,0
56,1964,1964-11-29,12,27.143,OAK,@,DEN,T 20-20,16,94,5.88,1,2,60,30.00,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,1,6,0,0,0
57,1964,1964-12-06,13,27.150,OAK,,BUF,W 16-13,13,56,4.31,0,3,62,20.67,1,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,1,6,0,0,0
58,1964,1964-12-20,14,27.164,OAK,,SDG,W 21-20,16,144,9.00,0,4,33,8.25,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
59,1965,1965-09-12,1,28.065,OAK,,KAN,W 37-10,13,19,1.46,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
60,1965,1965-09-19,2,28.072,OAK,,SDG,L 6-17,8,9,1.13,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
61,1965,1965-09-26,3,28.079,OAK,,HOU,W 21-17,20,115,5.75,0,4,88,22.00,1,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,1,6,0,0,0
62,1965,1965-10-03,4,28.086,OAK,@,BUF,L 12-17,16,55,3.44,0,0,0,,0,1,1,100.00,42,0,0,118.7,0,0,42.00,42.00,0,0,,0,0,0,,0,0,0,0,0,0
63,1965,1965-10-08,5,28.091,OAK,@,BOS,W 24-10,20,113,5.65,0,3,13,4.33,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
64,1965,1965-10-16,6,28.099,OAK,@,NYJ,T 24-24,11,35,3.18,0,4,35,8.75,1,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,1,6,0,0,0
65,1965,1965-10-24,7,28.107,OAK,,BOS,W 30-21,10,47,4.70,0,1,13,13.00,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
66,1965,1965-10-31,8,28.114,OAK,@,KAN,L 7-14,8,23,2.88,1,4,27,6.75,0,1,1,100.00,53,0,0,118.7,0,0,53.00,53.00,0,0,,0,0,0,,0,1,6,0,0,0
67,1965,1965-11-07,9,28.121,OAK,@,HOU,W 33-21,14,41,2.93,0,3,109,36.33,2,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,2,12,0,0,0
68,1965,1965-11-14,10,28.128,OAK,,BUF,L 14-17,14,91,6.50,1,2,51,25.50,1,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,2,12,0,0,0
69,1965,1965-11-21,11,28.135,OAK,@,DEN,W 28-20,21,38,1.81,0,1,34,34.00,1,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,1,6,0,0,0
70,1965,1965-12-05,12,28.149,OAK,,DEN,W 24-13,22,103,4.68,0,2,94,47.00,1,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,1,6,0,0,0
71,1965,1965-12-12,13,28.156,OAK,,NYJ,W 24-14,23,110,4.78,2,5,43,8.60,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,2,12,0,0,0
72,1965,1965-12-19,14,28.163,OAK,@,SDG,L 14-24,19,85,4.47,1,7,61,8.71,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,1,6,0,0,0
73,1966,1966-09-02,1,29.055,OAK,@,MIA,W 23-14,11,-8,-0.73,0,4,48,12.00,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
74,1966,1966-09-10,2,29.063,OAK,@,HOU,L 0-31,12,29,2.42,0,4,18,4.50,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
75,1966,1966-09-18,3,29.071,OAK,,KAN,L 10-32,16,66,4.13,0,3,33,11.00,1,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,1,6,0,0,0
76,1966,1966-09-25,4,29.078,OAK,,SDG,L 20-29,17,49,2.88,1,3,54,18.00,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,1,6,0,0,0
77,1966,1966-10-09,5,29.092,OAK,,MIA,W 21-10,14,58,4.14,0,1,22,22.00,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
78,1966,1966-10-16,6,29.099,OAK,@,KAN,W 34-13,9,17,1.89,0,2,26,13.00,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0,,0,0,0,0,0,0
79,1966,1966-10-23,7,29.106,OAK,@,NYJ,W 24-21,15,104,6.93,0,4,56,14.00,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
80,1966,1966-10-30,8,29.113,OAK,@,BOS,L 21-24,11,52,4.73,2,5,112,22.40,1,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,3,18,0,0,0
81,1966,1966-11-06,9,29.120,OAK,,HOU,W 38-23,17,63,3.71,3,4,97,24.25,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,3,18,0,0,0
82,1966,1966-11-13,10,29.127,OAK,@,SDG,W 41-19,11,104,9.45,0,3,74,24.67,1,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,1,6,0,0,0
83,1966,1966-11-20,11,29.134,OAK,@,DEN,W 17-3,23,57,2.48,0,1,5,5.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0,0,0,0
84,1966,1966-11-24,12,29.138,OAK,,BUF,L 10-31,13,36,2.77,0,2,45,22.50,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
85,1966,1966-12-03,13,29.147,OAK,,NYJ,T 28-28,19,86,4.53,0,3,56,18.67,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
86,1966,1966-12-11,14,29.155,OAK,,DEN,W 28-10,16,88,5.50,1,1,6,6.00,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,1,6,0,0,0
87,1967,1967-09-10,1,30.063,OAK,,DEN,W 51-0,14,69,4.93,1,2,28,14.00,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,1,6,0,0,0
88,1967,1967-09-17,2,30.070,OAK,,BOS,W 35-7,20,95,4.75,1,2,11,5.50,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,1,6,0,0,0
89,1967,1967-10-01,3,30.084,OAK,,KAN,W 23-21,16,72,4.50,0,3,23,7.67,1,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,1,6,0,0,0
90,1967,1967-10-07,4,30.090,OAK,@,NYJ,L 14-27,13,37,2.85,0,1,12,12.00,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
91,1967,1967-10-15,5,30.098,OAK,@,BUF,W 24-20,18,75,4.17,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
92,1967,1967-10-22,6,30.105,OAK,@,BOS,W 48-14,11,40,3.64,0,1,9,9.00,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
93,1967,1967-10-29,7,30.112,OAK,,SDG,W 51-10,16,94,5.88,1,4,101,25.25,1,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,2,12,0,0,0
94,1967,1967-11-05,8,30.119,OAK,@,DEN,W 21-17,14,58,4.14,0,1,6,6.00,0,1,1,100.00,28,0,0,118.7,0,0,28.00,28.00,0,0,,0,0,0,,0,0,0,0,0,0
95,1967,1967-11-19,9,30.133,OAK,,MIA,W 31-17,8,35,4.38,1,2,32,16.00,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,1,6,0,0,0
96,1968,1968-09-29,3,31.082,SFO,,ATL,W 28-13,3,1,0.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
97,1968,1968-10-06,4,31.089,SFO,@,RAM,L 10-24,1,6,6.00,0,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
98,1968,1968-10-13,5,31.096,SFO,,BAL,L 14-42,2,18,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
99,1968,1968-10-20,6,31.103,SFO,@,NYG,W 26-10,3,3,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
100,1968,1968-11-03,8,31.117,SFO,,CLE,L 21-33,1,2,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,29,29.00,0,0,0,,0,0,0,0,0,0
101,1968,1968-11-24,11,31.138,SFO,@,PIT,W 45-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,54,18.00,0,0,0,,0,0,0,0,0,0
102,1968,1968-12-01,12,31.145,SFO,,GNB,W 27-20,2,7,3.50,0,1,16,16.00,0,0,0,,0,0,0,,0,0,,,2,48,24.00,0,0,0,,0,0,0,0,0,0
103,1968,1968-12-08,13,31.152,SFO,,MIN,L 20-30,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,56,18.67,0,0,0,,0,0,0,0,0,0
104,1968,1968-12-15,14,31.159,SFO,@,ATL,W 14-12,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,19,19.00,0,0,0,,0,0,0,0,0,0
