ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-09-12,1,23.238,MIA,@,BUF,W 15-10,,0,0,1.0,2,2
2,2010,2010-09-19,2,23.245,MIA,@,MIN,W 14-10,,1,6,0.0,1,1
3,2010,2010-09-26,3,23.252,MIA,,NYJ,L 23-31,*,0,0,0.0,1,1
4,2010,2010-10-04,4,23.260,MIA,,NWE,L 14-41,*,0,0,1.0,1,0
5,2010,2010-10-17,5,23.273,MIA,@,GNB,W 23-20,,0,0,1.0,3,0
6,2010,2010-10-24,6,23.280,MIA,,PIT,L 22-23,*,0,0,0.5,1,1
7,2010,2010-10-31,7,23.287,MIA,@,CIN,W 22-14,*,0,0,0.0,1,0
8,2010,2010-11-07,8,23.294,MIA,@,BAL,L 10-26,*,0,0,0.0,4,2
9,2010,2010-11-14,9,23.301,MIA,,TEN,W 29-17,*,0,0,0.0,0,0
10,2010,2010-11-18,10,23.305,MIA,,CHI,L 0-16,*,0,0,0.0,1,1
11,2010,2010-11-28,11,23.315,MIA,@,OAK,W 33-17,*,0,0,0.0,1,0
12,2010,2010-12-05,12,23.322,MIA,,CLE,L 10-13,*,0,0,0.0,3,1
13,2010,2010-12-12,13,23.329,MIA,@,NYJ,W 10-6,*,0,0,0.0,2,1
14,2010,2010-12-19,14,23.336,MIA,,BUF,L 14-17,,0,0,1.0,2,0
15,2010,2010-12-26,15,23.343,MIA,,DET,L 27-34,,0,0,0.0,3,0
16,2010,2011-01-02,16,23.350,MIA,@,NWE,L 7-38,*,0,0,0.0,3,2
17,2011,2011-09-12,1,24.238,MIA,,NWE,L 24-38,,0,0,0.0,1,0
18,2011,2011-09-18,2,24.244,MIA,,HOU,L 13-23,*,0,0,0.0,3,1
19,2011,2011-09-25,3,24.251,MIA,@,CLE,L 16-17,,0,0,0.0,1,1
20,2011,2011-10-17,5,24.273,MIA,@,NYJ,L 6-24,*,0,0,1.0,3,0
21,2011,2011-10-23,6,24.279,MIA,,DEN,L 15-18,*,0,0,0.0,1,1
22,2011,2011-10-30,7,24.286,MIA,@,NYG,L 17-20,*,0,0,0.0,2,2
23,2011,2011-11-06,8,24.293,MIA,@,KAN,W 31-3,,0,0,0.0,1,2
24,2011,2011-11-13,9,24.300,MIA,,WAS,W 20-9,*,0,0,0.0,3,0
25,2011,2011-11-20,10,24.307,MIA,,BUF,W 35-8,*,0,0,0.0,0,0
26,2011,2011-11-24,11,24.311,MIA,@,DAL,L 19-20,*,0,0,0.0,3,0
27,2011,2011-12-04,12,24.321,MIA,,OAK,W 34-14,*,0,0,0.0,1,0
28,2011,2011-12-11,13,24.328,MIA,,PHI,L 10-26,*,0,0,0.0,4,1
29,2012,2012-09-09,1,25.236,MIA,@,HOU,L 10-30,*,0,0,0.0,10,1
30,2012,2012-09-16,2,25.243,MIA,,OAK,W 35-13,*,0,0,0.0,3,0
31,2012,2012-09-23,3,25.250,MIA,,NYJ,L 20-23,*,0,0,0.0,6,2
32,2012,2012-09-30,4,25.257,MIA,@,ARI,L 21-24,*,0,0,1.5,2,2
33,2012,2012-10-07,5,25.264,MIA,@,CIN,W 17-13,*,0,0,0.0,2,3
34,2012,2012-10-14,6,25.271,MIA,,STL,W 17-14,*,0,0,0.0,2,0
35,2012,2012-10-28,7,25.285,MIA,@,NYJ,W 30-9,*,0,0,0.0,1,3
36,2012,2012-11-04,8,25.292,MIA,@,IND,L 20-23,*,0,0,0.0,1,0
37,2012,2012-11-11,9,25.299,MIA,,TEN,L 3-37,*,0,0,0.0,4,0
38,2012,2012-11-15,10,25.303,MIA,@,BUF,L 14-19,*,0,0,1.0,2,0
39,2012,2012-11-25,11,25.313,MIA,,SEA,W 24-21,*,0,0,0.0,5,1
40,2012,2012-12-02,12,25.320,MIA,,NWE,L 16-23,*,0,0,1.0,4,1
41,2012,2012-12-09,13,25.327,MIA,@,SFO,L 13-27,*,0,0,0.0,4,0
42,2012,2012-12-30,16,25.348,MIA,@,NWE,L 0-28,*,0,0,0.0,1,0
43,2013,2013-09-08,1,26.234,MIA,@,CLE,W 23-10,*,0,0,0.0,3,2
44,2013,2013-09-15,2,26.241,MIA,@,IND,W 24-20,*,0,0,0.0,0,3
45,2013,2013-09-22,3,26.248,MIA,,ATL,W 27-23,*,0,0,0.0,4,0
46,2013,2013-09-30,4,26.256,MIA,@,NOR,L 17-38,*,0,0,0.0,1,1
47,2013,2013-10-06,5,26.262,MIA,,BAL,L 23-26,*,0,0,1.0,7,1
48,2013,2013-10-20,6,26.276,MIA,,BUF,L 21-23,*,0,0,0.0,1,1
49,2013,2013-10-27,7,26.283,MIA,@,NWE,L 17-27,,0,0,0.0,1,2
50,2013,2013-10-31,8,26.287,MIA,,CIN,W 22-20,*,0,0,0.0,4,1
51,2013,2013-11-17,10,26.304,MIA,,SDG,W 20-16,*,0,0,0.0,2,1
52,2013,2013-11-24,11,26.311,MIA,,CAR,L 16-20,*,0,0,0.0,2,0
53,2013,2013-12-01,12,26.318,MIA,@,NYJ,W 23-3,*,0,0,1.0,3,0
54,2013,2013-12-08,13,26.325,MIA,@,PIT,W 34-28,,0,0,0.0,1,2
55,2013,2013-12-15,14,26.332,MIA,,NWE,W 24-20,,0,0,0.0,1,0
56,2013,2013-12-22,15,26.339,MIA,@,BUF,L 0-19,*,0,0,0.0,1,5
57,2013,2013-12-29,16,26.346,MIA,,NYJ,L 7-20,*,0,0,0.0,3,1
58,2014,2014-09-07,1,27.233,MIA,,NWE,W 33-20,*,0,0,0.0,2,0
59,2014,2014-10-12,5,27.268,MIA,,GNB,L 24-27,*,0,0,0.0,8,1
60,2014,2014-10-19,6,27.275,MIA,@,CHI,W 27-14,*,0,0,0.0,6,0
61,2014,2014-11-02,8,27.289,MIA,,SDG,W 37-0,*,0,0,0.0,3,2
62,2014,2014-11-09,9,27.296,MIA,@,DET,L 16-20,*,0,0,0.0,4,2
63,2014,2014-11-13,10,27.300,MIA,,BUF,W 22-9,*,0,0,0.0,3,1
64,2014,2014-11-23,11,27.310,MIA,@,DEN,L 36-39,*,0,0,0.0,6,1
65,2014,2014-12-01,12,27.318,MIA,@,NYJ,W 16-13,*,0,0,1.0,5,7
66,2014,2014-12-07,13,27.324,MIA,,BAL,L 13-28,*,0,0,0.0,5,0
