ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks
1,1994,1994-09-04,1,22.033,RAM,,ARI,W 14-12,,
2,1994,1994-09-11,2,22.040,RAM,@,ATL,L 13-31,,
3,1994,1994-09-18,3,22.047,RAM,,SFO,L 19-34,,
4,1994,1994-10-16,7,22.075,RAM,,NYG,W 17-10,,
5,1994,1994-10-23,8,22.082,RAM,@,NOR,L 34-37,,
6,1994,1994-11-06,9,22.096,RAM,,DEN,W 27-21,,
7,1994,1994-11-13,10,22.103,RAM,,RAI,L 17-20,,
8,1994,1994-11-20,11,22.110,RAM,@,SFO,L 27-31,,
9,1994,1994-11-27,12,22.117,RAM,@,SDG,L 17-31,,
10,1994,1994-12-04,13,22.124,RAM,,NOR,L 15-31,,1.0
11,1994,1994-12-11,14,22.131,RAM,@,TAM,L 14-24,,
12,1994,1994-12-18,15,22.138,RAM,@,CHI,L 13-27,,
13,1994,1994-12-24,16,22.144,RAM,,WAS,L 21-24,,
14,1995,1995-09-24,4,23.053,STL,,CHI,W 34-28,,
15,1995,1995-10-01,5,23.060,STL,@,IND,L 18-21,,
16,1995,1995-10-22,7,23.081,STL,,SFO,L 10-44,,
17,1995,1995-10-29,8,23.088,STL,@,PHI,L 9-20,,
18,1995,1995-11-05,9,23.095,STL,@,NOR,L 10-19,,
19,1995,1995-11-12,10,23.102,STL,,CAR,W 28-17,,
20,1995,1995-11-19,11,23.109,STL,@,ATL,L 6-31,,
21,1995,1995-11-26,12,23.116,STL,@,SFO,L 13-41,,
22,1995,1995-12-03,13,23.123,STL,@,NYJ,W 23-20,,
23,1995,1995-12-10,14,23.130,STL,,BUF,L 27-45,,
24,1995,1995-12-17,15,23.137,STL,,WAS,L 23-35,,
25,1995,1995-12-24,16,23.144,STL,,MIA,L 22-41,,
26,1996,1996-10-13,6,24.072,ARI,@,DAL,L 3-17,,
27,1996,1996-10-20,7,24.079,ARI,,TAM,W 13-9,,
28,1996,1996-10-27,8,24.086,ARI,,NYJ,L 21-31,,
29,1996,1996-11-03,9,24.093,ARI,@,NYG,L 8-16,,
30,1996,1996-11-10,10,24.100,ARI,@,WAS,W 37-34,,
31,1996,1996-11-17,11,24.107,ARI,,NYG,W 31-23,,
32,1996,1996-11-24,12,24.114,ARI,,PHI,W 36-30,,1.0
33,1996,1996-12-01,13,24.121,ARI,@,MIN,L 17-41,,
34,1996,1996-12-08,14,24.128,ARI,,DAL,L 6-10,,
35,1996,1996-12-15,15,24.135,ARI,,WAS,W 27-26,,
