ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1985,1985-09-08,1,34.208,RAM,,DEN,W 20-16,*,16,29,55.17,174,1,2,55.8,4,36,6.00,3.59,4,8,2.00,0
2,1985,1985-09-15,2,34.215,RAM,@,PHI,W 17-6,*,11,26,42.31,171,0,1,48.7,2,10,6.58,4.85,3,15,5.00,0
3,1985,1985-09-23,3,34.223,RAM,@,SEA,W 35-24,*,12,24,50.00,203,1,3,53.3,2,16,8.46,3.67,1,-2,-2.00,0
4,1985,1985-09-29,4,34.229,RAM,,ATL,W 17-6,*,16,20,80.00,215,2,0,144.8,4,38,10.75,12.75,0,0,,0
5,1985,1985-10-06,5,34.236,RAM,,MIN,W 13-10,*,14,20,70.00,144,0,0,90.4,2,14,7.20,7.20,1,-2,-2.00,0
6,1985,1985-10-13,6,34.243,RAM,@,TAM,W 31-27,*,16,23,69.57,195,1,1,91.8,7,47,8.48,7.39,1,-3,-3.00,0
7,1985,1985-10-20,7,34.250,RAM,@,KAN,W 16-0,*,9,20,45.00,68,0,0,53.7,3,14,3.40,3.40,4,15,3.75,0
8,1985,1985-10-27,8,34.257,RAM,,SFO,L 14-28,*,35,51,68.63,344,2,3,75.9,4,25,6.75,4.88,2,1,0.50,0
9,1985,1985-11-03,9,34.264,RAM,,NOR,W 28-10,*,15,30,50.00,256,2,0,101.5,3,20,8.53,9.87,1,2,2.00,0
10,1985,1985-11-17,11,34.278,RAM,@,ATL,L 14-30,*,11,23,47.83,157,1,2,48.6,4,25,6.83,3.78,0,0,,0
11,1985,1985-11-24,12,34.285,RAM,,GNB,W 34-17,*,15,19,78.95,150,1,0,117.1,1,8,7.89,8.95,1,2,2.00,0
12,1985,1985-12-01,13,34.292,RAM,@,NOR,L 3-29,*,5,10,50.00,46,0,1,23.3,6,38,4.60,0.10,1,0,0.00,0
13,1985,1985-12-09,14,34.300,RAM,@,SFO,W 27-20,*,16,22,72.73,160,1,0,108.1,2,10,7.27,8.18,1,2,2.00,0
14,1985,1985-12-15,15,34.306,RAM,,STL,W 46-14,*,13,20,65.00,216,4,0,140.8,1,1,10.80,14.80,0,0,,0
15,1985,1985-12-23,16,34.314,RAM,,RAI,L 6-16,*,14,28,50.00,159,0,0,67.4,6,49,5.68,5.68,0,0,,0
