ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1960,1960-09-09,1,27.083,DEN,@,BOS,W 13-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,8,321,40.13,0
2,1960,1960-09-18,2,27.092,DEN,@,BUF,W 27-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,184,36.80,0
3,1960,1960-09-23,3,27.097,DEN,@,NYT,L 24-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,116,29.00,1
4,1960,1960-10-02,4,27.106,DEN,,OAK,W 31-14,,4,9,44.44,59,0,0,66.4,0,0,6.56,6.56,0,0,,0,0,0,6,281,46.83,0
5,1960,1960-10-16,5,27.120,DEN,,LAC,L 19-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,3,123,41.00,0
6,1960,1960-10-23,6,27.127,DEN,,BOS,W 31-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,163,32.60,1
7,1960,1960-10-30,7,27.134,DEN,,DTX,L 14-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,178,35.60,0
8,1960,1960-11-06,8,27.141,DEN,,HOU,L 25-45,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,2,62,31.00,0
9,1960,1960-11-13,9,27.148,DEN,@,DTX,L 7-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,257,36.71,0
10,1960,1960-11-20,10,27.155,DEN,@,HOU,L 10-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,158,39.50,0
11,1960,1960-11-27,11,27.162,DEN,,BUF,T 38-38,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,6,211,35.17,0
12,1960,1960-12-04,12,27.169,DEN,,NYT,L 27-30,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,298,42.57,0
13,1960,1960-12-10,13,27.175,DEN,@,LAC,L 33-41,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,3,87,29.00,0
14,1960,1960-12-17,14,27.182,DEN,@,OAK,L 10-48,,5,13,38.46,78,0,1,27.1,0,0,6.00,2.54,0,0,,0,0,0,5,171,34.20,0
15,1961,1961-09-10,1,28.084,DEN,@,BUF,W 22-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,8,331,41.38,0
16,1961,1961-09-16,2,28.090,DEN,@,BOS,L 17-45,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,8,293,36.63,0
17,1961,1961-09-24,3,28.098,DEN,@,NYT,L 28-35,,10,20,50.00,135,0,0,71.9,0,0,6.75,6.75,1,-6,-6.00,0,0,0,6,249,41.50,0
18,1961,1961-10-01,4,28.105,DEN,@,OAK,L 19-33,*,13,24,54.17,168,1,1,72.9,0,0,7.00,5.96,2,39,19.50,0,0,0,6,205,34.17,0
19,1961,1961-10-08,5,28.112,DEN,,DTX,L 12-19,,4,10,40.00,62,0,2,21.7,0,0,6.20,-2.80,0,0,,0,0,0,0,0,,0
20,1961,1961-10-15,6,28.119,DEN,,OAK,W 27-24,,3,8,37.50,41,0,0,54.7,0,0,5.13,5.13,2,3,1.50,0,0,0,4,168,42.00,0
21,1961,1961-10-22,7,28.126,DEN,,NYT,W 27-10,,12,20,60.00,133,2,2,73.5,0,0,6.65,4.15,3,14,4.67,0,0,0,7,319,45.57,0
22,1961,1961-10-29,8,28.133,DEN,@,SDG,L 0-37,,6,15,40.00,124,0,3,30.3,0,0,8.27,-0.73,1,3,3.00,0,0,0,4,163,40.75,0
23,1961,1961-11-05,9,28.140,DEN,,HOU,L 14-55,,9,24,37.50,68,0,1,28.5,0,0,2.83,0.96,1,1,1.00,1,1,6,8,382,47.75,0
24,1961,1961-11-12,10,28.147,DEN,,SDG,L 16-19,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,6,189,31.50,0
25,1961,1961-11-19,11,28.154,DEN,,BUF,L 10-23,,3,16,18.75,102,0,2,14.1,0,0,6.38,0.75,0,0,,0,0,0,7,223,31.86,0
26,1961,1961-11-26,12,28.161,DEN,@,HOU,L 14-45,*,17,40,42.50,167,1,6,23.6,0,0,4.18,-2.08,2,14,7.00,1,1,6,6,261,43.50,0
27,1961,1961-12-03,13,28.168,DEN,,BOS,L 24-28,*,3,6,50.00,20,0,2,18.1,0,0,3.33,-11.67,1,-6,-6.00,0,0,0,5,204,40.80,0
28,1961,1961-12-10,14,28.175,DEN,@,DTX,L 21-49,,13,28,46.43,140,1,3,33.9,0,0,5.00,0.89,2,12,6.00,0,0,0,5,162,32.40,0
