ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1988,1988-09-04,1,23.151,GNB,,RAM,L 7-34,,0,0,,0,,,1,0,0.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
2,1988,1988-09-11,2,23.158,GNB,,TAM,L 10-13,,1,15,15.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
3,1988,1988-09-18,3,23.165,GNB,@,MIA,L 17-24,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,,,,,1,17,17.00,0,0,0,,0,0,0
4,1988,1988-09-25,4,23.172,GNB,,CHI,L 6-24,,7,137,19.57,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
5,1988,1988-10-02,5,23.179,GNB,@,TAM,L 24-27,,6,70,11.67,0,,,1,3,3.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
6,1988,1988-10-09,6,23.186,GNB,,NWE,W 45-3,,3,37,12.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
7,1988,1988-10-16,7,23.193,GNB,@,MIN,W 34-14,,2,9,4.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
8,1988,1988-10-23,8,23.200,GNB,,WAS,L 17-20,,2,44,22.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,14,14.00,0,0,0
9,1988,1988-10-30,9,23.207,GNB,@,BUF,L 0-28,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,14,7.00,0,0,0
10,1988,1988-11-06,10,23.214,GNB,@,ATL,L 0-20,,5,61,12.20,0,,,1,5,5.00,0,0,0,,0,0,0,,,,,,0,0,,0,2,9,4.50,0,0,0
11,1988,1988-11-13,11,23.221,GNB,,IND,L 13-20,,5,74,14.80,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,11,3.67,0,0,0
12,1988,1988-11-20,12,23.228,GNB,,DET,L 9-19,,8,124,15.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,0,0.00,0,0,0
13,1988,1988-11-27,13,23.235,GNB,@,CHI,L 0-16,,3,47,15.67,0,,,1,-10,-10.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
14,1988,1988-12-04,14,23.242,GNB,@,DET,L 14-30,,6,71,11.83,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
15,1988,1988-12-11,15,23.249,GNB,,MIN,W 18-6,,4,48,12.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
16,1988,1988-12-18,16,23.256,GNB,@,PHO,W 26-17,,3,54,18.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
17,1989,1989-09-10,1,24.157,GNB,,TAM,L 21-23,,3,25,8.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
18,1989,1989-09-17,2,24.164,GNB,,NOR,W 35-34,,8,107,13.38,1,,,1,-1,-1.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
19,1989,1989-09-24,3,24.171,GNB,@,RAM,L 38-41,,8,164,20.50,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
20,1989,1989-10-01,4,24.178,GNB,,ATL,W 23-21,,4,78,19.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
21,1989,1989-10-08,5,24.185,GNB,,DAL,W 31-13,,6,132,22.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
22,1989,1989-10-15,6,24.192,GNB,@,MIN,L 14-26,,2,82,41.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
23,1989,1989-10-22,7,24.199,GNB,@,MIA,L 20-23,,7,81,11.57,2,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,2,12
24,1989,1989-10-29,8,24.206,GNB,,DET,W 23-20,,7,105,15.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
25,1989,1989-11-05,9,24.213,GNB,,CHI,W 14-13,,2,19,9.50,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
26,1989,1989-11-12,10,24.220,GNB,@,DET,L 22-31,,6,74,12.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
27,1989,1989-11-19,11,24.227,GNB,@,SFO,W 21-17,,6,59,9.83,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
