ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1995,1995-10-29,8,23.074,STL,@,PHI,L 9-20,,,,,,,0.0%,
2,1995,1995-11-05,9,23.081,STL,@,NOR,L 10-19,,,,,,,0.0%,
3,1995,1995-11-12,10,23.088,STL,,CAR,W 28-17,,,,,,,0.0%,
4,1995,1995-11-19,11,23.095,STL,@,ATL,L 6-31,,,,,,,0.0%,
5,1995,1995-11-26,12,23.102,STL,@,SFO,L 13-41,,,,,,,0.0%,
6,1996,1996-09-01,1,24.016,STL,,CIN,W 26-16,,,,,,,0.0%,
7,1996,1996-09-08,2,24.023,STL,@,SFO,L 0-34,,,,,,,0.0%,
8,1996,1996-09-22,3,24.037,STL,,WAS,L 10-17,,,,,,,0.0%,
9,1996,1996-09-29,4,24.044,STL,@,ARI,L 28-31,,,,,,,0.0%,
10,1996,1996-10-06,5,24.051,STL,,SFO,L 11-28,,,,,,,0.0%,
11,1996,1996-10-13,6,24.058,STL,@,CAR,L 13-45,,,,,,,0.0%,
12,1996,1996-10-20,7,24.065,STL,,JAX,W 17-14,,,,,,,0.0%,
13,1996,1996-10-27,8,24.072,WAS,,IND,W 31-16,,,,,,,0.0%,
14,1996,1996-11-03,9,24.079,STL,@,PIT,L 6-42,,,,,,,0.0%,
15,1996,1996-11-10,10,24.086,STL,,ATL,W 59-16,,,,,,,0.0%,
16,1996,1996-11-17,11,24.093,STL,,CAR,L 10-20,,,,,,,0.0%,
17,1996,1996-11-24,12,24.100,STL,,GNB,L 9-24,,,,,,,0.0%,
18,1996,1996-12-01,13,24.107,STL,@,NOR,W 26-10,,,,,,,0.0%,
19,1996,1996-12-08,14,24.114,STL,@,CHI,L 9-35,,,,,,,0.0%,
20,1996,1996-12-15,15,24.121,STL,@,ATL,W 34-27,,,,,,,0.0%,
21,1996,1996-12-21,16,24.127,STL,,NOR,W 14-13,,,,,,,0.0%,
22,1997,1997-08-31,1,25.015,STL,,NOR,W 38-24,,,0,0,,0,0.0%,
23,1997,1997-09-07,2,25.022,STL,,SFO,L 12-15,,,0,0,,0,0.0%,
24,1997,1997-09-21,4,25.036,STL,,NYG,W 13-3,,,0,0,,0,0.0%,
25,1997,1997-09-28,5,25.043,STL,@,OAK,L 17-35,,,0,0,,0,0.0%,
26,1997,1997-10-12,6,25.057,STL,@,SFO,L 10-30,,,0,0,,0,0.0%,
27,1997,1997-10-19,7,25.064,STL,,SEA,L 9-17,,,0,0,,0,0.0%,
28,1997,1997-10-26,8,25.071,STL,,KAN,L 20-28,,,0,0,,0,0.0%,
29,1997,1997-11-02,9,25.078,STL,@,ATL,L 31-34,,,0,0,,0,0.0%,
30,1997,1997-11-09,10,25.085,STL,@,GNB,L 7-17,,,0,0,,0,0.0%,
31,1997,1997-11-16,11,25.092,STL,,ATL,L 21-27,,,0,0,,0,0.0%,
32,1997,1997-11-23,12,25.099,STL,,CAR,L 10-16,,,0,0,,0,0.0%,
33,1997,1997-11-30,13,25.106,STL,@,WAS,W 23-20,,1,1,1,1.00,0,100.0%,1.00
34,1997,1997-12-07,14,25.113,STL,@,NOR,W 34-27,,,0,0,,0,0.0%,
35,1997,1997-12-14,15,25.120,STL,,CHI,L 10-13,,,0,0,,0,0.0%,
36,1997,1997-12-20,16,25.126,STL,@,CAR,W 30-18,,,0,0,,0,0.0%,
37,1998,1998-09-06,1,26.021,STL,,NOR,L 17-24,,,,,,,0.0%,
38,1998,1998-09-13,2,26.028,STL,,MIN,L 31-38,,,,,,,0.0%,
39,1998,1998-09-20,3,26.035,STL,@,BUF,W 34-33,,,,,,,0.0%,
40,1998,1998-09-27,4,26.042,STL,,ARI,L 17-20,,,,,,,0.0%,
41,1998,1998-10-11,5,26.056,STL,,NYJ,W 30-10,,,,,,,0.0%,
42,1998,1998-11-08,9,26.084,STL,@,CHI,W 20-12,,,,,,,0.0%,
43,1998,1998-11-15,10,26.091,STL,@,NOR,L 3-24,,,,,,,0.0%,
44,1998,1998-11-22,11,26.098,STL,,CAR,L 20-24,,,,,,,0.0%,
45,1998,1998-11-29,12,26.105,STL,,ATL,L 10-21,,,,,,,0.0%,
46,1998,1998-12-03,13,26.109,STL,@,PHI,L 14-17,,,,,,,0.0%,
47,1998,1998-12-13,14,26.119,STL,,NWE,W 32-18,,1,,,,,0.0%,
48,1998,1998-12-20,15,26.126,STL,@,CAR,L 13-20,,,,,,,0.0%,
49,1998,1998-12-27,16,26.133,STL,@,SFO,L 19-38,,,,,,,0.0%,
50,1999,1999-09-12,1,27.027,JAX,,SFO,W 41-3,*,1,1,-3,-3.00,0,100.0%,-3.00
51,1999,1999-09-19,2,27.034,JAX,@,CAR,W 22-20,*,,,,,,0.0%,
52,1999,1999-09-26,3,27.041,JAX,,TEN,L 19-20,*,0,,,,,0.0%,
53,1999,1999-10-03,4,27.048,JAX,@,PIT,W 17-3,,,,,,,0.0%,
54,1999,1999-10-11,5,27.056,JAX,@,NYJ,W 16-6,,,,,,,0.0%,
55,1999,1999-10-17,6,27.062,JAX,,CLE,W 24-7,,0,,,,,0.0%,
56,1999,1999-10-31,7,27.076,JAX,@,CIN,W 41-10,,,,,,,0.0%,
57,1999,1999-11-07,8,27.083,JAX,@,ATL,W 30-7,*,,,,,,0.0%,
58,1999,1999-11-14,9,27.090,JAX,,BAL,W 6-3,*,,,,,,0.0%,
59,1999,1999-11-21,10,27.097,JAX,,NOR,W 41-23,*,,,,,,0.0%,
60,1999,1999-11-28,11,27.104,JAX,@,BAL,W 30-23,*,0,,,,,0.0%,
61,1999,1999-12-02,12,27.108,JAX,,PIT,W 20-6,*,,,,,,0.0%,
62,1999,1999-12-13,13,27.119,JAX,,DEN,W 27-24,*,,,,,,0.0%,
63,1999,1999-12-19,14,27.125,JAX,@,CLE,W 24-14,*,0,,,,,0.0%,
64,1999,1999-12-26,15,27.132,JAX,@,TEN,L 14-41,*,,,,,,0.0%,
65,1999,2000-01-02,16,27.139,JAX,,CIN,W 24-7,*,,,,,,0.0%,
66,2000,2000-09-03,1,28.018,JAX,@,CLE,W 27-7,*,,,,,,0.0%,
67,2000,2000-09-10,2,28.025,JAX,@,BAL,L 36-39,*,,,,,,0.0%,
68,2000,2000-09-17,3,28.032,JAX,,CIN,W 13-0,*,,,,,,0.0%,
69,2000,2000-09-25,4,28.040,JAX,@,IND,L 14-43,*,0,,,,,0.0%,
70,2000,2000-10-01,5,28.046,JAX,,PIT,L 13-24,,,,,,,0.0%,
