ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2000,2000-09-10,2,23.115,IND,,OAK,L 31-38,,,,,,,,,,,0.0%,,,,,
2,2000,2000-09-25,3,23.130,IND,,JAX,W 43-14,,,,,,0,,,,,0.0%,,,,,
3,2000,2000-10-01,4,23.136,IND,@,BUF,W 18-16,,,,,,,,,,,0.0%,,,,,
4,2000,2000-10-08,5,23.143,IND,@,NWE,L 16-24,,,,,,,,,,,0.0%,,,,,
5,2000,2000-10-15,6,23.150,IND,@,SEA,W 37-24,,,,,,,,,,,0.0%,,,,,
6,2000,2000-10-22,7,23.157,IND,,NWE,W 30-23,,,,,,,,,,,0.0%,,,,,
7,2001,2001-09-30,3,24.135,IND,@,NWE,L 13-44,,,,,,,,,,,0.0%,,,,,
8,2001,2001-10-14,4,24.149,IND,,OAK,L 18-23,,,,,,,,,,,0.0%,,,,,
9,2001,2001-11-11,8,24.177,IND,,MIA,L 24-27,,10,18,1.80,0,1,0,0,,0,0.0%,0.00,0,0,,0
10,2001,2001-11-25,10,24.191,IND,,SFO,L 21-40,,4,23,5.75,0,0,0,0,,0,0.0%,,0,0,,0
11,2001,2001-12-02,11,24.198,IND,@,BAL,L 27-39,,,,,,,,,,,0.0%,,,,,
12,2001,2001-12-10,12,24.206,IND,@,MIA,L 6-41,,0,0,,0,0,0,0,,0,0.0%,,3,67,22.33,0
13,2001,2001-12-16,13,24.212,IND,,ATL,W 41-27,,0,0,,0,0,0,0,,0,0.0%,,4,89,22.25,0
14,2001,2001-12-23,14,24.219,IND,,NYJ,L 28-29,,0,0,,0,1,1,10,10.00,0,100.0%,10.00,7,161,23.00,0
15,2001,2001-12-30,15,24.226,IND,@,STL,L 17-42,,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,,0
16,2001,2002-01-06,16,24.233,IND,,DEN,W 29-10,,2,8,4.00,0,0,0,0,,0,0.0%,,2,45,22.50,0
